Canta mi corazón_cast,role,imdb_page
Libertad Lamarque,Luisa Lamas,https://www.imdb.com//name/nm0482840/?ref_=ttfc_fc_cl_i1
Enrique Guzmán,Julio Montalvo,https://www.imdb.com//name/nm0350051/?ref_=ttfc_fc_cl_i2
Sara García,Abuela,https://www.imdb.com//name/nm0306497/?ref_=ttfc_fc_cl_i3
Roberto Cañedo,Carlos Montalvo,https://www.imdb.com//name/nm0147436/?ref_=ttfc_fc_cl_i4
Emily Cranz,Silvia Martinez,https://www.imdb.com//name/nm0186529/?ref_=ttfc_fc_cl_i5
Raúl Ramírez,Sr. Ramos,https://www.imdb.com//name/nm0709315/?ref_=ttfc_fc_cl_i6
Blanca Sánchez,Malisa,https://www.imdb.com//name/nm0844854/?ref_=ttfc_fc_cl_i7
Celia Viveros,Petra, criada,https://www.imdb.com//name/nm0900277/?ref_=ttfc_fc_cl_i8
Pancho Muller,Bermudez,https://www.imdb.com//name/nm0612218/?ref_=ttfc_fc_cl_i9
Eduardo Alcaraz,Don Beto,https://www.imdb.com//name/nm0017171/?ref_=ttfc_fc_cl_i10
Bertha Lehar,Enfermera,https://www.imdb.com//name/nm0499581/?ref_=ttfc_fc_cl_i11
Julián de Meriche,, (as Julién de Meriche),,,https://www.imdb.com//name/nm0580746/?ref_=ttfc_fc_cl_i12
Mario Orea ,https://www.imdb.com//name/nm0649599/?ref_=ttfc_fc_cl_i13
Jorge Casanova ,https://www.imdb.com//name/nm0142926/?ref_=ttfc_fc_cl_i14
Héctor Cabrera,Cantante,https://www.imdb.com//name/nm0127824/?ref_=ttfc_fc_cl_i15
