Ciudad de ciegos _cast,role,imdb_page
Gabriela Roel,Socorro,https://www.imdb.com//name/nm0736344/?ref_=ttfc_fc_cl_i1
Arcelia Ramírez,Mara,https://www.imdb.com//name/nm0709204/?ref_=ttfc_fc_cl_i2
Verónica Merchant,Raquel,https://www.imdb.com//name/nm0580356/?ref_=ttfc_fc_cl_i3
Roberto Sosa,Salvador,https://www.imdb.com//name/nm0554929/?ref_=ttfc_fc_cl_i4
Fernando Balzaretti,Licenciado Sandoval,https://www.imdb.com//name/nm0051316/?ref_=ttfc_fc_cl_i5
Elpidia Carrillo,Fabiola,https://www.imdb.com//name/nm0001990/?ref_=ttfc_fc_cl_i6
Alejandro Cervántes,Manuel,https://www.imdb.com//name/nm1333442/?ref_=ttfc_fc_cl_i7
Emilio Cortés,Claudio,https://www.imdb.com//name/nm0181528/?ref_=ttfc_fc_cl_i8
Dobrina Cristeva,Fanny,(as Dobrina Liubomirova),,,https://www.imdb.com//name/nm0515065/?ref_=ttfc_fc_cl_i9
Claudia Fernández,Leonor,(as Claudia Fernandez),,,https://www.imdb.com//name/nm0273442/?ref_=ttfc_fc_cl_i10
Alfonso Figueroa,Self,https://www.imdb.com//name/nm0276672/?ref_=ttfc_fc_cl_i11
Juan Manuel González,Arresting Cop,https://www.imdb.com//name/nm0328277/?ref_=ttfc_fc_cl_i12
Blanca Guerra,Inés,https://www.imdb.com//name/nm0345999/?ref_=ttfc_fc_cl_i13
Rita Guerrero,Maricela,https://www.imdb.com//name/nm0346249/?ref_=ttfc_fc_cl_i14
Zaide Silvia Gutiérrez,Teo,https://www.imdb.com//name/nm0349611/?ref_=ttfc_fc_cl_i15
Saúl Hernandez,Singer,https://www.imdb.com//name/nm1739933/?ref_=ttfc_fc_cl_i16
Benny Ibarra,Lucio,https://www.imdb.com//name/nm0406409/?ref_=ttfc_fc_cl_i17
Juan Ibarra,Mario,https://www.imdb.com//name/nm1670182/?ref_=ttfc_fc_cl_i18
Patricio Iglesias,Self,https://www.imdb.com//name/nm0407139/?ref_=ttfc_fc_cl_i19
Jacobo Libermann,Self,https://www.imdb.com//name/nm0508821/?ref_=ttfc_fc_cl_i20
Macaria,Mara,https://www.imdb.com//name/nm0531252/?ref_=ttfc_fc_cl_i21
Claudette Maillé,Lourdes,https://www.imdb.com//name/nm0537642/?ref_=ttfc_fc_cl_i22
Silvia Mariscal,Señora Sandoval,https://www.imdb.com//name/nm0548090/?ref_=ttfc_fc_cl_i23
Melissa,Brenda,https://www.imdb.com//name/nm1740844/?ref_=ttfc_fc_cl_i24
Silvana Orsattin,Francis,https://www.imdb.com//name/nm1738608/?ref_=ttfc_fc_cl_i25
Enrique Rocha,Saúl,https://www.imdb.com//name/nm0733780/?ref_=ttfc_fc_cl_i26
Carmen Salinas,Ángela,https://www.imdb.com//name/nm0758345/?ref_=ttfc_fc_cl_i27
Sax,Iván,https://www.imdb.com//name/nm1740027/?ref_=ttfc_fc_cl_i28
Luis Felipe Tovar,Piter,https://www.imdb.com//name/nm0869827/?ref_=ttfc_fc_cl_i29
