Deveras me atrapaste _cast,role,imdb_page
Lucy Reina,Aida,https://www.imdb.com//name/nm0717903/?ref_=ttfc_fc_cl_i1
Gerardo de la Peña,El Humo,https://www.imdb.com//name/nm0209350/?ref_=ttfc_fc_cl_i2
Tenoch Ramos,Tenoch,https://www.imdb.com//name/nm1670656/?ref_=ttfc_fc_cl_i3
Annette Fradera,Laura,https://www.imdb.com//name/nm0289512/?ref_=ttfc_fc_cl_i4
José Agustín,Borracho en la cocina,https://www.imdb.com//name/nm0013806/?ref_=ttfc_fc_cl_i5
Claudio Brook,Padre de Aída,https://www.imdb.com//name/nm0111610/?ref_=ttfc_fc_cl_i6
Víctor Contreras,Locutor,https://www.imdb.com//name/nm3083596/?ref_=ttfc_fc_cl_i7
Carlos Gallardo,Judicial chofer,https://www.imdb.com//name/nm0002230/?ref_=ttfc_fc_cl_i8
Sergio Jalife,Tribi,https://www.imdb.com//name/nm6063510/?ref_=ttfc_fc_cl_i9
Eduardo López Rojas,Judicial,https://www.imdb.com//name/nm0529931/?ref_=ttfc_fc_cl_i10
Armando Martín,Pecas,https://www.imdb.com//name/nm1016430/?ref_=ttfc_fc_cl_i11
Roberto Rosas,Chino,https://www.imdb.com//name/nm6063511/?ref_=ttfc_fc_cl_i12
Carlos Torres,Pretendiente,https://www.imdb.com//name/nm1362614/?ref_=ttfc_fc_cl_i13
Enrique Velasco,Difusor cultural,https://www.imdb.com//name/nm1234757/?ref_=ttfc_fc_cl_i14
