Eddie Reynolds y los Ángeles de Acero _cast,role,imdb_page
Luis Alberti,Novio Boda,https://www.imdb.com//name/nm4845909/?ref_=ttfc_fc_cl_i1
Damián Alcázar,Lalo /Eddie,https://www.imdb.com//name/nm0017343/?ref_=ttfc_fc_cl_i2
Alfonso Bravo,Bravucón,https://www.imdb.com//name/nm1645204/?ref_=ttfc_fc_cl_i3
Lucía Carreras,Mujer bar 1,https://www.imdb.com//name/nm3669468/?ref_=ttfc_fc_cl_i4
Javier De la Vega,Joey,(as Javier de la Vega),,,https://www.imdb.com//name/nm2354312/?ref_=ttfc_fc_cl_i5
Vico Escorcia,Lucía,https://www.imdb.com//name/nm5455787/?ref_=ttfc_fc_cl_i6
Veronica Falcón,Recepcionista del hotel,https://www.imdb.com//name/nm1227481/?ref_=ttfc_fc_cl_i7
Kristyan Ferrer,Lalo joven,https://www.imdb.com//name/nm2946712/?ref_=ttfc_fc_cl_i8
Alfonso Figueroa,Músico ambulante,https://www.imdb.com//name/nm0276672/?ref_=ttfc_fc_cl_i9
Paulina Gaitan,Natalia,https://www.imdb.com//name/nm2103508/?ref_=ttfc_fc_cl_i10
Erando González,El 'Maestro',https://www.imdb.com//name/nm0328146/?ref_=ttfc_fc_cl_i11
María José Guerrero,Amiga de Paty,https://www.imdb.com//name/nm6774533/?ref_=ttfc_fc_cl_i12
Álvaro Guerrero,Ulises,https://www.imdb.com//name/nm0346270/?ref_=ttfc_fc_cl_i13
Maïlys Guibert,Secretaria de Tony,https://www.imdb.com//name/nm5771926/?ref_=ttfc_fc_cl_i14
Dolores Heredia,Teresa,https://www.imdb.com//name/nm0378855/?ref_=ttfc_fc_cl_i15
Ricardo Kleinbaum,Doctor Benavides,https://www.imdb.com//name/nm1539841/?ref_=ttfc_fc_cl_i16
Gregg Lucas,Mr. Paul,https://www.imdb.com//name/nm0524144/?ref_=ttfc_fc_cl_i17
Carlos López Tavera,Santos joven,https://www.imdb.com//name/nm6774529/?ref_=ttfc_fc_cl_i18
Mónica Maci,Jackie,https://www.imdb.com//name/nm6114964/?ref_=ttfc_fc_cl_i19
Juan Carlos Medellin,Bernardo,https://www.imdb.com//name/nm3448738/?ref_=ttfc_fc_cl_i20
Reyna Mendizábal,Novia del bravucón,https://www.imdb.com//name/nm6143996/?ref_=ttfc_fc_cl_i21
Lilia Mendoza,Novia boda,https://www.imdb.com//name/nm2572405/?ref_=ttfc_fc_cl_i22
Orlando Moguel,Taxista de Lalo,https://www.imdb.com//name/nm2344277/?ref_=ttfc_fc_cl_i23
Coyo Muñoz,Palomita,https://www.imdb.com//name/nm6774531/?ref_=ttfc_fc_cl_i24
Gabriela Márquez,Mujer bar 2,https://www.imdb.com//name/nm6774536/?ref_=ttfc_fc_cl_i25
Nabila Nubes,Gordita boda,https://www.imdb.com//name/nm6774534/?ref_=ttfc_fc_cl_i26
Luis Fernando Peña,Betito,https://www.imdb.com//name/nm0671526/?ref_=ttfc_fc_cl_i27
Claudia Pineda,Mesera,https://www.imdb.com//name/nm4445460/?ref_=ttfc_fc_cl_i28
Luis Rosales,Mariachi,https://www.imdb.com//name/nm3365200/?ref_=ttfc_fc_cl_i29
Arturo Ríos,Santos,https://www.imdb.com//name/nm0753810/?ref_=ttfc_fc_cl_i30
José Sefami,Gallo,https://www.imdb.com//name/nm0781700/?ref_=ttfc_fc_cl_i31
Pavel Sfera,'Bono',https://www.imdb.com//name/nm2343924/?ref_=ttfc_fc_cl_i32
Daniela Soto-Brenner,Paty,(as Daniela Soto Vell),,,https://www.imdb.com//name/nm6132272/?ref_=ttfc_fc_cl_i33
Alan Sánchez,Gemelo 1,https://www.imdb.com//name/nm1931886/?ref_=ttfc_fc_cl_i34
Gael Sánchez,Gemelo 2,https://www.imdb.com//name/nm1930150/?ref_=ttfc_fc_cl_i35
Maricarmen Torralva,Señora de la farmacia,https://www.imdb.com//name/nm6774532/?ref_=ttfc_fc_cl_i36
Evaristo Valverde,Taxista de Santos,https://www.imdb.com//name/nm0885452/?ref_=ttfc_fc_cl_i37
Fernando Villa,Santos Jr.,https://www.imdb.com//name/nm3053143/?ref_=ttfc_fc_cl_i38
Sebastián Zurita,Tony Rivas,https://www.imdb.com//name/nm0958790/?ref_=ttfc_fc_cl_i39
Jorge Zárate,Fernando,https://www.imdb.com//name/nm0959172/?ref_=ttfc_fc_cl_i40
