El bulto _cast,role,imdb_page
Gabriel Retes,Lauro,https://www.imdb.com//name/nm0720510/?ref_=ttfc_fc_cl_i1
Héctor Bonilla,Alberto,https://www.imdb.com//name/nm0094620/?ref_=ttfc_fc_cl_i2
Lourdes Elizarrarás,Adela,https://www.imdb.com//name/nm0253767/?ref_=ttfc_fc_cl_i3
José Alonso,Toño,https://www.imdb.com//name/nm0022200/?ref_=ttfc_fc_cl_i4
Delia Casanova,Alba,https://www.imdb.com//name/nm0142910/?ref_=ttfc_fc_cl_i5
Cecilia Camacho,Valeria,https://www.imdb.com//name/nm0131072/?ref_=ttfc_fc_cl_i6
Lucila Balzaretti,Grandma,https://www.imdb.com//name/nm0051319/?ref_=ttfc_fc_cl_i7
Juan Claudio Retes,Daniel,https://www.imdb.com//name/nm0720513/?ref_=ttfc_fc_cl_i8
Gabriela Retes,Sonia,https://www.imdb.com//name/nm0720511/?ref_=ttfc_fc_cl_i9
Luis Felipe Tovar,Alfonso,https://www.imdb.com//name/nm0869827/?ref_=ttfc_fc_cl_i10
Francisco de la O,Armando,https://www.imdb.com//name/nm0642910/?ref_=ttfc_fc_cl_i11
Paloma Robles,Isabel,https://www.imdb.com//name/nm0733373/?ref_=ttfc_fc_cl_i12
Raúl Barrón,Paramedical 1,https://www.imdb.com//name/nm0058236/?ref_=ttfc_fc_cl_i13
Francisco Bravo,Lauro's friend,https://www.imdb.com//name/nm0106078/?ref_=ttfc_fc_cl_i14
Jorge Bulnes,Journalist 1,https://www.imdb.com//name/nm0120231/?ref_=ttfc_fc_cl_i15
Aztlán Camacho,Killed man at meeting,https://www.imdb.com//name/nm0131065/?ref_=ttfc_fc_cl_i16
Daniela Campesino,Natalia,https://www.imdb.com//name/nm0132988/?ref_=ttfc_fc_cl_i17
Pilar Campesino,Lauro's friend,https://www.imdb.com//name/nm0132989/?ref_=ttfc_fc_cl_i18
Sofía Campesino,Elenita,https://www.imdb.com//name/nm0132990/?ref_=ttfc_fc_cl_i19
Javier Castillo,Meeting Leader,https://www.imdb.com//name/nm0145104/?ref_=ttfc_fc_cl_i20
Antonio Chávez,Lauro's friend,https://www.imdb.com//name/nm2798110/?ref_=ttfc_fc_cl_i21
Yuriria del Valle,Girlfriend 1,https://www.imdb.com//name/nm0216002/?ref_=ttfc_fc_cl_i22
Alma Elizarrarás,Lauro's friend,https://www.imdb.com//name/nm0253766/?ref_=ttfc_fc_cl_i23
Hermila García,Knocked woman at meeting,https://www.imdb.com//name/nm0306152/?ref_=ttfc_fc_cl_i24
Alfonso Lora,Doctor 1,https://www.imdb.com//name/nm0520299/?ref_=ttfc_fc_cl_i25
Gonzalo Lora,Rogelio,https://www.imdb.com//name/nm0520301/?ref_=ttfc_fc_cl_i26
Joel Lora,Paramedical 2,https://www.imdb.com//name/nm0520303/?ref_=ttfc_fc_cl_i27
Liliana Martínez,Samantha,https://www.imdb.com//name/nm0555189/?ref_=ttfc_fc_cl_i28
Guadalupe Ortega,Lauro's friend,https://www.imdb.com//name/nm0650877/?ref_=ttfc_fc_cl_i29
Alejandro Pacheco,Journalist 2,https://www.imdb.com//name/nm0655248/?ref_=ttfc_fc_cl_i30
Jaime Ramos,Lauro's friend,https://www.imdb.com//name/nm0708649/?ref_=ttfc_fc_cl_i31
Cristóbal Retes,Toñito,https://www.imdb.com//name/nm0720506/?ref_=ttfc_fc_cl_i32
Elena Rivas,Claudia,https://www.imdb.com//name/nm0729046/?ref_=ttfc_fc_cl_i33
Xavier Robles,Lauro's friend,https://www.imdb.com//name/nm0733394/?ref_=ttfc_fc_cl_i34
Blanca Salces,Mónica,https://www.imdb.com//name/nm0757842/?ref_=ttfc_fc_cl_i35
Carlos Salces,Alejandro,https://www.imdb.com//name/nm0005624/?ref_=ttfc_fc_cl_i36
Paolo Tagliolini,Boyfriend 1,https://www.imdb.com//name/nm0846597/?ref_=ttfc_fc_cl_i37
Víctor,Reporter,https://www.imdb.com//name/nm0905022/?ref_=ttfc_fc_cl_i38
