El hijo desobediente _cast,role,imdb_page
Germán Valdés,Germán Rico /Tin Tan,https://www.imdb.com//name/nm0848910/?ref_=ttfc_fc_cl_i1
Marcelo Chávez,Marcelo Fortuna,(as Marcelo),,,https://www.imdb.com//name/nm0161672/?ref_=ttfc_fc_cl_i2
Cuquita Escobar,Cuca,(as Cuca la telefonista),,,https://www.imdb.com//name/nm0260298/?ref_=ttfc_fc_cl_i3
Delia Magaña,Socorro,https://www.imdb.com//name/nm0535757/?ref_=ttfc_fc_cl_i4
Miguel Arenas,Don Placido,https://www.imdb.com//name/nm0034291/?ref_=ttfc_fc_cl_i5
Tony Díaz,Ángel,https://www.imdb.com//name/nm0246750/?ref_=ttfc_fc_cl_i6
Natalia Ortiz,Doña Daribosa Matafortuna,https://www.imdb.com//name/nm0651228/?ref_=ttfc_fc_cl_i7
Luis G. Barreiro,Delegado,https://www.imdb.com//name/nm0056832/?ref_=ttfc_fc_cl_i8
Rafael Icardo,Don Modesto Rojas,https://www.imdb.com//name/nm0406657/?ref_=ttfc_fc_cl_i9
Salvador Quiroz,Don Rogaciano Rico,https://www.imdb.com//name/nm0704415/?ref_=ttfc_fc_cl_i10
Alfredo Varela padre,Conductor tren,(as Alfredo Varela Sr.),,,https://www.imdb.com//name/nm0889586/?ref_=ttfc_fc_cl_i11
Ramón G. Larrea,Dueño de cabaret,https://www.imdb.com//name/nm0488603/?ref_=ttfc_fc_cl_i12
Humberto Rodríguez ,https://www.imdb.com//name/nm0735873/?ref_=ttfc_fc_cl_i13
Rita María Bauzá,, (as Rita Bauza),,,https://www.imdb.com//name/nm0062563/?ref_=ttfc_fc_cl_i14
Marga López,Mesera del Cabaret,https://www.imdb.com//name/nm0530244/?ref_=ttfc_fc_cl_i15
Leonor Gómez,Mujer en cabaret,(uncredited),,,https://www.imdb.com//name/nm0351155/?ref_=ttfc_fc_cl_i16
