En el aire _cast,role,imdb_page
Daniel Giménez Cacho,Alberto,https://www.imdb.com//name/nm0319843/?ref_=ttfc_fc_cl_i1
Dolores Heredia,Laura,https://www.imdb.com//name/nm0378855/?ref_=ttfc_fc_cl_i2
Damián Alcázar,Cmdr. Paco,https://www.imdb.com//name/nm0017343/?ref_=ttfc_fc_cl_i3
Angélica Aragón,Teresa, la Madre de Alberto,https://www.imdb.com//name/nm0032793/?ref_=ttfc_fc_cl_i4
Marta Aura,Madre de Laura,https://www.imdb.com//name/nm0042144/?ref_=ttfc_fc_cl_i5
Emilio Cortez,Rafael,https://www.imdb.com//name/nm0181352/?ref_=ttfc_fc_cl_i6
Alberto Estrella,Luis,https://www.imdb.com//name/nm0261886/?ref_=ttfc_fc_cl_i7
Dino García,Rodrigo,https://www.imdb.com//name/nm0306057/?ref_=ttfc_fc_cl_i8
Claudia Gidi,Lorena,https://www.imdb.com//name/nm0317285/?ref_=ttfc_fc_cl_i9
Alejandra González Anaya,Amiga de Laura 2ª,https://www.imdb.com//name/nm0327888/?ref_=ttfc_fc_cl_i10
Erando González,Profesor,https://www.imdb.com//name/nm0328146/?ref_=ttfc_fc_cl_i11
Sabrina Gómez,Amiga de Laura 3ª,https://www.imdb.com//name/nm0351256/?ref_=ttfc_fc_cl_i12
Plutarco Haza,Alberto de Joven,https://www.imdb.com//name/nm0371867/?ref_=ttfc_fc_cl_i13
Sebastián Hiriart,Alberto (niño),https://www.imdb.com//name/nm0386351/?ref_=ttfc_fc_cl_i14
Benny Ibarra,El Ilustre,https://www.imdb.com//name/nm0406409/?ref_=ttfc_fc_cl_i15
Diego Jáuregui,Pepe,https://www.imdb.com//name/nm0433427/?ref_=ttfc_fc_cl_i16
Erika de la Llave,Marta,https://www.imdb.com//name/nm0515701/?ref_=ttfc_fc_cl_i17
Gonzalo Martínez,Policía,https://www.imdb.com//name/nm0555117/?ref_=ttfc_fc_cl_i18
Pilar Ixquic Mata,Ana,https://www.imdb.com//name/nm0558020/?ref_=ttfc_fc_cl_i19
Silverio Palacios,Batok,https://www.imdb.com//name/nm0657280/?ref_=ttfc_fc_cl_i20
Angelina Peláez,Directora de la escuela,https://www.imdb.com//name/nm0671426/?ref_=ttfc_fc_cl_i21
Roberto Ríos Leal,Óscar,https://www.imdb.com//name/nm0753805/?ref_=ttfc_fc_cl_i22
Alfredo Sevilla,Tomás, el padre de Alberto,https://www.imdb.com//name/nm0786437/?ref_=ttfc_fc_cl_i23
Mónica Sánchez,Amiga de Laura 1ª,https://www.imdb.com//name/nm0845119/?ref_=ttfc_fc_cl_i24
Tamara Xanath,Alicia,(as Tamara Shanath),,,https://www.imdb.com//name/nm0787979/?ref_=ttfc_fc_cl_i25
