Juventud sin ley _cast,role,imdb_page
Marga López,Elisa,https://www.imdb.com//name/nm0530244/?ref_=ttfc_fc_cl_i1
Arturo de Córdova,Licenciado Luis Ordorica,https://www.imdb.com//name/nm0194742/?ref_=ttfc_fc_cl_i2
Fanny Cano,Ofelia,https://www.imdb.com//name/nm0134315/?ref_=ttfc_fc_cl_i3
Fernando Luján,Jorge Ordorica,https://www.imdb.com//name/nm0525459/?ref_=ttfc_fc_cl_i4
Manolo Muñoz,Flaco,https://www.imdb.com//name/nm0616457/?ref_=ttfc_fc_cl_i5
Kitty de Hoyos,Ordorico's Wife,https://www.imdb.com//name/nm0398430/?ref_=ttfc_fc_cl_i6
Columba Domínguez,Sra. Silva,https://www.imdb.com//name/nm0231758/?ref_=ttfc_fc_cl_i7
Elba Aponte,La Chica Go-Go,https://www.imdb.com//name/nm1206340/?ref_=ttfc_fc_cl_i8
José Elías Moreno,Padre Francisco,https://www.imdb.com//name/nm0604032/?ref_=ttfc_fc_cl_i9
Roberto Jordán,Ricardo Silva,https://www.imdb.com//name/nm0430296/?ref_=ttfc_fc_cl_i10
Antonio Raxel,Juez,https://www.imdb.com//name/nm0712720/?ref_=ttfc_fc_cl_i11
Víctor Alcocer,Sr. Silva,https://www.imdb.com//name/nm0017248/?ref_=ttfc_fc_cl_i12
Agustín Martínez Solares ,https://www.imdb.com//name/nm9454472/?ref_=ttfc_fc_cl_i13
Carlos León,Jefe de la fábrica,https://www.imdb.com//name/nm0502457/?ref_=ttfc_fc_cl_i14
Antonio Dávila,, (as Antonio Davila H.),,,https://www.imdb.com//name/nm0246279/?ref_=ttfc_fc_cl_i15
Heberto Dávila Jr.,, (as Heberto Davila H.),,,https://www.imdb.com//name/nm0246275/?ref_=ttfc_fc_cl_i16
Sadi Dupeyrón,, (as Sady Dupeyron),,,https://www.imdb.com//name/nm0243199/?ref_=ttfc_fc_cl_i17
Carlos Amador hijo,, (as Carlos Amador Jr.),,,https://www.imdb.com//name/nm0023775/?ref_=ttfc_fc_cl_i18
Pascual García Peña,Doctor,(uncredited),,,https://www.imdb.com//name/nm0305814/?ref_=ttfc_fc_cl_i19
Nathanael León,Warden,(uncredited),,,https://www.imdb.com//name/nm0291284/?ref_=ttfc_fc_cl_i20
Mario Sevilla,Hombre en la oficina de Luis,(uncredited),,,https://www.imdb.com//name/nm0786463/?ref_=ttfc_fc_cl_i21
Guillermo Álvarez Bianchi,, (uncredited),,,https://www.imdb.com//name/nm0959321/?ref_=ttfc_fc_cl_i22
