La banda de los Panchitos _cast,role,imdb_page
Óscar Velázquez,Maya,https://www.imdb.com//name/nm1009320/?ref_=ttfc_fc_cl_i1
Mario de Jesus,Taco,(as Mário de Jesús Villers),,,https://www.imdb.com//name/nm1008413/?ref_=ttfc_fc_cl_i2
Óscar Medina,Mazas,https://www.imdb.com//name/nm1009190/?ref_=ttfc_fc_cl_i3
Jonathan Kano,Diablo,https://www.imdb.com//name/nm0437826/?ref_=ttfc_fc_cl_i4
Fabrizio Ruiz Velazco,Erik,https://www.imdb.com//name/nm1008013/?ref_=ttfc_fc_cl_i5
Rogelio Tretto,René,https://www.imdb.com//name/nm1008312/?ref_=ttfc_fc_cl_i6
Federico Sotarriba,Triangulo,https://www.imdb.com//name/nm1008167/?ref_=ttfc_fc_cl_i7
Jaime Salas Valencia,Gringo,https://www.imdb.com//name/nm1008037/?ref_=ttfc_fc_cl_i8
José Luis Madrigal,Ganchos,https://www.imdb.com//name/nm1007557/?ref_=ttfc_fc_cl_i9
Tony Ciyult,Tijuana,https://www.imdb.com//name/nm1006731/?ref_=ttfc_fc_cl_i10
Jesús Cancino,Tope,https://www.imdb.com//name/nm1008985/?ref_=ttfc_fc_cl_i11
César Jiménez,Tuerto,https://www.imdb.com//name/nm0422920/?ref_=ttfc_fc_cl_i12
José Ríos,Marrana,https://www.imdb.com//name/nm0753827/?ref_=ttfc_fc_cl_i13
César Cueto,Toño,https://www.imdb.com//name/nm1009013/?ref_=ttfc_fc_cl_i14
Roberto Castro,Beto,https://www.imdb.com//name/nm1008993/?ref_=ttfc_fc_cl_i15
Rogelio Morales,Chayo,https://www.imdb.com//name/nm1007699/?ref_=ttfc_fc_cl_i16
Gilberto González,Calaco,https://www.imdb.com//name/nm1008594/?ref_=ttfc_fc_cl_i17
Marco Antonio Hernández,Charly,https://www.imdb.com//name/nm1007211/?ref_=ttfc_fc_cl_i18
Selma González,Novia del Maya,https://www.imdb.com//name/nm1009433/?ref_=ttfc_fc_cl_i19
Alicia Pacheco,Lola,https://www.imdb.com//name/nm1007815/?ref_=ttfc_fc_cl_i20
María Ofelia Rivas,Rita /Vecina #3,https://www.imdb.com//name/nm1007973/?ref_=ttfc_fc_cl_i21
Zovek,Niño,https://www.imdb.com//name/nm1008527/?ref_=ttfc_fc_cl_i22
Javier Herrera,Muchacho del coche,https://www.imdb.com//name/nm1007214/?ref_=ttfc_fc_cl_i23
Gabriel Miralrio,Muchacho de la banda,https://www.imdb.com//name/nm1007680/?ref_=ttfc_fc_cl_i24
Ignacio Pimentel,Mac Artur,https://www.imdb.com//name/nm1007872/?ref_=ttfc_fc_cl_i25
María Luisa San Tome,Mama del Taco,https://www.imdb.com//name/nm1009564/?ref_=ttfc_fc_cl_i26
José González Capistramo,Jefe de Policía,https://www.imdb.com//name/nm1007102/?ref_=ttfc_fc_cl_i27
Roger Oropeza,Padre de Ganchos,https://www.imdb.com//name/nm0650409/?ref_=ttfc_fc_cl_i28
Luis Ignacio Erazo,Teporocho,(as Luis Erazo),,,https://www.imdb.com//name/nm0258622/?ref_=ttfc_fc_cl_i29
Isain Dávila,Vecino #1,https://www.imdb.com//name/nm1009041/?ref_=ttfc_fc_cl_i30
Atahualpa Antepara,Vecino #2,https://www.imdb.com//name/nm1006451/?ref_=ttfc_fc_cl_i31
Rafael Enríquez,Vecino #3,https://www.imdb.com//name/nm1009048/?ref_=ttfc_fc_cl_i32
Doris González,Mati,https://www.imdb.com//name/nm1009432/?ref_=ttfc_fc_cl_i33
Dinhora Retes Topete,Raquel,https://www.imdb.com//name/nm1007954/?ref_=ttfc_fc_cl_i34
Guadalupe Orona,Vecina #1,https://www.imdb.com//name/nm1009533/?ref_=ttfc_fc_cl_i35
Alma Lluvia,Vecina #2,https://www.imdb.com//name/nm1007519/?ref_=ttfc_fc_cl_i36
María Encarnación Herrera,Vecina #4,https://www.imdb.com//name/nm0380474/?ref_=ttfc_fc_cl_i37
Tellez Cucano,Borracho #1,https://www.imdb.com//name/nm1006784/?ref_=ttfc_fc_cl_i38
Heriberto Medina,Borracho #2,https://www.imdb.com//name/nm1007645/?ref_=ttfc_fc_cl_i39
Rudy Martínez,Sacristan,https://www.imdb.com//name/nm0553702/?ref_=ttfc_fc_cl_i40
Indio Mendoza,Amante #1,(as Luis Indio Mendoza),,,https://www.imdb.com//name/nm0579287/?ref_=ttfc_fc_cl_i41
Alfredo Dávila,Licenciado,https://www.imdb.com//name/nm0246277/?ref_=ttfc_fc_cl_i42
Alfredo Alexandro,Sonrisas,https://www.imdb.com//name/nm1008935/?ref_=ttfc_fc_cl_i43
Claudia Sánchez,Muchacha empleos,https://www.imdb.com//name/nm0844878/?ref_=ttfc_fc_cl_i44
Raymundo Hernández,Señor de las Plumas,https://www.imdb.com//name/nm0994896/?ref_=ttfc_fc_cl_i45
Ángel Cámara,Vendedor de periodicos,(as Ángel Cámara Castillo),,,https://www.imdb.com//name/nm0194580/?ref_=ttfc_fc_cl_i46
Francisco Javier Granados,Entrevistador #1,https://www.imdb.com//name/nm1007118/?ref_=ttfc_fc_cl_i47
Ricardo V. Castillo,Entrevistador #2,https://www.imdb.com//name/nm1006697/?ref_=ttfc_fc_cl_i48
Manuel Nochebuena,Entrevistador #3,https://www.imdb.com//name/nm1007765/?ref_=ttfc_fc_cl_i49
Sergio Valdovinos,Joven empleos #1,https://www.imdb.com//name/nm1008347/?ref_=ttfc_fc_cl_i50
Joel Hernández,Joven empleos #2,https://www.imdb.com//name/nm1008601/?ref_=ttfc_fc_cl_i51
Alexandro González,Psiquiatra,https://www.imdb.com//name/nm1007104/?ref_=ttfc_fc_cl_i52
Jess Fontana,Animador,https://www.imdb.com//name/nm0284920/?ref_=ttfc_fc_cl_i53
Asia del Castillo,Madre de Beto,https://www.imdb.com//name/nm1009617/?ref_=ttfc_fc_cl_i54
Carlos Juárez,Despistado,https://www.imdb.com//name/nm0433355/?ref_=ttfc_fc_cl_i55
Ismael Rojas,Señor del Pastro,(as Ismael Rojas 'El Bebe'),,,https://www.imdb.com//name/nm1007988/?ref_=ttfc_fc_cl_i56
Mário Granero,Padre de familia,https://www.imdb.com//name/nm1009088/?ref_=ttfc_fc_cl_i57
Swan,Madre de familia,https://www.imdb.com//name/nm1008237/?ref_=ttfc_fc_cl_i58
Alejandra Becerril,Hija de familia,https://www.imdb.com//name/nm0064930/?ref_=ttfc_fc_cl_i59
Gabriela Macías,Niña rica,https://www.imdb.com//name/nm1009488/?ref_=ttfc_fc_cl_i60
Dora María Dávila,Niña enferma,https://www.imdb.com//name/nm1011034/?ref_=ttfc_fc_cl_i61
Luis Bravo Sosa,Anciano,https://www.imdb.com//name/nm0106046/?ref_=ttfc_fc_cl_i62
Ricardo Jafet,Muchacho de la banca,https://www.imdb.com//name/nm1009127/?ref_=ttfc_fc_cl_i63
Patricia González,Paty,https://www.imdb.com//name/nm1008691/?ref_=ttfc_fc_cl_i64
Mary Cruz Godínez,Mama Erik,https://www.imdb.com//name/nm1007094/?ref_=ttfc_fc_cl_i65
Virginia González,Vicky,https://www.imdb.com//name/nm1007105/?ref_=ttfc_fc_cl_i66
José Castillo,Jueguero,https://www.imdb.com//name/nm0145109/?ref_=ttfc_fc_cl_i67
Rosendo León,Hombre del parque,https://www.imdb.com//name/nm1007500/?ref_=ttfc_fc_cl_i68
Abel Casillas,Adulto cine,https://www.imdb.com//name/nm0143681/?ref_=ttfc_fc_cl_i69
José Alfredo Camacho ,https://www.imdb.com//name/nm9753110/?ref_=ttfc_fc_cl_i70
