La locura del rock and roll _cast,role,imdb_page
Lilia Prado,Teresa García,https://www.imdb.com//name/nm0695033/?ref_=ttfc_fc_cl_i1
Lilia Guízar,Lilia,https://www.imdb.com//name/nm0350261/?ref_=ttfc_fc_cl_i2
Otilia Larrañaga ,https://www.imdb.com//name/nm0488590/?ref_=ttfc_fc_cl_i3
Gloria Ríos,Gloria,https://www.imdb.com//name/nm0753819/?ref_=ttfc_fc_cl_i4
Juan García Esquivel,Juan,https://www.imdb.com//name/nm0305652/?ref_=ttfc_fc_cl_i5
Evita Muñoz 'Chachita' ,https://www.imdb.com//name/nm0616307/?ref_=ttfc_fc_cl_i6
Marina Camacho,Marina,(as Marina Camacho Estabillo),,,https://www.imdb.com//name/nm0131114/?ref_=ttfc_fc_cl_i7
Edmundo Mendoza,, (as Edmundo Mendoza Esqueda),,,https://www.imdb.com//name/nm0579257/?ref_=ttfc_fc_cl_i8
Susana Cabrera,Susy,https://www.imdb.com//name/nm0127883/?ref_=ttfc_fc_cl_i9
Pancho Córdova,don Rubén,https://www.imdb.com//name/nm0194745/?ref_=ttfc_fc_cl_i10
Vicente Oroná Jr.,, (as Vicente Orona Brillas),,,https://www.imdb.com//name/nm0650389/?ref_=ttfc_fc_cl_i11
Salomon Walerstein ,https://www.imdb.com//name/nm0907382/?ref_=ttfc_fc_cl_i12
Fernando Celis,, (as Fernando Celis B.),,,https://www.imdb.com//name/nm0148089/?ref_=ttfc_fc_cl_i13
Consuelo Monteagudo,doña Belinda,(as Consuelo Monteagudo de Mejorada),,,https://www.imdb.com//name/nm0599120/?ref_=ttfc_fc_cl_i14
Irma Castillón,Lichita,(as niña Irma Castillon Godinez),,,https://www.imdb.com//name/nm0145222/?ref_=ttfc_fc_cl_i15
Sergio Corona,René,https://www.imdb.com//name/nm0180569/?ref_=ttfc_fc_cl_i16
Alfonso Arau,Cristobal,https://www.imdb.com//name/nm0000778/?ref_=ttfc_fc_cl_i17
León Barroso,, (uncredited),,,https://www.imdb.com//name/nm0057814/?ref_=ttfc_fc_cl_i18
Victorio Blanco,El General,(uncredited),,,https://www.imdb.com//name/nm0087347/?ref_=ttfc_fc_cl_i19
Omar Jasso,, (uncredited),,,https://www.imdb.com//name/nm0419338/?ref_=ttfc_fc_cl_i20
Héctor Mateos,Pepe,(uncredited),,,https://www.imdb.com//name/nm0558278/?ref_=ttfc_fc_cl_i21
Luis Rodríguez,, (uncredited),,,https://www.imdb.com//name/nm9326755/?ref_=ttfc_fc_cl_i22
Ricardo Sánchez de la Barquera,, (uncredited),,,https://www.imdb.com//name/nm0844698/?ref_=ttfc_fc_cl_i23
Manuel Trejo Morales,, (uncredited),,,https://www.imdb.com//name/nm0871795/?ref_=ttfc_fc_cl_i24
Manuel Vergara 'Manver',, (uncredited),,,https://www.imdb.com//name/nm0544329/?ref_=ttfc_fc_cl_i25
