La verdadera vocación de Magdalena _cast,role,imdb_page
Angélica María,Magdalena, "Magui" /"Irene Durán",https://www.imdb.com//name/nm0555898/?ref_=ttfc_fc_cl_i1
Carmen Montejo,Zoyla,https://www.imdb.com//name/nm0599269/?ref_=ttfc_fc_cl_i2
Javier Martín del Campo,Emeterio, "Eme",https://www.imdb.com//name/nm0554539/?ref_=ttfc_fc_cl_i3
Letícia Robles,Gloria,https://www.imdb.com//name/nm0733358/?ref_=ttfc_fc_cl_i4
Farnesio de Bernal,Armando,https://www.imdb.com//name/nm0207392/?ref_=ttfc_fc_cl_i5
Ricardo Fuentes,Ricardo,https://www.imdb.com//name/nm0297466/?ref_=ttfc_fc_cl_i6
Emma Roldán,Vendedora de lotería,https://www.imdb.com//name/nm0738139/?ref_=ttfc_fc_cl_i7
Mario Casillas,Entrevistador TV,https://www.imdb.com//name/nm0143704/?ref_=ttfc_fc_cl_i8
María Guadalupe Delgado,Armando's Mother,https://www.imdb.com//name/nm0217028/?ref_=ttfc_fc_cl_i9
Rafael Baledón,Señor Almazán,https://www.imdb.com//name/nm0050048/?ref_=ttfc_fc_cl_i10
Lourdes Canale,Tere,https://www.imdb.com//name/nm0133524/?ref_=ttfc_fc_cl_i11
Guillermo Castillo,Guillermo,https://www.imdb.com//name/nm0145088/?ref_=ttfc_fc_cl_i12
María Montejo,Girl,https://www.imdb.com//name/nm0599271/?ref_=ttfc_fc_cl_i13
Pedro Regueiro,Young hippie,https://www.imdb.com//name/nm0716750/?ref_=ttfc_fc_cl_i14
Roberto Jordán,Self,https://www.imdb.com//name/nm0430296/?ref_=ttfc_fc_cl_i15
La Revolución de Emiliano Zapata ,https://www.imdb.com//name/nm11398522/?ref_=ttfc_fc_cl_i16
