Los chiflados del rock and roll _cast,role,imdb_page
Luis Aguilar,Luis,https://www.imdb.com//name/nm0013566/?ref_=ttfc_fc_cl_i1
Agustín Lara,Agustín,https://www.imdb.com//name/nm0487881/?ref_=ttfc_fc_cl_i2
Pedro Vargas,Pedro,https://www.imdb.com//name/nm0889893/?ref_=ttfc_fc_cl_i3
Eulalio González,Don Apolonio Aguilar,(as Lalo Gonzalez 'Piporro'),,,https://www.imdb.com//name/nm0327606/?ref_=ttfc_fc_cl_i4
Lina Salomé,Ana,https://www.imdb.com//name/nm0758935/?ref_=ttfc_fc_cl_i5
Delia Magaña,Clara,https://www.imdb.com//name/nm0535757/?ref_=ttfc_fc_cl_i6
Ricardo Sánchez de la Barquera,Macario,(as Richard),,,https://www.imdb.com//name/nm0844698/?ref_=ttfc_fc_cl_i7
Roberto G. Rivera,Trabajador de cabaret,https://www.imdb.com//name/nm0729409/?ref_=ttfc_fc_cl_i8
Arturo Castro 'Bigotón',Campesino,https://www.imdb.com//name/nm0145443/?ref_=ttfc_fc_cl_i9
Francisco Reiguera,Don Secundino,https://www.imdb.com//name/nm0717592/?ref_=ttfc_fc_cl_i10
Rosita Arenas,Paloma Domínguez,https://www.imdb.com//name/nm0034301/?ref_=ttfc_fc_cl_i11
