Los perversos _cast,role,imdb_page
Sonia Furió,Celia,https://www.imdb.com//name/nm0298913/?ref_=ttfc_fc_cl_i1
Fernando Luján,Robert,https://www.imdb.com//name/nm0525459/?ref_=ttfc_fc_cl_i2
Elizabeth Campbell,Marian,https://www.imdb.com//name/nm0132436/?ref_=ttfc_fc_cl_i3
Eric del Castillo,Mario Trevino,https://www.imdb.com//name/nm0145061/?ref_=ttfc_fc_cl_i4
Ana Martín,Rita,https://www.imdb.com//name/nm0554578/?ref_=ttfc_fc_cl_i5
Rogelio Guerra,Jorge,https://www.imdb.com//name/nm0346080/?ref_=ttfc_fc_cl_i6
Victor Eberg,Renato,https://www.imdb.com//name/nm0248027/?ref_=ttfc_fc_cl_i7
Marcela Daviland,Margaret Reynolds,https://www.imdb.com//name/nm0204068/?ref_=ttfc_fc_cl_i8
Arturo Cobo,Mesero,https://www.imdb.com//name/nm0167934/?ref_=ttfc_fc_cl_i9
Arturo Silva,Mesero,https://www.imdb.com//name/nm0798225/?ref_=ttfc_fc_cl_i10
Mayte Carol,Beba Sandoval,https://www.imdb.com//name/nm0138988/?ref_=ttfc_fc_cl_i11
Mario Sevilla,Lic.Velez,https://www.imdb.com//name/nm0786463/?ref_=ttfc_fc_cl_i12
Tito Novaro,Socio de Mario,https://www.imdb.com//name/nm0545580/?ref_=ttfc_fc_cl_i13
Alfredo Wally Barrón,Jefe de policía,https://www.imdb.com//name/nm0058229/?ref_=ttfc_fc_cl_i14
Federico del Castillo,Agente de policía,https://www.imdb.com//name/nm0145066/?ref_=ttfc_fc_cl_i15
Julio Aldama,Hombre bailando en cabaret,(uncredited),,,https://www.imdb.com//name/nm0017391/?ref_=ttfc_fc_cl_i16
Rodolfo de Anda,Hombre bailando en cabaret,(uncredited),,,https://www.imdb.com//name/nm0207023/?ref_=ttfc_fc_cl_i17
José Wilhelmy,Yurex, mesero,(uncredited),,,https://www.imdb.com//name/nm0928972/?ref_=ttfc_fc_cl_i18
Mario Zebadúa 'Colocho,, (uncredited),,,https://www.imdb.com//name/nm0954046/?ref_=ttfc_fc_cl_i19
Aurora Zermeño,Tía Clementina,(uncredited),,,https://www.imdb.com//name/nm0955083/?ref_=ttfc_fc_cl_i20
