Naco es chido _cast,role,imdb_page
Sergio Arau,El Uyuyuy,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_cl_i1
Yareli Arizmendi,Macuca,https://www.imdb.com//name/nm0034976/?ref_=ttfc_fc_cl_i2
Flavia Atencio,Srta. Secretaria,https://www.imdb.com//name/nm2136480/?ref_=ttfc_fc_cl_i3
Francisco Barrios,Self,https://www.imdb.com//name/nm1942375/?ref_=ttfc_fc_cl_i4
Francisco Barrios,El mastuerzo,https://www.imdb.com//name/nm3393870/?ref_=ttfc_fc_cl_i5
Lety Gómez,Doña Pina,(as Leticia Gómez Rivera),,,https://www.imdb.com//name/nm0350965/?ref_=ttfc_fc_cl_i6
Carlos Manzo,Fellini,https://www.imdb.com//name/nm0544497/?ref_=ttfc_fc_cl_i7
Gina Morett,Angie,(as Gina Moret),,,https://www.imdb.com//name/nm0604294/?ref_=ttfc_fc_cl_i8
Gerardo Ott,Self,https://www.imdb.com//name/nm3069704/?ref_=ttfc_fc_cl_i9
Luis Romano,Mastuerzo Joven,https://www.imdb.com//name/nm2624175/?ref_=ttfc_fc_cl_i10
Rafael Sigler,Locutor.,https://www.imdb.com//name/nm2292836/?ref_=ttfc_fc_cl_i11
Armando Vega Gil,El Cucurrucucu,https://www.imdb.com//name/nm0891771/?ref_=ttfc_fc_cl_i12
