Peligros de juventud_cast,role,imdb_page
Elvira Quintana,Sue,https://www.imdb.com//name/nm0704101/?ref_=ttfc_fc_cl_i1
Tere Velázquez,Catalina,https://www.imdb.com//name/nm0892834/?ref_=ttfc_fc_cl_i2
Fernando Luján,Ricardo,https://www.imdb.com//name/nm0525459/?ref_=ttfc_fc_cl_i3
Manuel 'Loco' Valdés,Charol,https://www.imdb.com//name/nm0883829/?ref_=ttfc_fc_cl_i4
Roberto G. Rivera,Federico,https://www.imdb.com//name/nm0729409/?ref_=ttfc_fc_cl_i5
Aída Araceli,Elsa,https://www.imdb.com//name/nm0032692/?ref_=ttfc_fc_cl_i6
Guillermina Téllez Girón,Alma,https://www.imdb.com//name/nm0879385/?ref_=ttfc_fc_cl_i7
Xavier Loyá,Andrés,https://www.imdb.com//name/nm0523453/?ref_=ttfc_fc_cl_i8
Héctor Godoy,Alfredo,https://www.imdb.com//name/nm0324179/?ref_=ttfc_fc_cl_i9
Judy Ponte,Amiga de Matilde,https://www.imdb.com//name/nm0690585/?ref_=ttfc_fc_cl_i10
Erika Rener,Matilde,https://www.imdb.com//name/nm0719472/?ref_=ttfc_fc_cl_i11
José Luis Moreno,Estudiante facultad,https://www.imdb.com//name/nm0604035/?ref_=ttfc_fc_cl_i12
Emma Roldán,Lupe,https://www.imdb.com//name/nm0738139/?ref_=ttfc_fc_cl_i13
Guillermo Mayaudón,Estudiante facultad,https://www.imdb.com//name/nm13929086/?ref_=ttfc_fc_cl_i14
Leopoldo Salazar,Estudiante facultad,https://www.imdb.com//name/nm0282922/?ref_=ttfc_fc_cl_i15
Ivan Richard Kraskin,David,https://www.imdb.com//name/nm0469906/?ref_=ttfc_fc_cl_i16
Ethel Carrillo,Estudiante,(uncredited),,,https://www.imdb.com//name/nm0140485/?ref_=ttfc_fc_cl_i17
Mario Cid,Joven burlista,(uncredited),,,https://www.imdb.com//name/nm0162099/?ref_=ttfc_fc_cl_i18
Enedina Díaz de León,Vendedora de flores,(uncredited),,,https://www.imdb.com//name/nm0246441/?ref_=ttfc_fc_cl_i19
Ignacio Peón,Profesor,(uncredited),,,https://www.imdb.com//name/nm0679279/?ref_=ttfc_fc_cl_i20
Carlos Robles Gil,Maestro,(uncredited),,,https://www.imdb.com//name/nm0733302/?ref_=ttfc_fc_cl_i21
Ignacio Solorzano,Repartidor de donas,(uncredited),,,https://www.imdb.com//name/nm0813485/?ref_=ttfc_fc_cl_i22
Hernán Vera,Cliente,(uncredited),,,https://www.imdb.com//name/nm0893541/?ref_=ttfc_fc_cl_i23
