Perfume de violetas _cast,role,imdb_page
Ximena Ayala,Yessica,https://www.imdb.com//name/nm0043650/?ref_=ttfc_fc_cl_i1
Nancy Gutiérrez,Miriam,https://www.imdb.com//name/nm0349573/?ref_=ttfc_fc_cl_i2
Arcelia Ramírez,Alicia, madre de Miriam,https://www.imdb.com//name/nm0709204/?ref_=ttfc_fc_cl_i3
María Rojo,Madre de Yessica,https://www.imdb.com//name/nm0737938/?ref_=ttfc_fc_cl_i4
Luis Fernando Peña,Jorge,https://www.imdb.com//name/nm0671526/?ref_=ttfc_fc_cl_i5
Gabino Rodríguez,Héctor,https://www.imdb.com//name/nm0735851/?ref_=ttfc_fc_cl_i6
Pablo Delgado,Juan,https://www.imdb.com//name/nm0217048/?ref_=ttfc_fc_cl_i7
Eligio Meléndez,Padrastro de Yessica,https://www.imdb.com//name/nm0578577/?ref_=ttfc_fc_cl_i8
Rosario Zúñiga,Prefecta,https://www.imdb.com//name/nm0959250/?ref_=ttfc_fc_cl_i9
Soledad González,Directora,https://www.imdb.com//name/nm0328487/?ref_=ttfc_fc_cl_i10
César Balcázar,El Topi,https://www.imdb.com//name/nm1349702/?ref_=ttfc_fc_cl_i11
Josefina Marín,Maestra de historia,https://www.imdb.com//name/nm1459403/?ref_=ttfc_fc_cl_i12
Clarissa Malheiros,Maestra de gimnasia,https://www.imdb.com//name/nm0539478/?ref_=ttfc_fc_cl_i13
Carlos García,Maestro de mecanografía,https://www.imdb.com//name/nm0306005/?ref_=ttfc_fc_cl_i14
Guadalupe Sánchez,Maestra de matemáticas,https://www.imdb.com//name/nm0844949/?ref_=ttfc_fc_cl_i15
Mayahuel Tocozautla,Marchanta mercado,https://www.imdb.com//name/nm1460385/?ref_=ttfc_fc_cl_i16
Zury Mora,Enfermera,https://www.imdb.com//name/nm1459549/?ref_=ttfc_fc_cl_i17
Roberto Cabral,Jefe de Alicia,https://www.imdb.com//name/nm1460754/?ref_=ttfc_fc_cl_i18
Gabriela Sánchez,Alumna gimnasia,https://www.imdb.com//name/nm1461290/?ref_=ttfc_fc_cl_i19
Karla Cortés,Alumna gimnasia,https://www.imdb.com//name/nm1461157/?ref_=ttfc_fc_cl_i20
Argelia Díaz Cabral,Alumna gimnasia,https://www.imdb.com//name/nm1458441/?ref_=ttfc_fc_cl_i21
Deborah Rambal,Alumna gimnasia,https://www.imdb.com//name/nm1459912/?ref_=ttfc_fc_cl_i22
