Piedras verdes _cast,role,imdb_page
Vanessa Bauche,Mariana,https://www.imdb.com//name/nm0061639/?ref_=ttfc_fc_cl_i1
Osvaldo Benavides,Sebastián,https://www.imdb.com//name/nm0070282/?ref_=ttfc_fc_cl_i2
Juan Claudio Retes,Gallardo,https://www.imdb.com//name/nm0720513/?ref_=ttfc_fc_cl_i3
Gabriel Retes,Hombre de negro,https://www.imdb.com//name/nm0720510/?ref_=ttfc_fc_cl_i4
Alicia del Lago,Aurora,https://www.imdb.com//name/nm0215606/?ref_=ttfc_fc_cl_i5
Ignacio Retes,Comisionado,https://www.imdb.com//name/nm0720512/?ref_=ttfc_fc_cl_i6
Óscar Chávez,José Santana,https://www.imdb.com//name/nm0161693/?ref_=ttfc_fc_cl_i7
Blanca Sánchez,Dolores,https://www.imdb.com//name/nm0844854/?ref_=ttfc_fc_cl_i8
Dagoberto Gama,Cruz,https://www.imdb.com//name/nm0303607/?ref_=ttfc_fc_cl_i9
Damián Delgado,Antonio,https://www.imdb.com//name/nm0216928/?ref_=ttfc_fc_cl_i10
Francisco Barrios,Mapache,https://www.imdb.com//name/nm3393870/?ref_=ttfc_fc_cl_i11
Leonardo Bondani,Bruno,https://www.imdb.com//name/nm3084224/?ref_=ttfc_fc_cl_i12
Andrea Brassel,Monja 2,https://www.imdb.com//name/nm6968003/?ref_=ttfc_fc_cl_i13
Monica Bravo,Enfermera,https://www.imdb.com//name/nm6968004/?ref_=ttfc_fc_cl_i14
Marisol Del Lago,Mariana (Niña),https://www.imdb.com//name/nm6968002/?ref_=ttfc_fc_cl_i15
Gerardo Gallardo,Jonas,https://www.imdb.com//name/nm0302607/?ref_=ttfc_fc_cl_i16
María García,Mujer en Selva,https://www.imdb.com//name/nm5129887/?ref_=ttfc_fc_cl_i17
Víctor Garibay,Militar 1,https://www.imdb.com//name/nm0307409/?ref_=ttfc_fc_cl_i18
Carmen Herrera,Monja con bigote,https://www.imdb.com//name/nm3201562/?ref_=ttfc_fc_cl_i19
Elvira Ixel,Monja,https://www.imdb.com//name/nm1703300/?ref_=ttfc_fc_cl_i20
Jorge Mondragón,Tipo gris,https://www.imdb.com//name/nm2396065/?ref_=ttfc_fc_cl_i21
Rodrigo Murray,Tipo catrín,https://www.imdb.com//name/nm0615249/?ref_=ttfc_fc_cl_i22
Mario Oliver,Agente 2,https://www.imdb.com//name/nm6968000/?ref_=ttfc_fc_cl_i23
Irma Perez,Ñora,https://www.imdb.com//name/nm6968006/?ref_=ttfc_fc_cl_i24
Mayra Serbulo,Mujer sin pupilas,https://www.imdb.com//name/nm0784904/?ref_=ttfc_fc_cl_i25
Michel Sokol,Fer,https://www.imdb.com//name/nm6968001/?ref_=ttfc_fc_cl_i26
Norman Sotolongo,Max,https://www.imdb.com//name/nm1451358/?ref_=ttfc_fc_cl_i27
Gabriela Tapia,Mujer con capa negra,https://www.imdb.com//name/nm2112633/?ref_=ttfc_fc_cl_i28
Mariana Velasco,Mujer delgada,https://www.imdb.com//name/nm1274133/?ref_=ttfc_fc_cl_i29
Jorge Zárate,Agente 1,https://www.imdb.com//name/nm0959172/?ref_=ttfc_fc_cl_i30
