7 días _cast_member,imdb_page
Directed by 
 Fernando Kalife ,https://www.imdb.com//name/nm1628163/?ref_=ttfc_fc_dr1
Writing Credits         
 Fernando Kalife ,https://www.imdb.com//name/nm1628163/?ref_=ttfc_fc_wr1
Produced by 
 Adriana Aimo ,https://www.imdb.com//name/nm0014651/?ref_=ttfc_fc_cr2
 Bernardo Bichara ,https://www.imdb.com//name/nm1628419/?ref_=ttfc_fc_cr3
 Salvador de la Fuente ,https://www.imdb.com//name/nm0209257/?ref_=ttfc_fc_cr4
 Fernando Kalife ,https://www.imdb.com//name/nm1628163/?ref_=ttfc_fc_cr5
 Leonardo Villarreal ,https://www.imdb.com//name/nm1628581/?ref_=ttfc_fc_cr6
Music by 
 Jeff Cardoni ,https://www.imdb.com//name/nm1132022/?ref_=ttfc_fc_cr7
Cinematography by 
 Gonzalo Amat ,https://www.imdb.com//name/nm1103210/?ref_=ttfc_fc_cr8
Film Editing by 
 Hernan Aguilar ,https://www.imdb.com//name/nm1231289/?ref_=ttfc_fc_cr9
 Juan Carlos Garza ,https://www.imdb.com//name/nm0308945/?ref_=ttfc_fc_cr10
 Carla Hool ,https://www.imdb.com//name/nm1411468/?ref_=ttfc_fc_cr11
Art Direction by 
 Enrique Echeverría ,https://www.imdb.com//name/nm0248445/?ref_=ttfc_fc_cr12
 Alberto Gonzalez-Reyna ,https://www.imdb.com//name/nm0327603/?ref_=ttfc_fc_cr13
Set Decoration by 
 Laura M González ,https://www.imdb.com//name/nm0328294/?ref_=ttfc_fc_cr14
Production Management 
 Judith Black ,https://www.imdb.com//name/nm1975057/?ref_=ttfc_fc_cr15
 Hernán Contreras ,https://www.imdb.com//name/nm1014609/?ref_=ttfc_fc_cr16
 Carlos García Campillo ,https://www.imdb.com//name/nm0305584/?ref_=ttfc_fc_cr17
Second Unit Director or Assistant Director 
 Carlos García Campillo ,https://www.imdb.com//name/nm0305584/?ref_=ttfc_fc_cr18
 Hiromi Kamata ,https://www.imdb.com//name/nm1659777/?ref_=ttfc_fc_cr19
 Joaquin Silva ,https://www.imdb.com//name/nm0798360/?ref_=ttfc_fc_cr20
 Eduardo Villarreal ,https://www.imdb.com//name/nm5576747/?ref_=ttfc_fc_cr21
Art Department 
 Alejandro Aguilera ,https://www.imdb.com//name/nm3517395/?ref_=ttfc_fc_cr22
 Ricardo Davila ,https://www.imdb.com//name/nm2315666/?ref_=ttfc_fc_cr23
 Paula Sosa ,https://www.imdb.com//name/nm2094526/?ref_=ttfc_fc_cr24
 Bueno Alina Téllez ,https://www.imdb.com//name/nm2100950/?ref_=ttfc_fc_cr25
Sound Department 
 Sandy Berman ,https://www.imdb.com//name/nm0075845/?ref_=ttfc_fc_cr26
 Brian Best ,https://www.imdb.com//name/nm0078906/?ref_=ttfc_fc_cr27
 Chris David ,https://www.imdb.com//name/nm0202845/?ref_=ttfc_fc_cr28
 Christopher Eakins ,https://www.imdb.com//name/nm1321574/?ref_=ttfc_fc_cr29
 Pedro Mejía ,https://www.imdb.com//name/nm0577243/?ref_=ttfc_fc_cr30
 Terry Rodman ,https://www.imdb.com//name/nm0734921/?ref_=ttfc_fc_cr31
 Victoria Rose Sampson ,https://www.imdb.com//name/nm0760222/?ref_=ttfc_fc_cr32
Visual Effects by 
 Brian Beard ,https://www.imdb.com//name/nm1721356/?ref_=ttfc_fc_cr33
 Christopher Dusendschon ,https://www.imdb.com//name/nm1076458/?ref_=ttfc_fc_cr34
 Jenz Merrill ,https://www.imdb.com//name/nm1995201/?ref_=ttfc_fc_cr35
Stunts 
 Marco Morales ,https://www.imdb.com//name/nm4267569/?ref_=ttfc_fc_cr36
Camera and Electrical Department 
 Gonzalo Amat ,https://www.imdb.com//name/nm1103210/?ref_=ttfc_fc_cr37
 Tabbert Fiiller ,https://www.imdb.com//name/nm1184866/?ref_=ttfc_fc_cr38
 Francisco García Medina ,https://www.imdb.com//name/nm1652643/?ref_=ttfc_fc_cr39
 Juan Fernando Guzmán ,https://www.imdb.com//name/nm0350074/?ref_=ttfc_fc_cr40
 David Fred Masselink ,https://www.imdb.com//name/nm0557224/?ref_=ttfc_fc_cr41
 Israel Páez ,https://www.imdb.com//name/nm1781840/?ref_=ttfc_fc_cr42
 Ricardo Hoseguera ,https://www.imdb.com//name/nm2899807/?ref_=ttfc_fc_cr43
 Ella Robleswelch ,https://www.imdb.com//name/nm1803511/?ref_=ttfc_fc_cr44
Editorial Department 
 Arturo González Alonso ,https://www.imdb.com//name/nm2467966/?ref_=ttfc_fc_cr45
 Michael John Koetter ,https://www.imdb.com//name/nm1647934/?ref_=ttfc_fc_cr46
 Manuel Mendieta ,https://www.imdb.com//name/nm3842386/?ref_=ttfc_fc_cr47
 Jenz Merrill ,https://www.imdb.com//name/nm1995201/?ref_=ttfc_fc_cr48
 Michael Mintz ,https://www.imdb.com//name/nm1959419/?ref_=ttfc_fc_cr49
Music Department 
 David Knauer ,https://www.imdb.com//name/nm1390163/?ref_=ttfc_fc_cr50
 Doug Trantow ,https://www.imdb.com//name/nm1590624/?ref_=ttfc_fc_cr51
Additional Crew 
 Yhara Mejia ,https://www.imdb.com//name/nm2550586/?ref_=ttfc_fc_cr52
 Brenda Mendiola ,https://www.imdb.com//name/nm1315207/?ref_=ttfc_fc_cr53
 Fausto Muñoz ,https://www.imdb.com//name/nm3306225/?ref_=ttfc_fc_cr54
