Al compás del rock and roll _cast_member,imdb_page
Directed by 
 José Díaz Morales ,https://www.imdb.com//name/nm0246473/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José Carbo ,https://www.imdb.com//name/nm0136119/?ref_=ttfc_fc_wr1
 José Díaz Morales ,https://www.imdb.com//name/nm0246473/?ref_=ttfc_fc_wr2
 José Luis Galiana ,https://www.imdb.com//name/nm0302057/?ref_=ttfc_fc_wr3
Produced by 
 Alberto López ,https://www.imdb.com//name/nm0529994/?ref_=ttfc_fc_cr2
Music by 
 Antonio Díaz Conde ,https://www.imdb.com//name/nm0006054/?ref_=ttfc_fc_cr3
Cinematography by 
 Ezequiel Carrasco ,https://www.imdb.com//name/nm0140039/?ref_=ttfc_fc_cr4
Film Editing by 
 José W. Bustos ,https://www.imdb.com//name/nm1804426/?ref_=ttfc_fc_cr5
Production Design by 
 Javier Torres Torija ,https://www.imdb.com//name/nm0868538/?ref_=ttfc_fc_cr6
Costume Design by 
 Julio Chávez ,https://www.imdb.com//name/nm0161662/?ref_=ttfc_fc_cr7
Makeup Department 
 Carmen Palomino ,https://www.imdb.com//name/nm0658736/?ref_=ttfc_fc_cr8
 Teresa Sánchez ,https://www.imdb.com//name/nm0845184/?ref_=ttfc_fc_cr9
Production Management 
 Jorge Mondragón ,https://www.imdb.com//name/nm0597796/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Julio Cahero ,https://www.imdb.com//name/nm0128629/?ref_=ttfc_fc_cr12
Sound Department 
 Luis Fernández ,https://www.imdb.com//name/nm0273621/?ref_=ttfc_fc_cr13
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr14
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr15
Special Effects by 
 Juan Muñoz Ravelo ,https://www.imdb.com//name/nm0616337/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 Mariano García ,https://www.imdb.com//name/nm1223142/?ref_=ttfc_fc_cr17
 Leonardo Jiménez ,https://www.imdb.com//name/nm0422992/?ref_=ttfc_fc_cr18
 Manuel Santaella ,https://www.imdb.com//name/nm0763179/?ref_=ttfc_fc_cr19
Editorial Department 
 Jorge Azcárate ,https://www.imdb.com//name/nm0044168/?ref_=ttfc_fc_cr20
 Reynaldo P. Portillo ,https://www.imdb.com//name/nm0692417/?ref_=ttfc_fc_cr21
Music Department 
 Antonio Díaz Conde ,https://www.imdb.com//name/nm0006054/?ref_=ttfc_fc_cr22
 Mario Patrón ,https://www.imdb.com//name/nm0666024/?ref_=ttfc_fc_cr23
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr24
Script and Continuity Department 
 Miguel Ángel Madrigal ,https://www.imdb.com//name/nm0535141/?ref_=ttfc_fc_cr25
Additional Crew 
 Julián de Meriche ,https://www.imdb.com//name/nm0580746/?ref_=ttfc_fc_cr26
 Nicolás Rueda hijo ,https://www.imdb.com//name/nm0749100/?ref_=ttfc_fc_cr27
