Amor a ritmo de go-go _cast_member,imdb_page
Directed by 
 Miguel M. Delgado ,https://www.imdb.com//name/nm0217035/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Adolfo Torres Portillo ,https://www.imdb.com//name/nm0868531/?ref_=ttfc_fc_wr1
Produced by 
 Eduardo Galindo ,https://www.imdb.com//name/nm0302137/?ref_=ttfc_fc_cr2
 Jesús Galindo ,https://www.imdb.com//name/nm0302163/?ref_=ttfc_fc_cr3
Music by 
 Leo Acosta ,https://www.imdb.com//name/nm0010213/?ref_=ttfc_fc_cr4
 Raúl Lavista ,https://www.imdb.com//name/nm0006165/?ref_=ttfc_fc_cr5
 Los Rockin Devils ,https://www.imdb.com//name/nm0734267/?ref_=ttfc_fc_cr6
Cinematography by 
 José Ortiz Ramos ,https://www.imdb.com//name/nm0651051/?ref_=ttfc_fc_cr7
Film Editing by 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr8
Production Design by 
 Salvador Lozano Mena ,https://www.imdb.com//name/nm0523543/?ref_=ttfc_fc_cr9
Camera and Electrical Department 
 José Antonio Carrasco ,https://www.imdb.com//name/nm0140059/?ref_=ttfc_fc_cr10
Music Department 
 Leo Acosta ,https://www.imdb.com//name/nm0010213/?ref_=ttfc_fc_cr11
 Los Rockin Devils ,https://www.imdb.com//name/nm0734267/?ref_=ttfc_fc_cr12
Additional Crew 
 José Silva ,https://www.imdb.com//name/nm0798374/?ref_=ttfc_fc_cr13
 Tongolele ,https://www.imdb.com//name/nm0599600/?ref_=ttfc_fc_cr14
