Despedida de casada_cast_member,imdb_page
Directed by 
 Juan de Orduña ,https://www.imdb.com//name/nm0649563/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Fernando Galiana ,https://www.imdb.com//name/nm0302055/?ref_=ttfc_fc_wr1
 Jesús Navarro Carrión ,https://www.imdb.com//name/nm0622803/?ref_=ttfc_fc_wr2
Produced by 
 Fernando de Fuentes ,https://www.imdb.com//name/nm0297414/?ref_=ttfc_fc_cr2
 Juan de Orduña ,https://www.imdb.com//name/nm0649563/?ref_=ttfc_fc_cr3
 Enrique Rosas Priego ,https://www.imdb.com//name/nm0741066/?ref_=ttfc_fc_cr4
Cinematography by 
 Alex Phillips ,https://www.imdb.com//name/nm0006384/?ref_=ttfc_fc_cr5
Film Editing by 
 Alfredo Rosas Priego ,https://www.imdb.com//name/nm0741065/?ref_=ttfc_fc_cr6
Set Decoration by 
 José González ,https://www.imdb.com//name/nm0328253/?ref_=ttfc_fc_cr7
Makeup Department 
 Elda Loza ,https://www.imdb.com//name/nm0523504/?ref_=ttfc_fc_cr8
 Teresa Sánchez ,https://www.imdb.com//name/nm0845184/?ref_=ttfc_fc_cr9
Production Management 
 Fortunato Bernal ,https://www.imdb.com//name/nm0076068/?ref_=ttfc_fc_cr10
 Enrique L. Morfín ,https://www.imdb.com//name/nm0604424/?ref_=ttfc_fc_cr11
 Alfonso Morones A. ,https://www.imdb.com//name/nm0606050/?ref_=ttfc_fc_cr12
Second Unit Director or Assistant Director 
 Julio Cahero ,https://www.imdb.com//name/nm0128629/?ref_=ttfc_fc_cr13
Sound Department 
 Abraham Cruz ,https://www.imdb.com//name/nm0190227/?ref_=ttfc_fc_cr14
 Luis Fernández ,https://www.imdb.com//name/nm0273621/?ref_=ttfc_fc_cr15
 Jorge Palomino ,https://www.imdb.com//name/nm0658745/?ref_=ttfc_fc_cr16
 Salvador Topete ,https://www.imdb.com//name/nm0867659/?ref_=ttfc_fc_cr17
Special Effects by 
 Ricardo Sáinz ,https://www.imdb.com//name/nm0844638/?ref_=ttfc_fc_cr18
Camera and Electrical Department 
 Luis García ,https://www.imdb.com//name/nm0306302/?ref_=ttfc_fc_cr19
 Manuel Santaella ,https://www.imdb.com//name/nm0763179/?ref_=ttfc_fc_cr20
Editorial Department 
 Ramón Aupart ,https://www.imdb.com//name/nm0042129/?ref_=ttfc_fc_cr21
Music Department 
 Bert Berns ,https://www.imdb.com//name/nm0751009/?ref_=ttfc_fc_cr22
 Paul Buff ,https://www.imdb.com//name/nm0119328/?ref_=ttfc_fc_cr23
 Antonio Díaz Conde ,https://www.imdb.com//name/nm0006054/?ref_=ttfc_fc_cr24
 West Farell ,https://www.imdb.com//name/nm0267222/?ref_=ttfc_fc_cr25
 Ludwig Fesschofss ,https://www.imdb.com//name/nm0275238/?ref_=ttfc_fc_cr26
 Conjunto Géminis V ,https://www.imdb.com//name/nm0350760/?ref_=ttfc_fc_cr27
 Haroldo Lobo ,https://www.imdb.com//name/nm0036866/?ref_=ttfc_fc_cr28
 Carlos A. Martinoli ,https://www.imdb.com//name/nm2075154/?ref_=ttfc_fc_cr29
 Niletinho ,https://www.imdb.com//name/nm0632059/?ref_=ttfc_fc_cr30
 Carlos Rigual ,https://www.imdb.com//name/nm1133112/?ref_=ttfc_fc_cr31
 Mario Rigual ,https://www.imdb.com//name/nm2008363/?ref_=ttfc_fc_cr32
Script and Continuity Department 
 Manuel Alcayde ,https://www.imdb.com//name/nm0017201/?ref_=ttfc_fc_cr33
Additional Crew 
 Francisco Gómez ,https://www.imdb.com//name/nm0351077/?ref_=ttfc_fc_cr34
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr35
 Carlos Noriega ,https://www.imdb.com//name/nm0635325/?ref_=ttfc_fc_cr36
 Enrique Rosas Gallastegui ,https://www.imdb.com//name/nm0741061/?ref_=ttfc_fc_cr37
 Víctor Agramunt ,https://www.imdb.com//name/nm0013267/?ref_=ttfc_fc_cr38
 Ángel María Baltanás ,https://www.imdb.com//name/nm0051170/?ref_=ttfc_fc_cr39
 Luis Carrillo ,https://www.imdb.com//name/nm0140508/?ref_=ttfc_fc_cr40
 Lola Cervantes ,https://www.imdb.com//name/nm0148892/?ref_=ttfc_fc_cr41
 Pilar Gentil ,https://www.imdb.com//name/nm0313047/?ref_=ttfc_fc_cr42
 Mari Ángeles Herranz ,https://www.imdb.com//name/nm0380311/?ref_=ttfc_fc_cr43
 Celia Honrubia ,https://www.imdb.com//name/nm0393407/?ref_=ttfc_fc_cr44
 José Moratalla ,https://www.imdb.com//name/nm0603143/?ref_=ttfc_fc_cr45
 Simón Ramírez ,https://www.imdb.com//name/nm0709328/?ref_=ttfc_fc_cr46
 Carlos Revilla ,https://www.imdb.com//name/nm0720892/?ref_=ttfc_fc_cr47
 Ana María Saizar ,https://www.imdb.com//name/nm0756925/?ref_=ttfc_fc_cr48
