Deveras me atrapaste _cast_member,imdb_page
Directed by 
 Gerardo Pardo ,https://www.imdb.com//name/nm0661100/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Rene Aviles Fabila ,https://www.imdb.com//name/nm1511399/?ref_=ttfc_fc_wr1
 Antonio Pardo ,https://www.imdb.com//name/nm0661084/?ref_=ttfc_fc_wr2
 Gerardo Pardo ,https://www.imdb.com//name/nm0661100/?ref_=ttfc_fc_wr3
Produced by 
 Manuel Barbachano Ponce ,https://www.imdb.com//name/nm0053168/?ref_=ttfc_fc_cr2
 Gerardo Pardo ,https://www.imdb.com//name/nm0661100/?ref_=ttfc_fc_cr3
Cinematography by 
 Óscar L. Palacios ,https://www.imdb.com//name/nm0657288/?ref_=ttfc_fc_cr4
Film Editing by 
 Óscar L. Palacios ,https://www.imdb.com//name/nm0657288/?ref_=ttfc_fc_cr5
 Gerardo Pardo ,https://www.imdb.com//name/nm0661100/?ref_=ttfc_fc_cr6
