Eddie Reynolds y los Ángeles de Acero _cast_member,imdb_page
Directed by 
 Gustavo Moheno ,https://www.imdb.com//name/nm0595982/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Carlos Enderle ,https://www.imdb.com//name/nm2954781/?ref_=ttfc_fc_wr1
 Gustavo Moheno ,https://www.imdb.com//name/nm0595982/?ref_=ttfc_fc_wr2
 Angel Pulido ,https://www.imdb.com//name/nm2461907/?ref_=ttfc_fc_wr3
Produced by 
 Gustavo Moheno ,https://www.imdb.com//name/nm0595982/?ref_=ttfc_fc_cr2
 Sandrine Molto ,https://www.imdb.com//name/nm1557209/?ref_=ttfc_fc_cr3
 Angel Pulido ,https://www.imdb.com//name/nm2461907/?ref_=ttfc_fc_cr4
Music by 
 Benjamin Shwartz ,https://www.imdb.com//name/nm1667609/?ref_=ttfc_fc_cr5
Cinematography by 
 Alejandro Cantú ,https://www.imdb.com//name/nm0134792/?ref_=ttfc_fc_cr6
Film Editing by 
 Edson Ramírez ,https://www.imdb.com//name/nm3553652/?ref_=ttfc_fc_cr7
 Natalia Beristain ,https://www.imdb.com//name/nm1135329/?ref_=ttfc_fc_cr8
Production Design by 
 Lizette Ponce ,https://www.imdb.com//name/nm1386877/?ref_=ttfc_fc_cr9
Set Decoration by 
 Javier Pérez ,https://www.imdb.com//name/nm3759104/?ref_=ttfc_fc_cr10
 David Ramírez Torralba ,https://www.imdb.com//name/nm2627836/?ref_=ttfc_fc_cr11
Costume Design by 
 Gabriela Fernandez ,https://www.imdb.com//name/nm0272969/?ref_=ttfc_fc_cr12
Makeup Department 
 Gerardo Perez Arreola ,https://www.imdb.com//name/nm2631376/?ref_=ttfc_fc_cr13
 Mariela Aviles Chirino ,https://www.imdb.com//name/nm3736550/?ref_=ttfc_fc_cr14
 Jaime Muñoz ,https://www.imdb.com//name/nm6774588/?ref_=ttfc_fc_cr15
 Araceli Rios ,https://www.imdb.com//name/nm2524581/?ref_=ttfc_fc_cr16
 Mari Paz Robles ,https://www.imdb.com//name/nm1421598/?ref_=ttfc_fc_cr17
 Felipe Salazar ,https://www.imdb.com//name/nm0757691/?ref_=ttfc_fc_cr18
 Vanesa Sandoval ,https://www.imdb.com//name/nm6774589/?ref_=ttfc_fc_cr19
 Liz Trejo ,https://www.imdb.com//name/nm6774587/?ref_=ttfc_fc_cr20
 Karen Uhthoff ,https://www.imdb.com//name/nm5126184/?ref_=ttfc_fc_cr21
Production Management 
 Abel Cruz ,https://www.imdb.com//name/nm3151226/?ref_=ttfc_fc_cr22
 Aura Santamaria ,https://www.imdb.com//name/nm3007182/?ref_=ttfc_fc_cr23
 Marín Villarreal ,https://www.imdb.com//name/nm3145530/?ref_=ttfc_fc_cr24
Second Unit Director or Assistant Director 
 José Ramón Chávez ,https://www.imdb.com//name/nm2432762/?ref_=ttfc_fc_cr25
 Mariana Gutiérrez ,https://www.imdb.com//name/nm1667410/?ref_=ttfc_fc_cr26
 Mauricio Rodríguez ,https://www.imdb.com//name/nm6132277/?ref_=ttfc_fc_cr27
Art Department 
 Cecilia Aliaga ,https://www.imdb.com//name/nm6132273/?ref_=ttfc_fc_cr28
 Julieta Blázquez ,https://www.imdb.com//name/nm6774560/?ref_=ttfc_fc_cr29
 Edgar Granados ,https://www.imdb.com//name/nm1148937/?ref_=ttfc_fc_cr30
 Luis Yañez Jacques ,https://www.imdb.com//name/nm2970165/?ref_=ttfc_fc_cr31
 Ana Lilia Aldana Maldonado ,https://www.imdb.com//name/nm2606728/?ref_=ttfc_fc_cr32
 Fabrizio Montenegro ,https://www.imdb.com//name/nm3571693/?ref_=ttfc_fc_cr33
 Hector Perez ,https://www.imdb.com//name/nm1166933/?ref_=ttfc_fc_cr34
 Ramón Salas ,https://www.imdb.com//name/nm6132274/?ref_=ttfc_fc_cr35
 Pablo Soto ,https://www.imdb.com//name/nm4369185/?ref_=ttfc_fc_cr36
 Omar Vazquez ,https://www.imdb.com//name/nm2026801/?ref_=ttfc_fc_cr37
Sound Department 
 Nicolás Aguilar ,https://www.imdb.com//name/nm5933633/?ref_=ttfc_fc_cr38
 Francisco Bribiesca ,https://www.imdb.com//name/nm5082074/?ref_=ttfc_fc_cr39
 Mario Bribiesca ,https://www.imdb.com//name/nm5017905/?ref_=ttfc_fc_cr40
 Isabel Muñoz Cota ,https://www.imdb.com//name/nm0616422/?ref_=ttfc_fc_cr41
 Sergio Diaz ,https://www.imdb.com//name/nm1784142/?ref_=ttfc_fc_cr42
 André Díaz ,https://www.imdb.com//name/nm6774657/?ref_=ttfc_fc_cr43
 Giobeth Díaz ,https://www.imdb.com//name/nm6774658/?ref_=ttfc_fc_cr44
 Alejandro Ferrer ,https://www.imdb.com//name/nm6154543/?ref_=ttfc_fc_cr45
 César González Cortés ,https://www.imdb.com//name/nm6774656/?ref_=ttfc_fc_cr46
 Axel Muñoz ,https://www.imdb.com//name/nm3644979/?ref_=ttfc_fc_cr47
 Onofre Ortega ,https://www.imdb.com//name/nm2958430/?ref_=ttfc_fc_cr48
 Marco Peña ,https://www.imdb.com//name/nm5472558/?ref_=ttfc_fc_cr49
 Javier Quesada ,https://www.imdb.com//name/nm4222112/?ref_=ttfc_fc_cr50
 Leon Sandoval ,https://www.imdb.com//name/nm0762136/?ref_=ttfc_fc_cr51
Special Effects by 
 Alejandro Vazquez ,https://www.imdb.com//name/nm0904665/?ref_=ttfc_fc_cr52
Visual Effects by 
 Rosa Elena Amador ,https://www.imdb.com//name/nm7022414/?ref_=ttfc_fc_cr53
 Johannes Bahre ,https://www.imdb.com//name/nm6774675/?ref_=ttfc_fc_cr54
 Iveth Bueno ,https://www.imdb.com//name/nm6385400/?ref_=ttfc_fc_cr55
 Gabriela Espinoza Ruiz ,https://www.imdb.com//name/nm6774677/?ref_=ttfc_fc_cr56
 Fabian García ,https://www.imdb.com//name/nm4660375/?ref_=ttfc_fc_cr57
 Alejandro Martínez Pérez ,https://www.imdb.com//name/nm6774678/?ref_=ttfc_fc_cr58
 Yabin Morales ,https://www.imdb.com//name/nm3276386/?ref_=ttfc_fc_cr59
 Cyntia Navarro ,https://www.imdb.com//name/nm3089248/?ref_=ttfc_fc_cr60
 David Rodriguez Jaramillo ,https://www.imdb.com//name/nm3521536/?ref_=ttfc_fc_cr61
 Paula Siqueira ,https://www.imdb.com//name/nm6518227/?ref_=ttfc_fc_cr62
 Luis Felipe Torres Flores ,https://www.imdb.com//name/nm6427398/?ref_=ttfc_fc_cr63
Stunts 
 Balo Bucio ,https://www.imdb.com//name/nm0118311/?ref_=ttfc_fc_cr64
 Toni Bucio ,https://www.imdb.com//name/nm2831913/?ref_=ttfc_fc_cr65
 Eduardo Gómez Marroquín ,https://www.imdb.com//name/nm6774662/?ref_=ttfc_fc_cr66
 Carlos Marroquín ,https://www.imdb.com//name/nm2013700/?ref_=ttfc_fc_cr67
 Juan Carlos Olalde ,https://www.imdb.com//name/nm1166757/?ref_=ttfc_fc_cr68
 Ronny Vatako ,https://www.imdb.com//name/nm6774659/?ref_=ttfc_fc_cr69
Camera and Electrical Department 
 Miguel Angel Argumedo ,https://www.imdb.com//name/nm2941777/?ref_=ttfc_fc_cr70
 Jorge Bonilla Tapia ,https://www.imdb.com//name/nm2969448/?ref_=ttfc_fc_cr71
 Juan Gabriel Brito ,https://www.imdb.com//name/nm2986014/?ref_=ttfc_fc_cr72
 Gustavo Covarrubias ,https://www.imdb.com//name/nm0184375/?ref_=ttfc_fc_cr74
 Andres Cruz ,https://www.imdb.com//name/nm4264133/?ref_=ttfc_fc_cr75
 Daniel Daza ,https://www.imdb.com//name/nm0206787/?ref_=ttfc_fc_cr76
 Alfonso Gallaga Mendoza ,https://www.imdb.com//name/nm6774727/?ref_=ttfc_fc_cr77
 Venancio Gallego ,https://www.imdb.com//name/nm6774728/?ref_=ttfc_fc_cr78
 César González ,https://www.imdb.com//name/nm6774577/?ref_=ttfc_fc_cr79
