El bulto _cast_member,imdb_page
Directed by 
 Gabriel Retes ,https://www.imdb.com//name/nm0720510/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Lourdes Elizarrarás ,https://www.imdb.com//name/nm0253767/?ref_=ttfc_fc_wr1
 Gabriel Retes ,https://www.imdb.com//name/nm0720510/?ref_=ttfc_fc_wr2
 Gabriela Retes ,https://www.imdb.com//name/nm0720511/?ref_=ttfc_fc_wr3
Produced by 
 Miguel Camacho ,https://www.imdb.com//name/nm0131120/?ref_=ttfc_fc_cr2
 Gonzalo Lora ,https://www.imdb.com//name/nm0520301/?ref_=ttfc_fc_cr3
 Gabriel Retes ,https://www.imdb.com//name/nm0720510/?ref_=ttfc_fc_cr4
Music by 
 Pedro Plascencia ,https://www.imdb.com//name/nm0686698/?ref_=ttfc_fc_cr5
Cinematography by 
 Chuy Elizondo ,https://www.imdb.com//name/nm0253774/?ref_=ttfc_fc_cr6
Film Editing by 
 Saúl Aupart ,https://www.imdb.com//name/nm0042130/?ref_=ttfc_fc_cr7
Production Design by 
 Francesca Appentzeller ,https://www.imdb.com//name/nm0032280/?ref_=ttfc_fc_cr8
 Tomás Guevara ,https://www.imdb.com//name/nm0346494/?ref_=ttfc_fc_cr9
Art Direction by 
 Francesca Appentzeller ,https://www.imdb.com//name/nm0032280/?ref_=ttfc_fc_cr10
 Tomás Guerra ,https://www.imdb.com//name/nm0346095/?ref_=ttfc_fc_cr11
Costume Design by 
 Joel Ortiz ,https://www.imdb.com//name/nm0651156/?ref_=ttfc_fc_cr12
Makeup Department 
 Estela Sánchez ,https://www.imdb.com//name/nm0844910/?ref_=ttfc_fc_cr13
Production Management 
 Joel Lora ,https://www.imdb.com//name/nm0520303/?ref_=ttfc_fc_cr14
Second Unit Director or Assistant Director 
 Luis Felipe Tovar ,https://www.imdb.com//name/nm0869827/?ref_=ttfc_fc_cr15
Art Department 
 Ricardo Morales ,https://www.imdb.com//name/nm0602750/?ref_=ttfc_fc_cr16
Sound Department 
 Francisco Bravo ,https://www.imdb.com//name/nm0106078/?ref_=ttfc_fc_cr17
 Antonio Diego ,https://www.imdb.com//name/nm0225911/?ref_=ttfc_fc_cr18
 René Ruiz Cerón ,https://www.imdb.com//name/nm0749598/?ref_=ttfc_fc_cr19
Special Effects by 
 Hermanos Bernal ,https://www.imdb.com//name/nm0076074/?ref_=ttfc_fc_cr20
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr21
Visual Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr22
Camera and Electrical Department 
 Luis Chávez ,https://www.imdb.com//name/nm0161669/?ref_=ttfc_fc_cr23
