El gran triunfo _cast_member,imdb_page
Directed by 
 Felipe Cazals ,https://www.imdb.com//name/nm0147356/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Edmundo Báez ,https://www.imdb.com//name/nm0126528/?ref_=ttfc_fc_wr1
 Edmundo Báez ,https://www.imdb.com//name/nm0126528/?ref_=ttfc_fc_wr2
 Tito Davison ,https://www.imdb.com//name/nm0205760/?ref_=ttfc_fc_wr3
 Tito Davison ,https://www.imdb.com//name/nm0205760/?ref_=ttfc_fc_wr4
Produced by 
 Juan Fernando Pérez Gavilán ,https://www.imdb.com//name/nm0701928/?ref_=ttfc_fc_cr2
Cinematography by 
 Daniel López ,https://www.imdb.com//name/nm0530060/?ref_=ttfc_fc_cr3
Film Editing by 
 Rafael Ceballos ,https://www.imdb.com//name/nm0147502/?ref_=ttfc_fc_cr4
Set Decoration by 
 Carlos Grandjean ,https://www.imdb.com//name/nm0334894/?ref_=ttfc_fc_cr6
Makeup Department 
 Raúl Esquivel ,https://www.imdb.com//name/nm0261302/?ref_=ttfc_fc_cr7
 Guadalupe Gorráez ,https://www.imdb.com//name/nm0331311/?ref_=ttfc_fc_cr8
 Olga Ruiseco ,https://www.imdb.com//name/nm0749560/?ref_=ttfc_fc_cr9
Production Management 
 Alfredo Chavira ,https://www.imdb.com//name/nm0154624/?ref_=ttfc_fc_cr10
Second Unit Director or Assistant Director 
 Luis Gaytán ,https://www.imdb.com//name/nm0311035/?ref_=ttfc_fc_cr11
Art Department 
 Rafael Brizuela ,https://www.imdb.com//name/nm0110288/?ref_=ttfc_fc_cr12
 Enrique Lechuga ,https://www.imdb.com//name/nm0496113/?ref_=ttfc_fc_cr13
Sound Department 
 Roberto Camacho ,https://www.imdb.com//name/nm0131131/?ref_=ttfc_fc_cr14
 Daniel García ,https://www.imdb.com//name/nm0306046/?ref_=ttfc_fc_cr15
 Jesús Sánchez ,https://www.imdb.com//name/nm0844974/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 Fernando Calvillo ,https://www.imdb.com//name/nm0130879/?ref_=ttfc_fc_cr17
 Ricardo Contreras ,https://www.imdb.com//name/nm0176545/?ref_=ttfc_fc_cr18
 Enrique de la Rosa ,https://www.imdb.com//name/nm0209386/?ref_=ttfc_fc_cr19
 Manuel Jiménez ,https://www.imdb.com//name/nm0423007/?ref_=ttfc_fc_cr20
 Carlos Montaño ,https://www.imdb.com//name/nm0599053/?ref_=ttfc_fc_cr21
Costume and Wardrobe Department 
Music Department 
 Leopoldo Bernal Amaya ,https://www.imdb.com//name/nm0076035/?ref_=ttfc_fc_cr23
 María del Sol ,https://www.imdb.com//name/nm0215933/?ref_=ttfc_fc_cr24
 Eddy Medina ,https://www.imdb.com//name/nm0575678/?ref_=ttfc_fc_cr25
 Mario Tovar ,https://www.imdb.com//name/nm0869833/?ref_=ttfc_fc_cr26
Script and Continuity Department 
 Rosa Pérez Romo ,https://www.imdb.com//name/nm0702015/?ref_=ttfc_fc_cr27
Additional Crew 
 Carmen Alba ,https://www.imdb.com//name/nm0016155/?ref_=ttfc_fc_cr28
 Teresa Jáuregui ,https://www.imdb.com//name/nm0433437/?ref_=ttfc_fc_cr29
