Embrujo de rock _cast_member,imdb_page
Directed by 
 Rafael Montero ,https://www.imdb.com//name/nm0599472/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Oscar Mortero ,https://www.imdb.com//name/nm1841037/?ref_=ttfc_fc_wr1
 Eleanor Seguin ,https://www.imdb.com//name/nm1841057/?ref_=ttfc_fc_wr2
 Guillermo Séguin ,https://www.imdb.com//name/nm1343608/?ref_=ttfc_fc_wr3
Produced by 
 Ignacio Sada ,https://www.imdb.com//name/nm0755396/?ref_=ttfc_fc_cr2
Music by 
 José Antonio 'Potro' Farías ,https://www.imdb.com//name/nm1292141/?ref_=ttfc_fc_cr3
Cinematography by 
 Arturo de la Rosa ,https://www.imdb.com//name/nm0740795/?ref_=ttfc_fc_cr4
 Marco Antonio Ruiz ,https://www.imdb.com//name/nm1009705/?ref_=ttfc_fc_cr5
Film Editing by 
 Rafael Montero ,https://www.imdb.com//name/nm0599472/?ref_=ttfc_fc_cr6
 Luis Valdes ,https://www.imdb.com//name/nm1842676/?ref_=ttfc_fc_cr7
Production Management 
 Arturo Hernández ,https://www.imdb.com//name/nm0379878/?ref_=ttfc_fc_cr8
Second Unit Director or Assistant Director 
 Jorge Aragón ,https://www.imdb.com//name/nm1938863/?ref_=ttfc_fc_cr9
Camera and Electrical Department 
 Fernando Díaz Torres ,https://www.imdb.com//name/nm0224981/?ref_=ttfc_fc_cr10
Script and Continuity Department 
 Luis Mariano Salinas ,https://www.imdb.com//name/nm0758370/?ref_=ttfc_fc_cr11
Additional Crew 
 Candy Alvarado ,https://www.imdb.com//name/nm1627044/?ref_=ttfc_fc_cr12
 Carlos Loyo ,https://www.imdb.com//name/nm10408647/?ref_=ttfc_fc_cr13
 José Luis Mondragón ,https://www.imdb.com//name/nm1898571/?ref_=ttfc_fc_cr14
 Arturo Rico Licona ,https://www.imdb.com//name/nm9228783/?ref_=ttfc_fc_cr15
