Esto no es Berlín _cast_member,imdb_page
Directed by 
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Alejandro Hosne ,https://www.imdb.com//name/nm1181458/?ref_=ttfc_fc_wr1
 Rodrigo Ordoñez ,https://www.imdb.com//name/nm1217514/?ref_=ttfc_fc_wr2
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_wr3
 Max Zunino ,https://www.imdb.com//name/nm1993449/?ref_=ttfc_fc_wr4
Produced by 
 Ale García ,https://www.imdb.com//name/nm2767037/?ref_=ttfc_fc_cr2
 Charlotte Lerchner ,https://www.imdb.com//name/nm9237349/?ref_=ttfc_fc_cr3
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_cr4
 Antonio Urdapilleta ,https://www.imdb.com//name/nm1692647/?ref_=ttfc_fc_cr5
 Verónica Valadez ,https://www.imdb.com//name/nm2615313/?ref_=ttfc_fc_cr6
Music by 
 Dalí Lantzeta ,https://www.imdb.com//name/nm10755612/?ref_=ttfc_fc_cr7
Cinematography by 
 Alfredo Altamirano ,https://www.imdb.com//name/nm3932566/?ref_=ttfc_fc_cr8
Film Editing by 
 Ximena Cuevas ,https://www.imdb.com//name/nm0191229/?ref_=ttfc_fc_cr9
 Rodrigo Ríos ,https://www.imdb.com//name/nm1137932/?ref_=ttfc_fc_cr10
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_cr11
 Viridiana Olvera ,https://www.imdb.com//name/nm3361327/?ref_=ttfc_fc_cr12
Art Direction by 
 Diana Quiroz ,https://www.imdb.com//name/nm0257881/?ref_=ttfc_fc_cr13
Costume Design by 
 Gabriela Fernandez ,https://www.imdb.com//name/nm0272969/?ref_=ttfc_fc_cr14
Makeup Department 
 Saraí Aguilera ,https://www.imdb.com//name/nm8768948/?ref_=ttfc_fc_cr15
 Tania Dominguez ,https://www.imdb.com//name/nm10561216/?ref_=ttfc_fc_cr16
 Héctor Hernández ,https://www.imdb.com//name/nm11655127/?ref_=ttfc_fc_cr17
 Karina Rodríguez ,https://www.imdb.com//name/nm3232071/?ref_=ttfc_fc_cr18
Production Management 
 Vladimir Flores ,https://www.imdb.com//name/nm2575801/?ref_=ttfc_fc_cr19
 Omar Rojas ,https://www.imdb.com//name/nm9835184/?ref_=ttfc_fc_cr20
 Pablo Wrege ,https://www.imdb.com//name/nm6378640/?ref_=ttfc_fc_cr21
 Francisco Zanabria ,https://www.imdb.com//name/nm2521156/?ref_=ttfc_fc_cr22
Second Unit Director or Assistant Director 
 José Ramón Chávez ,https://www.imdb.com//name/nm2432762/?ref_=ttfc_fc_cr23
 Alejandro Guerrero ,https://www.imdb.com//name/nm12698899/?ref_=ttfc_fc_cr24
 Mariana Gutiérrez ,https://www.imdb.com//name/nm1667410/?ref_=ttfc_fc_cr25
 Luis Ocampo ,https://www.imdb.com//name/nm8789800/?ref_=ttfc_fc_cr26
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_cr27
 Max Zunino ,https://www.imdb.com//name/nm1993449/?ref_=ttfc_fc_cr28
Art Department 
 Gerardo Acevedo ,https://www.imdb.com//name/nm13731935/?ref_=ttfc_fc_cr29
 Victoria de la Vega ,https://www.imdb.com//name/nm5368551/?ref_=ttfc_fc_cr30
 Gamaliel de Santiago ,https://www.imdb.com//name/nm3652894/?ref_=ttfc_fc_cr31
 Gabriela Ruvalbaca Delgado ,https://www.imdb.com//name/nm13731936/?ref_=ttfc_fc_cr32
 Shantal Franceschi ,https://www.imdb.com//name/nm4162028/?ref_=ttfc_fc_cr33
 Santiago García ,https://www.imdb.com//name/nm13012890/?ref_=ttfc_fc_cr34
 Aldo González ,https://www.imdb.com//name/nm10419711/?ref_=ttfc_fc_cr35
 Omar Guerra ,https://www.imdb.com//name/nm9194985/?ref_=ttfc_fc_cr36
 Martin Gutierrez ,https://www.imdb.com//name/nm2730799/?ref_=ttfc_fc_cr37
 Miguel Olea ,https://www.imdb.com//name/nm8854154/?ref_=ttfc_fc_cr38
 Jairo Esteban Perilla ,https://www.imdb.com//name/nm13012891/?ref_=ttfc_fc_cr39
 Ana Mariela Topete ,https://www.imdb.com//name/nm11259385/?ref_=ttfc_fc_cr40
Sound Department 
 Gerardo Islas Bulnes ,https://www.imdb.com//name/nm6500810/?ref_=ttfc_fc_cr41
 Damián Del Río ,https://www.imdb.com//name/nm2332422/?ref_=ttfc_fc_cr42
 Alfredo Gagom ,https://www.imdb.com//name/nm10066143/?ref_=ttfc_fc_cr43
 Isra Gallo ,https://www.imdb.com//name/nm10390042/?ref_=ttfc_fc_cr44
 Daniel Kaszas ,https://www.imdb.com//name/nm6937541/?ref_=ttfc_fc_cr45
 Lia Perez ,https://www.imdb.com//name/nm6099241/?ref_=ttfc_fc_cr46
 Juan Sosa Rosell ,https://www.imdb.com//name/nm1829786/?ref_=ttfc_fc_cr47
 Marisela Suarez ,https://www.imdb.com//name/nm8454502/?ref_=ttfc_fc_cr48
 Javier Umpierrez ,https://www.imdb.com//name/nm2639043/?ref_=ttfc_fc_cr49
Special Effects by 
 Yoshiro Hernández ,https://www.imdb.com//name/nm0380175/?ref_=ttfc_fc_cr50
 Edgar Rosas ,https://www.imdb.com//name/nm13738582/?ref_=ttfc_fc_cr51
 Arturo Vázquez ,https://www.imdb.com//name/nm0904750/?ref_=ttfc_fc_cr52
Visual Effects by 
 Alejandro Agrasar ,https://www.imdb.com//name/nm5628823/?ref_=ttfc_fc_cr53
 Jorge Guesalaga ,https://www.imdb.com//name/nm13738584/?ref_=ttfc_fc_cr54
 Alejandro Iturmendi ,https://www.imdb.com//name/nm1903396/?ref_=ttfc_fc_cr55
 Pablo Izaguirre ,https://www.imdb.com//name/nm8759783/?ref_=ttfc_fc_cr56
 Mariano Mena ,https://www.imdb.com//name/nm13738583/?ref_=ttfc_fc_cr57
 Guillermo Salerno ,https://www.imdb.com//name/nm11047661/?ref_=ttfc_fc_cr58
Stunts 
 Miguel Ángel Barrea ,https://www.imdb.com//name/nm13731938/?ref_=ttfc_fc_cr59
 Toni Bucio ,https://www.imdb.com//name/nm2831913/?ref_=ttfc_fc_cr60
 José Antonio García Fernández ,https://www.imdb.com//name/nm13731940/?ref_=ttfc_fc_cr61
 Daniel Lee ,https://www.imdb.com//name/nm13731939/?ref_=ttfc_fc_cr62
 Antonio Peña ,https://www.imdb.com//name/nm13731937/?ref_=ttfc_fc_cr63
 Pablo Vinós ,https://www.imdb.com//name/nm2750981/?ref_=ttfc_fc_cr64
Camera and Electrical Department 
 Luis Aguilar ,https://www.imdb.com//name/nm3305890/?ref_=ttfc_fc_cr65
 Daniel Anguiano ,https://www.imdb.com//name/nm4862535/?ref_=ttfc_fc_cr66
 Pedro de la Garza Cuevas ,https://www.imdb.com//name/nm6304762/?ref_=ttfc_fc_cr67
 Sandra De Silva De La Torre ,https://www.imdb.com//name/nm2486409/?ref_=ttfc_fc_cr68
 Ricardo Deneke ,https://www.imdb.com//name/nm3306661/?ref_=ttfc_fc_cr69
 Diego Gómez Leyva ,https://www.imdb.com//name/nm6916164/?ref_=ttfc_fc_cr70
 Sarasvati Herrera ,https://www.imdb.com//name/nm4231876/?ref_=ttfc_fc_cr71
 Luis Aguilar Maxi ,https://www.imdb.com//name/nm10810139/?ref_=ttfc_fc_cr72
 Ruben Montes Meneses ,https://www.imdb.com//name/nm4150132/?ref_=ttfc_fc_cr73
 Itzel Ochoa ,https://www.imdb.com//name/nm7475017/?ref_=ttfc_fc_cr74
 Max Ortega ,https://www.imdb.com//name/nm10863041/?ref_=ttfc_fc_cr75
 François Pesant ,https://www.imdb.com//name/nm10903959/?ref_=ttfc_fc_cr76
 Angel Jara Taboada ,https://www.imdb.com//name/nm6105257/?ref_=ttfc_fc_cr77
 Alfredo Rios Velez ,https://www.imdb.com//name/nm11922110/?ref_=ttfc_fc_cr78
 Obed Muñoz ,https://www.imdb.com//name/nm12698900/?ref_=ttfc_fc_cr79
Editorial Department 
 Pedro de la Garza ,https://www.imdb.com//name/nm0209272/?ref_=ttfc_fc_cr80
 León Marin ,https://www.imdb.com//name/nm13561791/?ref_=ttfc_fc_cr81
 Lisa Tillinger ,https://www.imdb.com//name/nm1926573/?ref_=ttfc_fc_cr82
 Ricardo Wong ,https://www.imdb.com//name/nm8722653/?ref_=ttfc_fc_cr83
Location Management 
 Esteban Lopez ,https://www.imdb.com//name/nm8613801/?ref_=ttfc_fc_cr84
Music Department 
 Annette Fradera ,https://www.imdb.com//name/nm0289512/?ref_=ttfc_fc_cr85
 Alejandro Karo ,https://www.imdb.com//name/nm7457143/?ref_=ttfc_fc_cr86
 Nicolas Leau ,https://www.imdb.com//name/nm5841325/?ref_=ttfc_fc_cr87
 Paulina Márquez ,https://www.imdb.com//name/nm2788454/?ref_=ttfc_fc_cr88
 Julian Náme ,https://www.imdb.com//name/nm9349647/?ref_=ttfc_fc_cr89
 Max Oldham ,https://www.imdb.com//name/nm10455588/?ref_=ttfc_fc_cr90
 Hari Sama ,https://www.imdb.com//name/nm1377689/?ref_=ttfc_fc_cr91
 Gabriel Sosa Morfín ,https://www.imdb.com//name/nm7110160/?ref_=ttfc_fc_cr92
Script and Continuity Department 
 Natalia Moguel ,https://www.imdb.com//name/nm3771604/?ref_=ttfc_fc_cr93
Additional Crew 
 Paola Botrán ,https://www.imdb.com//name/nm12474051/?ref_=ttfc_fc_cr94
 Tamara Acuña Carranza ,https://www.imdb.com//name/nm9858972/?ref_=ttfc_fc_cr95
 Ricardo Escamilla ,https://www.imdb.com//name/nm1260524/?ref_=ttfc_fc_cr96
 Carlos Gorozpe ,https://www.imdb.com//name/nm10455839/?ref_=ttfc_fc_cr97
 Magui Hernández ,https://www.imdb.com//name/nm12698901/?ref_=ttfc_fc_cr98
 María de Lourdes Ramírez Montiel ,https://www.imdb.com//name/nm13738585/?ref_=ttfc_fc_cr99
 Enrique Pueblita ,https://www.imdb.com//name/nm2429901/?ref_=ttfc_fc_cr100
 Omar Rojas ,https://www.imdb.com//name/nm9835184/?ref_=ttfc_fc_cr101
