Gimme the Power _cast_member,imdb_page
Directed by 
 Olallo Rubio ,https://www.imdb.com//name/nm1351706/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Olallo Rubio ,https://www.imdb.com//name/nm1351706/?ref_=ttfc_fc_wr1
Produced by 
 Rodrigo Hernandez Stockder ,https://www.imdb.com//name/nm5071783/?ref_=ttfc_fc_cr2
 Jose Nacif ,https://www.imdb.com//name/nm3348018/?ref_=ttfc_fc_cr3
 Abraham Neme ,https://www.imdb.com//name/nm2645038/?ref_=ttfc_fc_cr4
 Olallo Rubio ,https://www.imdb.com//name/nm1351706/?ref_=ttfc_fc_cr5
Music by 
 Javier Umpierrez ,https://www.imdb.com//name/nm2639043/?ref_=ttfc_fc_cr6
Cinematography by 
 Jose Casillas ,https://www.imdb.com//name/nm0993989/?ref_=ttfc_fc_cr7
Film Editing by 
 Juan Fontana de Rosas ,https://www.imdb.com//name/nm5071339/?ref_=ttfc_fc_cr8
 Abraham Neme ,https://www.imdb.com//name/nm2645038/?ref_=ttfc_fc_cr9
Production Management 
 Cyntia Navarro ,https://www.imdb.com//name/nm3089248/?ref_=ttfc_fc_cr10
Second Unit Director or Assistant Director 
 Abraham Neme ,https://www.imdb.com//name/nm2645038/?ref_=ttfc_fc_cr11
Sound Department 
 Jaime Baksht ,https://www.imdb.com//name/nm0049254/?ref_=ttfc_fc_cr12
 Isabel Muñoz Cota ,https://www.imdb.com//name/nm0616422/?ref_=ttfc_fc_cr13
 Michelle Couttolenc ,https://www.imdb.com//name/nm2499159/?ref_=ttfc_fc_cr14
 Jonathan Macías ,https://www.imdb.com//name/nm4368288/?ref_=ttfc_fc_cr15
 Abraham Neme ,https://www.imdb.com//name/nm2645038/?ref_=ttfc_fc_cr16
 Israel Peez Pérez ,https://www.imdb.com//name/nm5166038/?ref_=ttfc_fc_cr17
 Juan Sosa Rosell ,https://www.imdb.com//name/nm1829786/?ref_=ttfc_fc_cr18
 Javier Umpierrez ,https://www.imdb.com//name/nm2639043/?ref_=ttfc_fc_cr19
Visual Effects by 
 Max Blasquez ,https://www.imdb.com//name/nm0087759/?ref_=ttfc_fc_cr20
 Raul Prado ,https://www.imdb.com//name/nm1636616/?ref_=ttfc_fc_cr21
Camera and Electrical Department 
 Arturo R. Jiménez ,https://www.imdb.com//name/nm3149880/?ref_=ttfc_fc_cr22
 Xavi José ,https://www.imdb.com//name/nm1991855/?ref_=ttfc_fc_cr23
 Abraham Neme ,https://www.imdb.com//name/nm2645038/?ref_=ttfc_fc_cr24
 Luis Rincón ,https://www.imdb.com//name/nm3655152/?ref_=ttfc_fc_cr25
Editorial Department 
 Arturo González Alonso ,https://www.imdb.com//name/nm2467966/?ref_=ttfc_fc_cr26
 Jesús Domínguez ,https://www.imdb.com//name/nm6774713/?ref_=ttfc_fc_cr27
 Mike Villasana ,https://www.imdb.com//name/nm6656882/?ref_=ttfc_fc_cr28
Location Management 
 Gabriel Ramírez ,https://www.imdb.com//name/nm5478387/?ref_=ttfc_fc_cr29
Music Department 
 Nicolás Engelhard ,https://www.imdb.com//name/nm5808439/?ref_=ttfc_fc_cr30
 Mariana Uribe ,https://www.imdb.com//name/nm3800814/?ref_=ttfc_fc_cr31
