Güeros _cast_member,imdb_page
Directed by 
 Alonso Ruizpalacios ,https://www.imdb.com//name/nm2091911/?ref_=ttfc_fc_dr1
Writing Credits         
 Alonso Ruizpalacios ,https://www.imdb.com//name/nm2091911/?ref_=ttfc_fc_wr1
 Gibrán Portela ,https://www.imdb.com//name/nm2157916/?ref_=ttfc_fc_wr2
 Alan Page ,https://www.imdb.com//name/nm3998715/?ref_=ttfc_fc_wr3
Produced by 
 José Felipe Coria Coral ,https://www.imdb.com//name/nm1720852/?ref_=ttfc_fc_cr2
 Gael García Bernal ,https://www.imdb.com//name/nm0305558/?ref_=ttfc_fc_cr3
 Víctor Hugo García ,https://www.imdb.com//name/nm3859303/?ref_=ttfc_fc_cr4
 Xóchitl Enríquez Mendoza ,https://www.imdb.com//name/nm7120538/?ref_=ttfc_fc_cr5
 Ramiro Ruiz ,https://www.imdb.com//name/nm4261097/?ref_=ttfc_fc_cr6
 Alonso Ruizpalacios ,https://www.imdb.com//name/nm2091911/?ref_=ttfc_fc_cr7
 Claudia Valdez ,https://www.imdb.com//name/nm1285905/?ref_=ttfc_fc_cr8
Music by 
 Tomás Barreiro ,https://www.imdb.com//name/nm1419454/?ref_=ttfc_fc_cr9
Cinematography by 
 Damián García ,https://www.imdb.com//name/nm1449904/?ref_=ttfc_fc_cr10
Film Editing by 
 Yibran Asuad ,https://www.imdb.com//name/nm1990586/?ref_=ttfc_fc_cr11
 Ana García ,https://www.imdb.com//name/nm1338929/?ref_=ttfc_fc_cr12
 Alejandro Caballero ,https://www.imdb.com//name/nm0127423/?ref_=ttfc_fc_cr13
 Bernardo Velasco ,https://www.imdb.com//name/nm3978595/?ref_=ttfc_fc_cr14
Production Design by 
 Sandra Cabriada ,https://www.imdb.com//name/nm0127898/?ref_=ttfc_fc_cr15
Art Direction by 
 Barbara Horcasitas ,https://www.imdb.com//name/nm1165212/?ref_=ttfc_fc_cr16
Set Decoration by 
 Roxana Lojero ,https://www.imdb.com//name/nm3081919/?ref_=ttfc_fc_cr17
Costume Design by 
 Ingrid Sac ,https://www.imdb.com//name/nm6251522/?ref_=ttfc_fc_cr18
Makeup Department 
 Iñaki Legaspi ,https://www.imdb.com//name/nm2637603/?ref_=ttfc_fc_cr19
 Itzel Pena ,https://www.imdb.com//name/nm3096214/?ref_=ttfc_fc_cr20
Production Management 
 Abel Cruz ,https://www.imdb.com//name/nm3151226/?ref_=ttfc_fc_cr21
 Cyntia Navarro ,https://www.imdb.com//name/nm3089248/?ref_=ttfc_fc_cr22
 Krizthyan A. Ruano G. ,https://www.imdb.com//name/nm6558011/?ref_=ttfc_fc_cr23
Second Unit Director or Assistant Director 
 Miguel Necoechea Jr. ,https://www.imdb.com//name/nm1947533/?ref_=ttfc_fc_cr24
 Lucero Quiñones ,https://www.imdb.com//name/nm6303447/?ref_=ttfc_fc_cr25
 Fernando Santoyo ,https://www.imdb.com//name/nm2869030/?ref_=ttfc_fc_cr26
Art Department 
 Juan Manuel García Barrera ,https://www.imdb.com//name/nm1843095/?ref_=ttfc_fc_cr27
 Barbara Horcasitas ,https://www.imdb.com//name/nm1165212/?ref_=ttfc_fc_cr28
 Heráclito Lopez ,https://www.imdb.com//name/nm3736848/?ref_=ttfc_fc_cr29
 Armando Patino ,https://www.imdb.com//name/nm0665621/?ref_=ttfc_fc_cr30
Sound Department 
 Jaime Baksht ,https://www.imdb.com//name/nm0049254/?ref_=ttfc_fc_cr31
 Isabel Muñoz Cota ,https://www.imdb.com//name/nm0616422/?ref_=ttfc_fc_cr32
 Michelle Couttolenc ,https://www.imdb.com//name/nm2499159/?ref_=ttfc_fc_cr33
 Pedro 'Zulu' González ,https://www.imdb.com//name/nm1752980/?ref_=ttfc_fc_cr34
 Aldo Navarro ,https://www.imdb.com//name/nm2199676/?ref_=ttfc_fc_cr35
