Hecho en México _cast_member,imdb_page
Directed by 
 Duncan Bridgeman ,https://www.imdb.com//name/nm0108684/?ref_=ttfc_fc_dr1
Produced by 
 Duncan Bridgeman ,https://www.imdb.com//name/nm0108684/?ref_=ttfc_fc_cr2
 Lynn Fainchtein ,https://www.imdb.com//name/nm0265389/?ref_=ttfc_fc_cr3
 Lili Gonzalez ,https://www.imdb.com//name/nm1072073/?ref_=ttfc_fc_cr4
Music by 
 Duncan Bridgeman ,https://www.imdb.com//name/nm0108684/?ref_=ttfc_fc_cr5
Cinematography by 
 Gregory W. Allen ,https://www.imdb.com//name/nm4994528/?ref_=ttfc_fc_cr6
 Lorenzo Hagerman ,https://www.imdb.com//name/nm0353532/?ref_=ttfc_fc_cr7
Film Editing by 
 Gregory Allen ,https://www.imdb.com//name/nm7348840/?ref_=ttfc_fc_cr8
 Gregory W. Allen ,https://www.imdb.com//name/nm4994528/?ref_=ttfc_fc_cr9
 Luis Cage ,https://www.imdb.com//name/nm4174812/?ref_=ttfc_fc_cr10
 Miguel Musálem ,https://www.imdb.com//name/nm2202996/?ref_=ttfc_fc_cr11
 Adrian Parisi ,https://www.imdb.com//name/nm2081614/?ref_=ttfc_fc_cr12
Production Management 
 Vanessa Hernández ,https://www.imdb.com//name/nm1265994/?ref_=ttfc_fc_cr13
 Carlos A. Morales ,https://www.imdb.com//name/nm1529603/?ref_=ttfc_fc_cr14
Sound Department 
 Duncan Bridgeman ,https://www.imdb.com//name/nm0108684/?ref_=ttfc_fc_cr15
 Alejandro de Icaza ,https://www.imdb.com//name/nm2195187/?ref_=ttfc_fc_cr16
 Andrew Donaldson ,https://www.imdb.com//name/nm7348841/?ref_=ttfc_fc_cr17
 Adam Parrish King ,https://www.imdb.com//name/nm2107654/?ref_=ttfc_fc_cr18
Visual Effects by 
 Julio León ,https://www.imdb.com//name/nm2178013/?ref_=ttfc_fc_cr19
 Javier Velazquez Dorantes ,https://www.imdb.com//name/nm8681430/?ref_=ttfc_fc_cr20
Camera and Electrical Department 
 Gregory Allen ,https://www.imdb.com//name/nm7348840/?ref_=ttfc_fc_cr21
 Andrew Donaldson ,https://www.imdb.com//name/nm7348841/?ref_=ttfc_fc_cr22
 Ginny Galloway ,https://www.imdb.com//name/nm0303172/?ref_=ttfc_fc_cr23
 Jonathan Leys ,https://www.imdb.com//name/nm2914719/?ref_=ttfc_fc_cr24
 Yohanan Montaño ,https://www.imdb.com//name/nm3896242/?ref_=ttfc_fc_cr25
Editorial Department 
 Diego De La Torre ,https://www.imdb.com//name/nm9757722/?ref_=ttfc_fc_cr26
Music Department 
 Lynn Fainchtein ,https://www.imdb.com//name/nm0265389/?ref_=ttfc_fc_cr27
 Camilo Froideval ,https://www.imdb.com//name/nm2613542/?ref_=ttfc_fc_cr28
 Dan Zlotnik ,https://www.imdb.com//name/nm3705605/?ref_=ttfc_fc_cr29
Additional Crew 
 Adrian Orozco ,https://www.imdb.com//name/nm4800645/?ref_=ttfc_fc_cr30
 Miguel Angel Varela Fimbres ,https://www.imdb.com//name/nm2904879/?ref_=ttfc_fc_cr31
Thanks 
 Darius Fisher ,https://www.imdb.com//name/nm1363455/?ref_=ttfc_fc_cr32
