Intrépidos punks _cast_member,imdb_page
Directed by 
 Francisco Guerrero ,https://www.imdb.com//name/nm1075619/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Tomás Fuentes ,https://www.imdb.com//name/nm0297480/?ref_=ttfc_fc_wr1
 Roberto Marroquín ,https://www.imdb.com//name/nm0550259/?ref_=ttfc_fc_wr2
 Ulises Pérez Aguirre ,https://www.imdb.com//name/nm0701829/?ref_=ttfc_fc_wr3
Produced by 
 Ernesto Fuentes ,https://www.imdb.com//name/nm0297407/?ref_=ttfc_fc_cr2
Cinematography by 
 Alfredo Uribe ,https://www.imdb.com//name/nm0881907/?ref_=ttfc_fc_cr3
Film Editing by 
 Jorge Peña ,https://www.imdb.com//name/nm0679186/?ref_=ttfc_fc_cr4
