Jóvenes y rebeldes _cast_member,imdb_page
Directed by 
 Julián Soler ,https://www.imdb.com//name/nm0812958/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José María Fernández Unsáin ,https://www.imdb.com//name/nm0273348/?ref_=ttfc_fc_wr1
 Alfredo Varela ,https://www.imdb.com//name/nm0889588/?ref_=ttfc_fc_wr2
Produced by 
 Heberto Dávila Guajardo ,https://www.imdb.com//name/nm1449750/?ref_=ttfc_fc_cr2
 Jesús Sotomayor Martínez ,https://www.imdb.com//name/nm0815618/?ref_=ttfc_fc_cr3
Music by 
 Gustavo César Carrión ,https://www.imdb.com//name/nm0005996/?ref_=ttfc_fc_cr4
Cinematography by 
 Raúl Martínez Solares ,https://www.imdb.com//name/nm0554925/?ref_=ttfc_fc_cr5
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr6
Production Design by 
 Javier Torres Torija ,https://www.imdb.com//name/nm0868538/?ref_=ttfc_fc_cr7
Makeup Department 
 Carmen Palomino ,https://www.imdb.com//name/nm0658736/?ref_=ttfc_fc_cr8
Production Management 
 José Alcalde ,https://www.imdb.com//name/nm1341573/?ref_=ttfc_fc_cr9
 Nicolás Reyero ,https://www.imdb.com//name/nm0721196/?ref_=ttfc_fc_cr10
 Miguel Sotomayor Martinez ,https://www.imdb.com//name/nm2035769/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Jaime Contreras ,https://www.imdb.com//name/nm0176511/?ref_=ttfc_fc_cr12
Sound Department 
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr13
 Javier Mateos ,https://www.imdb.com//name/nm0558282/?ref_=ttfc_fc_cr14
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr15
Special Effects by 
 Juan Muñoz Ravelo ,https://www.imdb.com//name/nm0616337/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 Miguel Araña ,https://www.imdb.com//name/nm0032921/?ref_=ttfc_fc_cr17
 Ángel Corona ,https://www.imdb.com//name/nm0180570/?ref_=ttfc_fc_cr18
 Mario Diver ,https://www.imdb.com//name/nm0228635/?ref_=ttfc_fc_cr19
 Cirilo Rodríguez ,https://www.imdb.com//name/nm0735769/?ref_=ttfc_fc_cr20
Editorial Department 
 Sigfrido García ,https://www.imdb.com//name/nm0305597/?ref_=ttfc_fc_cr21
Music Department 
 Al Rex ,https://www.imdb.com//name/nm0720973/?ref_=ttfc_fc_cr22
Script and Continuity Department 
 Javier Carreño ,https://www.imdb.com//name/nm0140324/?ref_=ttfc_fc_cr23
