La alegría de vivir _cast_member,imdb_page
Directed by 
 Julián Soler ,https://www.imdb.com//name/nm0812958/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Fernando Galiana ,https://www.imdb.com//name/nm0302055/?ref_=ttfc_fc_wr1
Produced by 
 Pedro Galindo ,https://www.imdb.com//name/nm0302192/?ref_=ttfc_fc_cr2
Music by 
 Antonio Díaz Conde ,https://www.imdb.com//name/nm0006054/?ref_=ttfc_fc_cr3
Cinematography by 
 Alex Phillips ,https://www.imdb.com//name/nm0006384/?ref_=ttfc_fc_cr4
Film Editing by 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr5
Production Design by 
 Ramón Rodríguez Granada ,https://www.imdb.com//name/nm0735636/?ref_=ttfc_fc_cr6
Makeup Department 
 Felisa Ladrón de Guevara ,https://www.imdb.com//name/nm1380645/?ref_=ttfc_fc_cr7
 Agripina Lozada ,https://www.imdb.com//name/nm0523525/?ref_=ttfc_fc_cr8
Production Management 
 Fidel Pizarro ,https://www.imdb.com//name/nm0686166/?ref_=ttfc_fc_cr9
Second Unit Director or Assistant Director 
 Moisés Delgado ,https://www.imdb.com//name/nm0217040/?ref_=ttfc_fc_cr10
Sound Department 
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr11
 Javier Mateos ,https://www.imdb.com//name/nm0558282/?ref_=ttfc_fc_cr12
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr13
Special Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr14
Camera and Electrical Department 
 Mariano García ,https://www.imdb.com//name/nm1223142/?ref_=ttfc_fc_cr15
 Manuel Luna ,https://www.imdb.com//name/nm1071003/?ref_=ttfc_fc_cr16
 Leobardo Sánchez ,https://www.imdb.com//name/nm0845036/?ref_=ttfc_fc_cr17
 Francisco Urbina ,https://www.imdb.com//name/nm0881731/?ref_=ttfc_fc_cr18
Editorial Department 
 Joaquín Ceballos ,https://www.imdb.com//name/nm0147479/?ref_=ttfc_fc_cr19
 José Li-ho ,https://www.imdb.com//name/nm0508582/?ref_=ttfc_fc_cr20
Additional Crew 
 Luis Gaytán ,https://www.imdb.com//name/nm0311035/?ref_=ttfc_fc_cr21
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr22
