La banda de los Panchitos _cast_member,imdb_page
Directed by 
 Arturo Velazco ,https://www.imdb.com//name/nm0892363/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Roberto Madrigal ,https://www.imdb.com//name/nm0535145/?ref_=ttfc_fc_wr1
 Arturo Velazco ,https://www.imdb.com//name/nm0892363/?ref_=ttfc_fc_wr2
Produced by 
 Javier Guerrero ,https://www.imdb.com//name/nm1008803/?ref_=ttfc_fc_cr2
 César Armando Jiménez ,https://www.imdb.com//name/nm0422921/?ref_=ttfc_fc_cr3
 Carmen Kury ,https://www.imdb.com//name/nm1010201/?ref_=ttfc_fc_cr4
Music by 
 Federico Álvarez del Toro ,https://www.imdb.com//name/nm1008552/?ref_=ttfc_fc_cr5
Cinematography by 
 Donald Bryant ,https://www.imdb.com//name/nm0116930/?ref_=ttfc_fc_cr6
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr7
 Heriberto García ,https://www.imdb.com//name/nm0306151/?ref_=ttfc_fc_cr8
Production Management 
 César Armando Jiménez ,https://www.imdb.com//name/nm0422921/?ref_=ttfc_fc_cr9
 Carmen Kuri ,https://www.imdb.com//name/nm1010151/?ref_=ttfc_fc_cr10
Second Unit Director or Assistant Director 
 Miguel Ángel Madrigal ,https://www.imdb.com//name/nm0535141/?ref_=ttfc_fc_cr11
 María Eugenia Paz ,https://www.imdb.com//name/nm0668577/?ref_=ttfc_fc_cr12
Sound Department 
 Daniel García ,https://www.imdb.com//name/nm0306046/?ref_=ttfc_fc_cr13
 Alejandro Li-ho ,https://www.imdb.com//name/nm0508581/?ref_=ttfc_fc_cr14
 Ramón Moreno ,https://www.imdb.com//name/nm0604148/?ref_=ttfc_fc_cr15
 Jorge Palomino ,https://www.imdb.com//name/nm0658745/?ref_=ttfc_fc_cr16
 Luis Pérez Villegas ,https://www.imdb.com//name/nm0702041/?ref_=ttfc_fc_cr17
Visual Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr18
Camera and Electrical Department 
 Benito Cano ,https://www.imdb.com//name/nm1008789/?ref_=ttfc_fc_cr19
 Rosalio Cano ,https://www.imdb.com//name/nm0134301/?ref_=ttfc_fc_cr20
 Moisés Frutos ,https://www.imdb.com//name/nm0296719/?ref_=ttfc_fc_cr21
 Juan Iniestra ,https://www.imdb.com//name/nm0409090/?ref_=ttfc_fc_cr22
 Alfonso Lara ,https://www.imdb.com//name/nm0487885/?ref_=ttfc_fc_cr23
 Antonio Mata ,https://www.imdb.com//name/nm1008822/?ref_=ttfc_fc_cr24
 Guillermo Moysen ,https://www.imdb.com//name/nm0610557/?ref_=ttfc_fc_cr25
 Juan Puente ,https://www.imdb.com//name/nm0969977/?ref_=ttfc_fc_cr26
 Pascual Villa ,https://www.imdb.com//name/nm1008409/?ref_=ttfc_fc_cr27
 Patricio Vázquez ,https://www.imdb.com//name/nm0891451/?ref_=ttfc_fc_cr28
Editorial Department 
 Rafael Savage ,https://www.imdb.com//name/nm0767363/?ref_=ttfc_fc_cr29
Music Department 
 Federico Álvarez del Toro ,https://www.imdb.com//name/nm1008552/?ref_=ttfc_fc_cr30
Script and Continuity Department 
 Ximena Cuevas ,https://www.imdb.com//name/nm0191229/?ref_=ttfc_fc_cr31
Additional Crew 
 Javier Guerrero ,https://www.imdb.com//name/nm1008803/?ref_=ttfc_fc_cr32
 Genaro Olivares ,https://www.imdb.com//name/nm1007797/?ref_=ttfc_fc_cr33
 Germán Salcedo ,https://www.imdb.com//name/nm1008844/?ref_=ttfc_fc_cr34
 Genaro Zárate ,https://www.imdb.com//name/nm0959170/?ref_=ttfc_fc_cr35
