La diosa del asfalto _cast_member,imdb_page
Directed by 
 Julián Hernández ,https://www.imdb.com//name/nm1001040/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Inés Morales ,https://www.imdb.com//name/nm6506330/?ref_=ttfc_fc_wr1
 Susana Quiroz ,https://www.imdb.com//name/nm1973928/?ref_=ttfc_fc_wr2
Produced by 
 Carla Farell ,https://www.imdb.com//name/nm9133111/?ref_=ttfc_fc_cr2
 Roberto Fiesco ,https://www.imdb.com//name/nm0276469/?ref_=ttfc_fc_cr3
 Sandro Halphen ,https://www.imdb.com//name/nm1350548/?ref_=ttfc_fc_cr4
 Fernando Lebrija ,https://www.imdb.com//name/nm1130190/?ref_=ttfc_fc_cr5
 Pablo Lebrija ,https://www.imdb.com//name/nm5024565/?ref_=ttfc_fc_cr6
 Gustavo Montaudon ,https://www.imdb.com//name/nm5709045/?ref_=ttfc_fc_cr7
 Iliana Reyes ,https://www.imdb.com//name/nm2831506/?ref_=ttfc_fc_cr8
 Javier Salgado ,https://www.imdb.com//name/nm5048058/?ref_=ttfc_fc_cr9
 Eckehardt Von Damm ,https://www.imdb.com//name/nm1160634/?ref_=ttfc_fc_cr10
Music by 
 Arturo Villela ,https://www.imdb.com//name/nm1804303/?ref_=ttfc_fc_cr11
Cinematography by 
 Alejandro Cantú ,https://www.imdb.com//name/nm0134792/?ref_=ttfc_fc_cr12
Film Editing by 
 Emiliano Arenales Osorio ,https://www.imdb.com//name/nm1341805/?ref_=ttfc_fc_cr13
 Roque Azcuaga ,https://www.imdb.com//name/nm2127165/?ref_=ttfc_fc_cr14
 Isabel Menchaca ,https://www.imdb.com//name/nm3242600/?ref_=ttfc_fc_cr15
Art Direction by 
 Erika Avila ,https://www.imdb.com//name/nm1562680/?ref_=ttfc_fc_cr16
Costume Design by 
 Alejandro Caraza ,https://www.imdb.com//name/nm3724384/?ref_=ttfc_fc_cr17
Makeup Department 
 Tania Aguilera ,https://www.imdb.com//name/nm9009562/?ref_=ttfc_fc_cr18
 Andi Bashni ,https://www.imdb.com//name/nm11996920/?ref_=ttfc_fc_cr19
 Jeffrey Camargo ,https://www.imdb.com//name/nm11996919/?ref_=ttfc_fc_cr20
 Alejandro Caraza ,https://www.imdb.com//name/nm3724384/?ref_=ttfc_fc_cr21
 Raquel Ceja ,https://www.imdb.com//name/nm9054485/?ref_=ttfc_fc_cr22
 Nancy Guzmán ,https://www.imdb.com//name/nm2648844/?ref_=ttfc_fc_cr23
 Zurial Karnstein ,https://www.imdb.com//name/nm11996918/?ref_=ttfc_fc_cr24
 Mario Alberto Nevárez Gutiérrez ,https://www.imdb.com//name/nm11996921/?ref_=ttfc_fc_cr25
Production Management 
 Luis Arredondo ,https://www.imdb.com//name/nm5500047/?ref_=ttfc_fc_cr26
 Manuel Barrera ,https://www.imdb.com//name/nm11996922/?ref_=ttfc_fc_cr27
Second Unit Director or Assistant Director 
