La locura del rock and roll _cast_member,imdb_page
Directed by 
 Fernando Méndez ,https://www.imdb.com//name/nm0617655/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Pancho Córdova ,https://www.imdb.com//name/nm0194745/?ref_=ttfc_fc_wr1
 José Luis de Celis ,https://www.imdb.com//name/nm1720995/?ref_=ttfc_fc_wr2
Produced by 
 José Luis de Celis ,https://www.imdb.com//name/nm1720995/?ref_=ttfc_fc_cr2
 Aurelio García Yévenes ,https://www.imdb.com//name/nm0305914/?ref_=ttfc_fc_cr3
Music by 
 Juan García Esquivel ,https://www.imdb.com//name/nm0305652/?ref_=ttfc_fc_cr4
Cinematography by 
 Ignacio Torres ,https://www.imdb.com//name/nm0868667/?ref_=ttfc_fc_cr5
Film Editing by 
 Fernando Martínez ,https://www.imdb.com//name/nm0555098/?ref_=ttfc_fc_cr6
 Miguel Ángel Garrido ,https://www.imdb.com//name/nm0308325/?ref_=ttfc_fc_cr7
Production Design by 
 Salvador Lozano Mena ,https://www.imdb.com//name/nm0523543/?ref_=ttfc_fc_cr8
Makeup Department 
 Guadalupe Gorráez ,https://www.imdb.com//name/nm0331311/?ref_=ttfc_fc_cr9
 Sara Mateos ,https://www.imdb.com//name/nm0558298/?ref_=ttfc_fc_cr10
Production Management 
 José Luis Busto ,https://www.imdb.com//name/nm0124581/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Mario Llorca ,https://www.imdb.com//name/nm0515830/?ref_=ttfc_fc_cr12
Sound Department 
 Francisco Alcayde ,https://www.imdb.com//name/nm0017199/?ref_=ttfc_fc_cr13
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr14
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr15
Special Effects by 
 Juan Muñoz Ravelo ,https://www.imdb.com//name/nm0616337/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 José Antonio Carrasco ,https://www.imdb.com//name/nm0140059/?ref_=ttfc_fc_cr17
 Regino Cárdenas ,https://www.imdb.com//name/nm0194628/?ref_=ttfc_fc_cr18
 Eduardo Villagrán ,https://www.imdb.com//name/nm2520558/?ref_=ttfc_fc_cr19
Editorial Department 
 Joaquín Ceballos ,https://www.imdb.com//name/nm0147479/?ref_=ttfc_fc_cr20
Music Department 
 Juan García Esquivel ,https://www.imdb.com//name/nm0305652/?ref_=ttfc_fc_cr21
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr22
Script and Continuity Department 
 Pablo Álvarez ,https://www.imdb.com//name/nm0959550/?ref_=ttfc_fc_cr23
Additional Crew 
 Guillermo Jiménez Fierro ,https://www.imdb.com//name/nm0276440/?ref_=ttfc_fc_cr24
 Nicolás Rueda hijo ,https://www.imdb.com//name/nm0749100/?ref_=ttfc_fc_cr25
