La princesa hippie _cast_member,imdb_page
Directed by 
 Miguel Morayta ,https://www.imdb.com//name/nm0603217/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Óscar J. Brooks ,https://www.imdb.com//name/nm0112312/?ref_=ttfc_fc_wr1
 Roberto Gómez Bolaños ,https://www.imdb.com//name/nm0350867/?ref_=ttfc_fc_wr2
Produced by 
 Larry Brooks ,https://www.imdb.com//name/nm6033248/?ref_=ttfc_fc_cr2
 Óscar J. Brooks ,https://www.imdb.com//name/nm0112312/?ref_=ttfc_fc_cr3
 Wilíeano Martínez ,https://www.imdb.com//name/nm6033247/?ref_=ttfc_fc_cr4
 Roberto Rodríguez ,https://www.imdb.com//name/nm0736093/?ref_=ttfc_fc_cr5
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr6
Cinematography by 
 Raúl Martínez Solares ,https://www.imdb.com//name/nm0554925/?ref_=ttfc_fc_cr7
Film Editing by 
 José W. Bustos ,https://www.imdb.com//name/nm1804426/?ref_=ttfc_fc_cr8
Set Decoration by 
 José Gonzalez ,https://www.imdb.com//name/nm2138020/?ref_=ttfc_fc_cr9
Makeup Department 
 Evelina Casas ,https://www.imdb.com//name/nm0143042/?ref_=ttfc_fc_cr10
 Luis Heredia ,https://www.imdb.com//name/nm6033246/?ref_=ttfc_fc_cr11
 Elda Loza ,https://www.imdb.com//name/nm0523504/?ref_=ttfc_fc_cr12
Production Management 
 Enrique L. Morfín ,https://www.imdb.com//name/nm0604424/?ref_=ttfc_fc_cr13
 Luis Quintanilla Rico ,https://www.imdb.com//name/nm0704149/?ref_=ttfc_fc_cr14
Second Unit Director or Assistant Director 
 Mario Llorca ,https://www.imdb.com//name/nm0515830/?ref_=ttfc_fc_cr15
Sound Department 
 Luis Fernández ,https://www.imdb.com//name/nm0273621/?ref_=ttfc_fc_cr16
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr17
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr18
Special Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr19
Camera and Electrical Department 
 Miguel Araña ,https://www.imdb.com//name/nm0032921/?ref_=ttfc_fc_cr20
 Manuel Luna ,https://www.imdb.com//name/nm1071003/?ref_=ttfc_fc_cr21
 Cirilo Rodríguez ,https://www.imdb.com//name/nm0735769/?ref_=ttfc_fc_cr22
 Francisco Urbina ,https://www.imdb.com//name/nm0881731/?ref_=ttfc_fc_cr23
Editorial Department 
 Sigfrido García ,https://www.imdb.com//name/nm0305597/?ref_=ttfc_fc_cr24
 Felipe Islas ,https://www.imdb.com//name/nm0411282/?ref_=ttfc_fc_cr25
Script and Continuity Department 
 Javier Carreño ,https://www.imdb.com//name/nm0140324/?ref_=ttfc_fc_cr26
Additional Crew 
 Humberto Gurza ,https://www.imdb.com//name/nm0348809/?ref_=ttfc_fc_cr27
 Miguel Gurza ,https://www.imdb.com//name/nm0348810/?ref_=ttfc_fc_cr28
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr29
