La venganza de los punks _cast_member,imdb_page
Directed by 
 Damián Acosta Esparza ,https://www.imdb.com//name/nm0010144/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Tomás Fuentes ,https://www.imdb.com//name/nm0297480/?ref_=ttfc_fc_wr1
 Tomás Fuentes ,https://www.imdb.com//name/nm0297480/?ref_=ttfc_fc_wr2
 Roberto Marroquín ,https://www.imdb.com//name/nm0550259/?ref_=ttfc_fc_wr3
Produced by 
 Ernesto Fuentes ,https://www.imdb.com//name/nm0297407/?ref_=ttfc_fc_cr2
Cinematography by 
 Alfredo Uribe ,https://www.imdb.com//name/nm0881907/?ref_=ttfc_fc_cr3
