Locos peligrosos _cast_member,imdb_page
Directed by 
 Fernando Cortés ,https://www.imdb.com//name/nm0181530/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Fernando Cortés ,https://www.imdb.com//name/nm0181530/?ref_=ttfc_fc_wr1
 Fernando Galiana ,https://www.imdb.com//name/nm0302055/?ref_=ttfc_fc_wr2
Produced by 
 Heberto Dávila Guajardo ,https://www.imdb.com//name/nm1449750/?ref_=ttfc_fc_cr2
 Alberto Hernández Curiel ,https://www.imdb.com//name/nm0379818/?ref_=ttfc_fc_cr3
 Jesús Sotomayor Martínez ,https://www.imdb.com//name/nm0815618/?ref_=ttfc_fc_cr4
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr5
Cinematography by 
 José Ortiz Ramos ,https://www.imdb.com//name/nm0651051/?ref_=ttfc_fc_cr6
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr7
Production Design by 
 Javier Torres Torija ,https://www.imdb.com//name/nm0868538/?ref_=ttfc_fc_cr8
Makeup Department 
 Felisa Ladrón de Guevara ,https://www.imdb.com//name/nm1380645/?ref_=ttfc_fc_cr9
Production Management 
 Luis Alcantara ,https://www.imdb.com//name/nm2750018/?ref_=ttfc_fc_cr10
 Guillermo Alcayde ,https://www.imdb.com//name/nm0017200/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Mario Cisneros ,https://www.imdb.com//name/nm0162839/?ref_=ttfc_fc_cr12
Sound Department 
 Francisco Alcayde ,https://www.imdb.com//name/nm0017199/?ref_=ttfc_fc_cr13
 Jesús González Gancy ,https://www.imdb.com//name/nm0327931/?ref_=ttfc_fc_cr14
Camera and Electrical Department 
 Miguel Araña ,https://www.imdb.com//name/nm0032921/?ref_=ttfc_fc_cr15
 Isaias Corona ,https://www.imdb.com//name/nm0180557/?ref_=ttfc_fc_cr16
 Manuel González ,https://www.imdb.com//name/nm0328324/?ref_=ttfc_fc_cr17
 Carlos Sorensen ,https://www.imdb.com//name/nm0814837/?ref_=ttfc_fc_cr18
Costume and Wardrobe Department 
 Julio Chávez ,https://www.imdb.com//name/nm0161662/?ref_=ttfc_fc_cr19
 Chelo La Rue ,https://www.imdb.com//name/nm0479000/?ref_=ttfc_fc_cr20
Editorial Department 
 Raúl Portillo ,https://www.imdb.com//name/nm0692416/?ref_=ttfc_fc_cr21
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr22
Music Department 
 Trío Los Mexicanos ,https://www.imdb.com//name/nm0521234/?ref_=ttfc_fc_cr23
Script and Continuity Department 
 Manuel Alcayde ,https://www.imdb.com//name/nm0017201/?ref_=ttfc_fc_cr24
Additional Crew 
 William W. Claridge ,https://www.imdb.com//name/nm0163579/?ref_=ttfc_fc_cr25
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr26
