Los chiflados del rock and roll _cast_member,imdb_page
Directed by 
 José Díaz Morales ,https://www.imdb.com//name/nm0246473/?ref_=ttfc_fc_dr1
Writing Credits         
 Alfredo Salazar ,https://www.imdb.com//name/nm0757667/?ref_=ttfc_fc_wr1
 Alfredo Salazar ,https://www.imdb.com//name/nm0757667/?ref_=ttfc_fc_wr2
 Pedro de Urdimalas ,https://www.imdb.com//name/nm0211993/?ref_=ttfc_fc_wr3
Produced by 
 Guillermo Calderón ,https://www.imdb.com//name/nm0129602/?ref_=ttfc_fc_cr2
Cinematography by 
 Enrique Wallace ,https://www.imdb.com//name/nm0908629/?ref_=ttfc_fc_cr3
Film Editing by 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr4
Production Design by 
 Javier Torres Torija ,https://www.imdb.com//name/nm0868538/?ref_=ttfc_fc_cr5
Makeup Department 
 María Luisa Bohorques ,https://www.imdb.com//name/nm0092153/?ref_=ttfc_fc_cr6
Production Management 
 Jorge Cardeña ,https://www.imdb.com//name/nm0136414/?ref_=ttfc_fc_cr8
 Luis García de León ,https://www.imdb.com//name/nm0305624/?ref_=ttfc_fc_cr9
Second Unit Director or Assistant Director 
 Moisés Delgado ,https://www.imdb.com//name/nm0217040/?ref_=ttfc_fc_cr10
Sound Department 
 Francisco Arjona ,https://www.imdb.com//name/nm2172793/?ref_=ttfc_fc_cr11
Camera and Electrical Department 
 Rafael García ,https://www.imdb.com//name/nm0306437/?ref_=ttfc_fc_cr12
Music Department 
 Luis Aguilar ,https://www.imdb.com//name/nm0013566/?ref_=ttfc_fc_cr13
 Rosita Arenas ,https://www.imdb.com//name/nm0034301/?ref_=ttfc_fc_cr14
 Antonio Díaz Conde ,https://www.imdb.com//name/nm0006054/?ref_=ttfc_fc_cr15
 Eulalio González ,https://www.imdb.com//name/nm0327606/?ref_=ttfc_fc_cr16
 Mariachi Jalisco ,https://www.imdb.com//name/nm0416121/?ref_=ttfc_fc_cr17
 José Alfredo Jiménez ,https://www.imdb.com//name/nm0422968/?ref_=ttfc_fc_cr18
 Agustín Lara ,https://www.imdb.com//name/nm0487881/?ref_=ttfc_fc_cr19
 Delia Magaña ,https://www.imdb.com//name/nm0535757/?ref_=ttfc_fc_cr20
 Mariachi México ,https://www.imdb.com//name/nm0617788/?ref_=ttfc_fc_cr21
 Orquestra de Augustín Lara ,https://www.imdb.com//name/nm2152812/?ref_=ttfc_fc_cr22
 Mario Patrón ,https://www.imdb.com//name/nm0666024/?ref_=ttfc_fc_cr23
 Enrique Rodríguez ,https://www.imdb.com//name/nm0735808/?ref_=ttfc_fc_cr24
 Lina Salomé ,https://www.imdb.com//name/nm0758935/?ref_=ttfc_fc_cr25
 Cuco Sánchez ,https://www.imdb.com//name/nm0844883/?ref_=ttfc_fc_cr26
 Pedro Vargas ,https://www.imdb.com//name/nm0889893/?ref_=ttfc_fc_cr27
 Los Yorcy's ,https://www.imdb.com//name/nm2165610/?ref_=ttfc_fc_cr28
Additional Crew 
 Julián de Meriche ,https://www.imdb.com//name/nm0580746/?ref_=ttfc_fc_cr29
