Los jóvenes _cast_member,imdb_page
Directed by 
 Luis Alcoriza ,https://www.imdb.com//name/nm0017274/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Luis Alcoriza ,https://www.imdb.com//name/nm0017274/?ref_=ttfc_fc_wr1
Produced by 
 Gregorio Walerstein ,https://www.imdb.com//name/nm0907379/?ref_=ttfc_fc_cr2
Music by 
 Francisco Argote ,https://www.imdb.com//name/nm0034528/?ref_=ttfc_fc_cr3
Cinematography by 
 Agustín Martínez Solares ,https://www.imdb.com//name/nm0554921/?ref_=ttfc_fc_cr4
Film Editing by 
 Rafael Ceballos ,https://www.imdb.com//name/nm0147502/?ref_=ttfc_fc_cr5
 J. Guerrero ,https://www.imdb.com//name/nm2153959/?ref_=ttfc_fc_cr6
Production Design by 
 Jorge Fernández ,https://www.imdb.com//name/nm0273561/?ref_=ttfc_fc_cr7
Set Decoration by 
 Ernesto Carrasco ,https://www.imdb.com//name/nm0140038/?ref_=ttfc_fc_cr8
Makeup Department 
 Dolores Camarillo ,https://www.imdb.com//name/nm0131282/?ref_=ttfc_fc_cr9
 Angelina Rios ,https://www.imdb.com//name/nm2107256/?ref_=ttfc_fc_cr10
Second Unit Director or Assistant Director 
 Manuel Muñoz ,https://www.imdb.com//name/nm0616459/?ref_=ttfc_fc_cr11
Art Department 
 Pedro Gallo ,https://www.imdb.com//name/nm0303081/?ref_=ttfc_fc_cr12
Sound Department 
 Rodolfo Benítez ,https://www.imdb.com//name/nm0073191/?ref_=ttfc_fc_cr13
 Abraham Cruz ,https://www.imdb.com//name/nm0190227/?ref_=ttfc_fc_cr14
 Enrique Rodríguez ,https://www.imdb.com//name/nm0735808/?ref_=ttfc_fc_cr15
Special Effects by 
 Jorge Benavides ,https://www.imdb.com//name/nm0070274/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 Carlos Carbajal ,https://www.imdb.com//name/nm0136044/?ref_=ttfc_fc_cr17
 Mariano García ,https://www.imdb.com//name/nm1223142/?ref_=ttfc_fc_cr18
Editorial Department 
 Tere Moreno ,https://www.imdb.com//name/nm0604191/?ref_=ttfc_fc_cr19
 Eufemio Rivera ,https://www.imdb.com//name/nm0729259/?ref_=ttfc_fc_cr20
Music Department 
 Hector Halall ,https://www.imdb.com//name/nm1633602/?ref_=ttfc_fc_cr21
 Mario Patrón ,https://www.imdb.com//name/nm0666024/?ref_=ttfc_fc_cr22
 Carlos J. Reyes ,https://www.imdb.com//name/nm1633648/?ref_=ttfc_fc_cr23
 Félix Reyna ,https://www.imdb.com//name/nm0721490/?ref_=ttfc_fc_cr24
Script and Continuity Department 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr25
Additional Crew 
 E. Fernandez ,https://www.imdb.com//name/nm2153105/?ref_=ttfc_fc_cr26
 Nicolás Rueda hijo ,https://www.imdb.com//name/nm0749100/?ref_=ttfc_fc_cr27
