Luz externa _cast_member,imdb_page
Directed by 
 José Agustín ,https://www.imdb.com//name/nm0013806/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José Agustín ,https://www.imdb.com//name/nm0013806/?ref_=ttfc_fc_wr1
Produced by 
 José Agustín ,https://www.imdb.com//name/nm0013806/?ref_=ttfc_fc_cr2
Music by 
 Carlos Anguiano ,https://www.imdb.com//name/nm2138386/?ref_=ttfc_fc_cr3
 Salvador Rojo ,https://www.imdb.com//name/nm0737945/?ref_=ttfc_fc_cr4
Cinematography by 
 Sergio Garcia ,https://www.imdb.com//name/nm1193349/?ref_=ttfc_fc_cr5
 Sergio García ,https://www.imdb.com//name/nm0306503/?ref_=ttfc_fc_cr6
