Mi alma por un amor _cast_member,imdb_page
Directed by 
 Rafael Baledón ,https://www.imdb.com//name/nm0050048/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José María Fernández Unsáin ,https://www.imdb.com//name/nm0273348/?ref_=ttfc_fc_wr1
 Johann Wolfgang von Goethe ,https://www.imdb.com//name/nm0324473/?ref_=ttfc_fc_wr2
Produced by 
 Angélica Ortiz ,https://www.imdb.com//name/nm0651069/?ref_=ttfc_fc_cr2
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr3
Cinematography by 
 José Ortiz Ramos ,https://www.imdb.com//name/nm0651051/?ref_=ttfc_fc_cr4
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr5
 Salvador Ramírez P. ,https://www.imdb.com//name/nm2925853/?ref_=ttfc_fc_cr6
Production Design by 
 Ramón Rodríguez Granada ,https://www.imdb.com//name/nm0735636/?ref_=ttfc_fc_cr7
Set Decoration by 
 Raúl Serrano ,https://www.imdb.com//name/nm0785608/?ref_=ttfc_fc_cr8
Makeup Department 
 Margarita Ortega ,https://www.imdb.com//name/nm0650916/?ref_=ttfc_fc_cr9
 Teresa Sánchez ,https://www.imdb.com//name/nm0845184/?ref_=ttfc_fc_cr10
Production Management 
 Pedro Escobedo ,https://www.imdb.com//name/nm0260385/?ref_=ttfc_fc_cr11
 Alberto A. Ferrer ,https://www.imdb.com//name/nm0274526/?ref_=ttfc_fc_cr12
 Carlos Suárez ,https://www.imdb.com//name/nm1874916/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Américo Fernández ,https://www.imdb.com//name/nm0273381/?ref_=ttfc_fc_cr14
Sound Department 
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr15
 Jorge Gómez ,https://www.imdb.com//name/nm0351123/?ref_=ttfc_fc_cr16
 Guillermo Mateos ,https://www.imdb.com//name/nm2927289/?ref_=ttfc_fc_cr17
 Javier Mateos ,https://www.imdb.com//name/nm0558282/?ref_=ttfc_fc_cr18
Special Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr19
Camera and Electrical Department 
 José Antonio Carrasco ,https://www.imdb.com//name/nm0140059/?ref_=ttfc_fc_cr20
 Teodoro García ,https://www.imdb.com//name/nm0306514/?ref_=ttfc_fc_cr22
 Alfredo Ruvalcaba ,https://www.imdb.com//name/nm0752235/?ref_=ttfc_fc_cr23
Costume and Wardrobe Department 
 Genne Matouk ,https://www.imdb.com//name/nm1905165/?ref_=ttfc_fc_cr24
 Francisco Rubio ,https://www.imdb.com//name/nm0748328/?ref_=ttfc_fc_cr25
Editorial Department 
 Sigfrido García ,https://www.imdb.com//name/nm0305597/?ref_=ttfc_fc_cr26
 Reynaldo P. Portillo ,https://www.imdb.com//name/nm0692417/?ref_=ttfc_fc_cr27
Script and Continuity Department 
 José Luis Ortega ,https://www.imdb.com//name/nm0650896/?ref_=ttfc_fc_cr28
Additional Crew 
 Jorge Durán Chavez ,https://www.imdb.com//name/nm0244464/?ref_=ttfc_fc_cr29
 Edmundo Mendoza ,https://www.imdb.com//name/nm0579257/?ref_=ttfc_fc_cr30
 Ángel Quiroz ,https://www.imdb.com//name/nm0704418/?ref_=ttfc_fc_cr31
