Música de siempre _cast_member,imdb_page
Directed by 
 Tito Davison ,https://www.imdb.com//name/nm0205760/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Alfonso Patiño Gómez ,https://www.imdb.com//name/nm0665643/?ref_=ttfc_fc_wr1
Produced by 
 Alfonso Patiño Gómez ,https://www.imdb.com//name/nm0665643/?ref_=ttfc_fc_cr2
Cinematography by 
 Ezequiel Carrasco ,https://www.imdb.com//name/nm0140039/?ref_=ttfc_fc_cr3
 Jack Draper ,https://www.imdb.com//name/nm0005691/?ref_=ttfc_fc_cr4
 Alex Phillips ,https://www.imdb.com//name/nm0006384/?ref_=ttfc_fc_cr5
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr6
Production Design by 
 Salvador Lozano Mena ,https://www.imdb.com//name/nm0523543/?ref_=ttfc_fc_cr7
 José Rodríguez Granada ,https://www.imdb.com//name/nm0334613/?ref_=ttfc_fc_cr8
Music Department 
 Federico Ruiz ,https://www.imdb.com//name/nm0749750/?ref_=ttfc_fc_cr9
Additional Crew 
 Chelo La Rue ,https://www.imdb.com//name/nm0479000/?ref_=ttfc_fc_cr10
 Tito LeDuc ,https://www.imdb.com//name/nm0496700/?ref_=ttfc_fc_cr11
