Naco es chido _cast_member,imdb_page
Directed by 
 Sergio Arau ,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Sergio Arau ,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_wr1
 Sergio Arau ,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_wr2
 Tihui Arau ,https://www.imdb.com//name/nm1950838/?ref_=ttfc_fc_wr3
 Francisco Barrios ,https://www.imdb.com//name/nm3393870/?ref_=ttfc_fc_wr4
 Armando Vega Gil ,https://www.imdb.com//name/nm0891771/?ref_=ttfc_fc_wr5
Produced by 
 Rossana Arau ,https://www.imdb.com//name/nm0033187/?ref_=ttfc_fc_cr2
 Sergio Arau ,https://www.imdb.com//name/nm0033190/?ref_=ttfc_fc_cr3
 Alan Caudillo ,https://www.imdb.com//name/nm0146465/?ref_=ttfc_fc_cr4
 Alana Caudillo ,https://www.imdb.com//name/nm0010078/?ref_=ttfc_fc_cr5
 Eric Reid ,https://www.imdb.com//name/nm2087802/?ref_=ttfc_fc_cr6
Cinematography by 
 Gerardo Barroso ,https://www.imdb.com//name/nm1764382/?ref_=ttfc_fc_cr7
Film Editing by 
 Sebastián Hofmann ,https://www.imdb.com//name/nm2003820/?ref_=ttfc_fc_cr8
 Adrian Salinas ,https://www.imdb.com//name/nm2542508/?ref_=ttfc_fc_cr9
 Mercedes Gironella ,https://www.imdb.com//name/nm1299562/?ref_=ttfc_fc_cr10
Art Direction by 
 Juan Santiso ,https://www.imdb.com//name/nm0763776/?ref_=ttfc_fc_cr11
Costume Design by 
 Tihui Arau ,https://www.imdb.com//name/nm1950838/?ref_=ttfc_fc_cr12
Production Management 
 Julio Bárcenas ,https://www.imdb.com//name/nm1349718/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Carlos Manzo ,https://www.imdb.com//name/nm0544497/?ref_=ttfc_fc_cr14
Sound Department 
 Saúl Almaráz ,https://www.imdb.com//name/nm1590864/?ref_=ttfc_fc_cr15
 Raymundo Ballesteros ,https://www.imdb.com//name/nm2388968/?ref_=ttfc_fc_cr16
 Miguel Ángel Molina ,https://www.imdb.com//name/nm0596754/?ref_=ttfc_fc_cr17
 Armando Narvaez del Valle ,https://www.imdb.com//name/nm1984747/?ref_=ttfc_fc_cr18
Stunts 
 Nadia Hernandez ,https://www.imdb.com//name/nm2618773/?ref_=ttfc_fc_cr19
Camera and Electrical Department 
 Mauricio Diaz ,https://www.imdb.com//name/nm6143044/?ref_=ttfc_fc_cr20
 Sebastián Hofmann ,https://www.imdb.com//name/nm2003820/?ref_=ttfc_fc_cr21
 Carlos Alberto Sánchez Mendoza ,https://www.imdb.com//name/nm11656055/?ref_=ttfc_fc_cr22
Editorial Department 
 Juan Carlos Aguirre ,https://www.imdb.com//name/nm1372557/?ref_=ttfc_fc_cr23
 Sebastián Hofmann ,https://www.imdb.com//name/nm2003820/?ref_=ttfc_fc_cr24
Location Management 
 Germán Ernesto Margáin ,https://www.imdb.com//name/nm2166246/?ref_=ttfc_fc_cr25
Script and Continuity Department 
 Sandra Concepción Reynoso Estrada ,https://www.imdb.com//name/nm2947817/?ref_=ttfc_fc_cr26
Additional Crew 
 Andrea Araiz ,https://www.imdb.com//name/nm2020458/?ref_=ttfc_fc_cr27
