Perfume de violetas _cast_member,imdb_page
Directed by 
 Marisa Sistach ,https://www.imdb.com//name/nm0803112/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José Buil ,https://www.imdb.com//name/nm0119653/?ref_=ttfc_fc_wr1
 José Buil ,https://www.imdb.com//name/nm0119653/?ref_=ttfc_fc_wr2
 Marisa Sistach ,https://www.imdb.com//name/nm0803112/?ref_=ttfc_fc_wr3
Produced by 
 José Buil ,https://www.imdb.com//name/nm0119653/?ref_=ttfc_fc_cr2
 Juan Carlos Colín ,https://www.imdb.com//name/nm1037429/?ref_=ttfc_fc_cr3
 Patricia Coronado ,https://www.imdb.com//name/nm1387953/?ref_=ttfc_fc_cr4
 Octavio Maya ,https://www.imdb.com//name/nm1469577/?ref_=ttfc_fc_cr5
Cinematography by 
 Servando Gajá ,https://www.imdb.com//name/nm0301521/?ref_=ttfc_fc_cr6
Film Editing by 
 José Buil ,https://www.imdb.com//name/nm0119653/?ref_=ttfc_fc_cr7
 Humberto Hernandez ,https://www.imdb.com//name/nm1870858/?ref_=ttfc_fc_cr8
 Humberto Hernández ,https://www.imdb.com//name/nm0379967/?ref_=ttfc_fc_cr9
Art Direction by 
 Guadalupe Sánchez ,https://www.imdb.com//name/nm0844949/?ref_=ttfc_fc_cr10
Set Decoration by 
 Soledad González ,https://www.imdb.com//name/nm0328487/?ref_=ttfc_fc_cr11
Costume Design by 
 Alejandra Dorantes ,https://www.imdb.com//name/nm0994197/?ref_=ttfc_fc_cr12
Makeup Department 
 Maroussia Beaulieu ,https://www.imdb.com//name/nm0994701/?ref_=ttfc_fc_cr13
 Guadalupe Damián ,https://www.imdb.com//name/nm1458312/?ref_=ttfc_fc_cr14
Production Management 
 Mireille Bartilotti ,https://www.imdb.com//name/nm1457916/?ref_=ttfc_fc_cr15
 Ana Cecilia del Campo ,https://www.imdb.com//name/nm0215412/?ref_=ttfc_fc_cr16
 Tlacateotl Mata ,https://www.imdb.com//name/nm0558027/?ref_=ttfc_fc_cr17
Second Unit Director or Assistant Director 
 Lucía Gajá ,https://www.imdb.com//name/nm1333964/?ref_=ttfc_fc_cr18
