Piedras verdes _cast_member,imdb_page
Directed by 
 Ángel Flores Torres ,https://www.imdb.com//name/nm0282739/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Angel Flores Marini ,https://www.imdb.com//name/nm0547657/?ref_=ttfc_fc_wr1
 Ángel Flores Torres ,https://www.imdb.com//name/nm0282739/?ref_=ttfc_fc_wr2
Produced by 
 Miguel Camacho ,https://www.imdb.com//name/nm0131120/?ref_=ttfc_fc_cr2
 Francisco Del Valle ,https://www.imdb.com//name/nm1498894/?ref_=ttfc_fc_cr3
 Angel Flores Marini ,https://www.imdb.com//name/nm0547657/?ref_=ttfc_fc_cr4
Music by 
 Óscar Chávez ,https://www.imdb.com//name/nm0161693/?ref_=ttfc_fc_cr5
 Botellita de Jeréz y Tequio ,https://www.imdb.com//name/nm1278177/?ref_=ttfc_fc_cr6
Cinematography by 
 Eduardo Flores Marini ,https://www.imdb.com//name/nm1499851/?ref_=ttfc_fc_cr7
 Eduardo Flores Torres ,https://www.imdb.com//name/nm0282802/?ref_=ttfc_fc_cr8
Film Editing by 
 Ángel Flores Torres ,https://www.imdb.com//name/nm0282739/?ref_=ttfc_fc_cr9
 Damián Mendoza ,https://www.imdb.com//name/nm1499926/?ref_=ttfc_fc_cr10
Art Direction by 
 Mirko von Berner ,https://www.imdb.com//name/nm0901960/?ref_=ttfc_fc_cr11
Costume Design by 
 Bárbara González Monsreal ,https://www.imdb.com//name/nm1136278/?ref_=ttfc_fc_cr12
Production Management 
 Emilia Arau ,https://www.imdb.com//name/nm0033184/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Gabriela Retes ,https://www.imdb.com//name/nm0720511/?ref_=ttfc_fc_cr14
Art Department 
 Ana Franca Álvarez Rascón ,https://www.imdb.com//name/nm0959359/?ref_=ttfc_fc_cr15
Sound Department 
 Carlos Aguilar ,https://www.imdb.com//name/nm0013496/?ref_=ttfc_fc_cr16
 Saúl Almaráz ,https://www.imdb.com//name/nm1590864/?ref_=ttfc_fc_cr17
 Ángel Flores Torres ,https://www.imdb.com//name/nm0282739/?ref_=ttfc_fc_cr18
 David Moreno Rade ,https://www.imdb.com//name/nm2244455/?ref_=ttfc_fc_cr19
 Andres Moreno ,https://www.imdb.com//name/nm0603871/?ref_=ttfc_fc_cr20
 Santiago Núñez ,https://www.imdb.com//name/nm0639283/?ref_=ttfc_fc_cr21
Special Effects by 
 Sergio Jara Jr. ,https://www.imdb.com//name/nm0602768/?ref_=ttfc_fc_cr22
 Sergio Jara ,https://www.imdb.com//name/nm0418527/?ref_=ttfc_fc_cr23
Camera and Electrical Department 
 Sebastian del Amo ,https://www.imdb.com//name/nm1197064/?ref_=ttfc_fc_cr24
 Jaime Reynoso ,https://www.imdb.com//name/nm0722028/?ref_=ttfc_fc_cr25
Editorial Department 
 Nallely Barragan De La Mora ,https://www.imdb.com//name/nm0209317/?ref_=ttfc_fc_cr26
