Rigo es amor _cast_member,imdb_page
Directed by 
 Felipe Cazals ,https://www.imdb.com//name/nm0147356/?ref_=ttfc_fc_dr1
Writing Credits         
 Adolfo Torres Portillo ,https://www.imdb.com//name/nm0868531/?ref_=ttfc_fc_wr1
 Adolfo Torres Portillo ,https://www.imdb.com//name/nm0868531/?ref_=ttfc_fc_wr2
Produced by 
 Juan Fernando Pérez Gavilán ,https://www.imdb.com//name/nm0701928/?ref_=ttfc_fc_cr2
Music by 
 Gustavo César Carrión ,https://www.imdb.com//name/nm0005996/?ref_=ttfc_fc_cr3
Cinematography by 
 Daniel López ,https://www.imdb.com//name/nm0530060/?ref_=ttfc_fc_cr4
Film Editing by 
 Rafael Ceballos ,https://www.imdb.com//name/nm0147502/?ref_=ttfc_fc_cr5
Production Design by 
 Manuel Ladrón de Guevara ,https://www.imdb.com//name/nm0480612/?ref_=ttfc_fc_cr7
Set Decoration by 
 Carlos Granada ,https://www.imdb.com//name/nm1947377/?ref_=ttfc_fc_cr8
Makeup Department 
 Guadalupe Gorráez ,https://www.imdb.com//name/nm0331311/?ref_=ttfc_fc_cr9
 Olga Ruiseco ,https://www.imdb.com//name/nm0749560/?ref_=ttfc_fc_cr10
Production Management 
 Alfredo Chavira ,https://www.imdb.com//name/nm0154624/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Jesús Marín ,https://www.imdb.com//name/nm0547442/?ref_=ttfc_fc_cr12
Art Department 
 Jorge Sainz ,https://www.imdb.com//name/nm0756793/?ref_=ttfc_fc_cr13
Sound Department 
 Roberto Camacho ,https://www.imdb.com//name/nm0131131/?ref_=ttfc_fc_cr14
 Daniel García ,https://www.imdb.com//name/nm0306046/?ref_=ttfc_fc_cr15
 Jesús González Gancy ,https://www.imdb.com//name/nm0327931/?ref_=ttfc_fc_cr16
 Efrén Marín Rojas ,https://www.imdb.com//name/nm0555916/?ref_=ttfc_fc_cr17
 Javier Patiño ,https://www.imdb.com//name/nm0665649/?ref_=ttfc_fc_cr18
Camera and Electrical Department 
 Donaciano De Anda ,https://www.imdb.com//name/nm0207007/?ref_=ttfc_fc_cr19
 Manuel Jiménez ,https://www.imdb.com//name/nm0423007/?ref_=ttfc_fc_cr20
 Carlos Montaño ,https://www.imdb.com//name/nm0599053/?ref_=ttfc_fc_cr21
 Manuel Palomino ,https://www.imdb.com//name/nm0658749/?ref_=ttfc_fc_cr22
Costume and Wardrobe Department 
Script and Continuity Department 
 Luis Gaytán ,https://www.imdb.com//name/nm0311035/?ref_=ttfc_fc_cr24
Additional Crew 
 Jorge Beltrán Beltrán ,https://www.imdb.com//name/nm1946136/?ref_=ttfc_fc_cr25
 Julie Davison ,https://www.imdb.com//name/nm1948979/?ref_=ttfc_fc_cr26
 Gonzalo Elvira Alvarez ,https://www.imdb.com//name/nm0255842/?ref_=ttfc_fc_cr27
 Teresa Jáuregui ,https://www.imdb.com//name/nm0433437/?ref_=ttfc_fc_cr28
