Romeo contra Julieta _cast_member,imdb_page
Directed by 
 Julián Soler ,https://www.imdb.com//name/nm0812958/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Janet Alcoriza ,https://www.imdb.com//name/nm0017272/?ref_=ttfc_fc_wr1
 Luis Alcoriza ,https://www.imdb.com//name/nm0017274/?ref_=ttfc_fc_wr2
 Luis Alcoriza ,https://www.imdb.com//name/nm0017274/?ref_=ttfc_fc_wr3
Produced by 
 Pedro Galindo ,https://www.imdb.com//name/nm0302192/?ref_=ttfc_fc_cr2
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr3
Cinematography by 
 Ignacio Torres ,https://www.imdb.com//name/nm0868667/?ref_=ttfc_fc_cr4
Film Editing by 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr5
Production Design by 
 Francisco Marco Chillet ,https://www.imdb.com//name/nm0157626/?ref_=ttfc_fc_cr6
Set Decoration by 
 Jorge Morales ,https://www.imdb.com//name/nm0998743/?ref_=ttfc_fc_cr7
Makeup Department 
 Felisa Ladrón de Guevara ,https://www.imdb.com//name/nm1380645/?ref_=ttfc_fc_cr8
Production Management 
 José de Jesús Fernández ,https://www.imdb.com//name/nm0273579/?ref_=ttfc_fc_cr9
 Antonio Guajardo ,https://www.imdb.com//name/nm0345210/?ref_=ttfc_fc_cr10
Second Unit Director or Assistant Director 
 Felipe Palomino ,https://www.imdb.com//name/nm0658738/?ref_=ttfc_fc_cr11
Sound Department 
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr12
 José Li-ho ,https://www.imdb.com//name/nm0508582/?ref_=ttfc_fc_cr13
 Rafael Ruiz Esparza ,https://www.imdb.com//name/nm0749623/?ref_=ttfc_fc_cr14
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr15
Special Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr16
Camera and Electrical Department 
 Horacio Calvillo ,https://www.imdb.com//name/nm0130880/?ref_=ttfc_fc_cr17
 Ángel Corona ,https://www.imdb.com//name/nm0180570/?ref_=ttfc_fc_cr18
 Enrique de la Rosa ,https://www.imdb.com//name/nm0209386/?ref_=ttfc_fc_cr19
 Lupe García ,https://www.imdb.com//name/nm0306313/?ref_=ttfc_fc_cr20
Editorial Department 
 Joaquín Ceballos ,https://www.imdb.com//name/nm0147479/?ref_=ttfc_fc_cr21
Additional Crew 
 Humberto Gavaldón ,https://www.imdb.com//name/nm1888614/?ref_=ttfc_fc_cr22
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr23
 Raúl Quevedo ,https://www.imdb.com//name/nm2795690/?ref_=ttfc_fc_cr24
