Seguir siendo: Café Tacvba _cast_member,imdb_page
Directed by 
 Ernesto Contreras ,https://www.imdb.com//name/nm0176496/?ref_=ttfc_fc_dr1
 Ernesto Contreras ,https://www.imdb.com//name/nm8617328/?ref_=ttfc_fc_dr2
 José Manuel Cravioto ,https://www.imdb.com//name/nm1458283/?ref_=ttfc_fc_dr3
Writing Credits        (in alphabetical order)         
 Ernesto Contreras ,https://www.imdb.com//name/nm0176496/?ref_=ttfc_fc_wr1
 José Manuel Cravioto ,https://www.imdb.com//name/nm1458283/?ref_=ttfc_fc_wr2
Produced by 
 Luis Albores ,https://www.imdb.com//name/nm2038602/?ref_=ttfc_fc_cr2
 Erika Avila ,https://www.imdb.com//name/nm1562680/?ref_=ttfc_fc_cr3
 Ernesto Contreras ,https://www.imdb.com//name/nm0176496/?ref_=ttfc_fc_cr4
 José Manuel Cravioto ,https://www.imdb.com//name/nm1458283/?ref_=ttfc_fc_cr5
 Juan De Dios Balbi ,https://www.imdb.com//name/nm2646646/?ref_=ttfc_fc_cr6
Cinematography by 
 Tonatiuh Martínez Valdéz ,https://www.imdb.com//name/nm1560990/?ref_=ttfc_fc_cr7
Film Editing by 
 Ernesto Contreras ,https://www.imdb.com//name/nm0176496/?ref_=ttfc_fc_cr8
 José Manuel Cravioto ,https://www.imdb.com//name/nm1458283/?ref_=ttfc_fc_cr9
 Pedro Jiménez ,https://www.imdb.com//name/nm3646048/?ref_=ttfc_fc_cr10
 Gabriel Mariño ,https://www.imdb.com//name/nm2088368/?ref_=ttfc_fc_cr11
Production Design by 
 Alfonso Mendoza Cineponcho ,https://www.imdb.com//name/nm3486026/?ref_=ttfc_fc_cr12
Production Management 
 Obrerodelarte ,https://www.imdb.com//name/nm3594634/?ref_=ttfc_fc_cr13
Sound Department 
 Raul Atondo ,https://www.imdb.com//name/nm3696741/?ref_=ttfc_fc_cr14
 Paul Bidault ,https://www.imdb.com//name/nm3164218/?ref_=ttfc_fc_cr15
 Enrique Greiner ,https://www.imdb.com//name/nm0340103/?ref_=ttfc_fc_cr16
 Octavio Sanchez Monroy ,https://www.imdb.com//name/nm2882681/?ref_=ttfc_fc_cr17
 Enrique Ojeda ,https://www.imdb.com//name/nm1680839/?ref_=ttfc_fc_cr18
 Gerardo Trigueros ,https://www.imdb.com//name/nm3327858/?ref_=ttfc_fc_cr19
Editorial Department 
 Alfonso Mendoza Cineponcho ,https://www.imdb.com//name/nm3486026/?ref_=ttfc_fc_cr20
 Mike Villasana ,https://www.imdb.com//name/nm6656882/?ref_=ttfc_fc_cr21
Additional Crew 
 Silvia Sanvicente ,https://www.imdb.com//name/nm1320029/?ref_=ttfc_fc_cr22
Thanks 
 Ariel Gordon ,https://www.imdb.com//name/nm0329999/?ref_=ttfc_fc_cr23
 Gabriel Heads ,https://www.imdb.com//name/nm2507704/?ref_=ttfc_fc_cr24
