Somos Mari Pepa _cast_member,imdb_page
Directed by 
 Samuel Kishi ,https://www.imdb.com//name/nm3204449/?ref_=ttfc_fc_dr1
Writing Credits         
 Samuel Kishi ,https://www.imdb.com//name/nm3204449/?ref_=ttfc_fc_wr1
 Sofía Gómez-Córdova ,https://www.imdb.com//name/nm3576619/?ref_=ttfc_fc_wr2
Produced by 
 Laura Blanco ,https://www.imdb.com//name/nm6880989/?ref_=ttfc_fc_cr2
 Alex Briseño ,https://www.imdb.com//name/nm3748073/?ref_=ttfc_fc_cr3
 Toiz Rodríguez Iñiguez ,https://www.imdb.com//name/nm5199499/?ref_=ttfc_fc_cr4
 Samuel Kishi ,https://www.imdb.com//name/nm3204449/?ref_=ttfc_fc_cr5
Music by 
 Kenji Kishi ,https://www.imdb.com//name/nm3584040/?ref_=ttfc_fc_cr6
Cinematography by 
 Octavio Arauz ,https://www.imdb.com//name/nm3991908/?ref_=ttfc_fc_cr7
Film Editing by 
 Yordi Capó ,https://www.imdb.com//name/nm1584461/?ref_=ttfc_fc_cr8
 Carlos Espinoza ,https://www.imdb.com//name/nm4052456/?ref_=ttfc_fc_cr9
 Samuel Kishi ,https://www.imdb.com//name/nm3204449/?ref_=ttfc_fc_cr10
 Barbara Merlos ,https://www.imdb.com//name/nm5236071/?ref_=ttfc_fc_cr11
Production Design by 
 Rebeca del Real ,https://www.imdb.com//name/nm3653457/?ref_=ttfc_fc_cr12
Art Direction by 
 Rebeca del Real ,https://www.imdb.com//name/nm3653457/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Dan Chavez ,https://www.imdb.com//name/nm6306859/?ref_=ttfc_fc_cr14
 Pablo Orta ,https://www.imdb.com//name/nm5198179/?ref_=ttfc_fc_cr15
Art Department 
 Paulina Gallardo ,https://www.imdb.com//name/nm2458796/?ref_=ttfc_fc_cr16
 Fabiola Herrera ,https://www.imdb.com//name/nm1903959/?ref_=ttfc_fc_cr17
Sound Department 
 Odin Acosta ,https://www.imdb.com//name/nm2941741/?ref_=ttfc_fc_cr18
 Miguel Mata ,https://www.imdb.com//name/nm4961472/?ref_=ttfc_fc_cr19
 Cesar Zayas ,https://www.imdb.com//name/nm3991643/?ref_=ttfc_fc_cr20
Camera and Electrical Department 
 Gerardo Guerra ,https://www.imdb.com//name/nm4703229/?ref_=ttfc_fc_cr21
 Rafa Guzmán ,https://www.imdb.com//name/nm4911896/?ref_=ttfc_fc_cr22
 Abraham Escobedo Salas ,https://www.imdb.com//name/nm6552027/?ref_=ttfc_fc_cr23
Editorial Department 
 Antonio Orozco Garcin ,https://www.imdb.com//name/nm7857694/?ref_=ttfc_fc_cr24
Location Management 
 Barbara Merlos ,https://www.imdb.com//name/nm5236071/?ref_=ttfc_fc_cr25
Additional Crew 
 Mauricio Calderon Mora ,https://www.imdb.com//name/nm3132979/?ref_=ttfc_fc_cr26
