Vestidas y alborotadas _cast_member,imdb_page
Directed by 
 Miguel Morayta ,https://www.imdb.com//name/nm0603217/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Fernando Galiana ,https://www.imdb.com//name/nm0302055/?ref_=ttfc_fc_wr1
 Carlos León ,https://www.imdb.com//name/nm1365877/?ref_=ttfc_fc_wr2
 Miguel Morayta ,https://www.imdb.com//name/nm0603217/?ref_=ttfc_fc_wr3
 Miguel Morayta ,https://www.imdb.com//name/nm0603217/?ref_=ttfc_fc_wr4
 Carlos Enrique Taboada ,https://www.imdb.com//name/nm0846010/?ref_=ttfc_fc_wr5
Produced by 
 Pedro Galindo Aguilar ,https://www.imdb.com//name/nm0302134/?ref_=ttfc_fc_cr2
 Cesáreo González ,https://www.imdb.com//name/nm0328097/?ref_=ttfc_fc_cr3
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr4
Cinematography by 
 Raúl Martínez Solares ,https://www.imdb.com//name/nm0554925/?ref_=ttfc_fc_cr5
Film Editing by 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr6
Production Design by 
 Ramón Rodríguez Granada ,https://www.imdb.com//name/nm0735636/?ref_=ttfc_fc_cr7
Costume Design by 
 Julio Chávez ,https://www.imdb.com//name/nm0161662/?ref_=ttfc_fc_cr8
Makeup Department 
 Guadalupe Gorráez ,https://www.imdb.com//name/nm0331311/?ref_=ttfc_fc_cr10
Production Management 
 José de Jesús Fernández ,https://www.imdb.com//name/nm0273579/?ref_=ttfc_fc_cr11
 Marciano de la Fuente ,https://www.imdb.com//name/nm0209253/?ref_=ttfc_fc_cr12
 Antonio Guajardo ,https://www.imdb.com//name/nm0345210/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Moisés Delgado ,https://www.imdb.com//name/nm0217040/?ref_=ttfc_fc_cr14
Sound Department 
 Francisco Alcayde ,https://www.imdb.com//name/nm0017199/?ref_=ttfc_fc_cr15
 James L. Fields ,https://www.imdb.com//name/nm0276264/?ref_=ttfc_fc_cr16
 José Li-ho ,https://www.imdb.com//name/nm0508582/?ref_=ttfc_fc_cr17
 Galdino R. Samperio ,https://www.imdb.com//name/nm0760077/?ref_=ttfc_fc_cr18
 Alfredo Solist ,https://www.imdb.com//name/nm0813114/?ref_=ttfc_fc_cr19
Special Effects by 
 Antonio Muñoz Ravelo ,https://www.imdb.com//name/nm0616336/?ref_=ttfc_fc_cr20
Camera and Electrical Department 
 Miguel Araña ,https://www.imdb.com//name/nm0032921/?ref_=ttfc_fc_cr21
 Fernando Fernández ,https://www.imdb.com//name/nm0273499/?ref_=ttfc_fc_cr22
 Cirilo Rodríguez ,https://www.imdb.com//name/nm0735769/?ref_=ttfc_fc_cr23
 Francisco Urbina ,https://www.imdb.com//name/nm0881731/?ref_=ttfc_fc_cr24
Editorial Department 
 Joaquín Ceballos ,https://www.imdb.com//name/nm0147479/?ref_=ttfc_fc_cr25
Music Department 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr26
Additional Crew 
 Edmundo Mendoza ,https://www.imdb.com//name/nm0579257/?ref_=ttfc_fc_cr27
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr28
