Volando bajo _cast_member,imdb_page
Directed by 
 Beto Gómez ,https://www.imdb.com//name/nm0351021/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Francisco Payó González ,https://www.imdb.com//name/nm1520017/?ref_=ttfc_fc_wr1
 Beto Gómez ,https://www.imdb.com//name/nm0351021/?ref_=ttfc_fc_wr2
Produced by 
 Laura Arvizu ,https://www.imdb.com//name/nm1580670/?ref_=ttfc_fc_cr2
 Santiago Garcia Galvan ,https://www.imdb.com//name/nm2357333/?ref_=ttfc_fc_cr3
 Alex Garcia ,https://www.imdb.com//name/nm4111213/?ref_=ttfc_fc_cr4
 Beto Gómez ,https://www.imdb.com//name/nm0351021/?ref_=ttfc_fc_cr5
 Diego Marina ,https://www.imdb.com//name/nm8568582/?ref_=ttfc_fc_cr6
 Jacinto Marina ,https://www.imdb.com//name/nm5411265/?ref_=ttfc_fc_cr7
 Gustavo Angel Olaya ,https://www.imdb.com//name/nm2089885/?ref_=ttfc_fc_cr8
 Nora Parra ,https://www.imdb.com//name/nm0663406/?ref_=ttfc_fc_cr9
 Raúl Ramón ,https://www.imdb.com//name/nm1637595/?ref_=ttfc_fc_cr10
 Georgina Terán ,https://www.imdb.com//name/nm0856207/?ref_=ttfc_fc_cr11
 Carlos Valle Novelo ,https://www.imdb.com//name/nm5388421/?ref_=ttfc_fc_cr12
 Walter Von Borstel ,https://www.imdb.com//name/nm2601913/?ref_=ttfc_fc_cr13
Music by 
 Pascual Reyes ,https://www.imdb.com//name/nm4726590/?ref_=ttfc_fc_cr14
Cinematography by 
 Daniel Jacobs ,https://www.imdb.com//name/nm1048452/?ref_=ttfc_fc_cr15
Film Editing by 
 Viviana García-Besné ,https://www.imdb.com//name/nm1292324/?ref_=ttfc_fc_cr16
 Barbarella Pardo ,https://www.imdb.com//name/nm0661087/?ref_=ttfc_fc_cr17
Production Design by 
 Carlos Lagunas ,https://www.imdb.com//name/nm2502409/?ref_=ttfc_fc_cr18
Art Direction by 
 Sandro Valdez ,https://www.imdb.com//name/nm2541757/?ref_=ttfc_fc_cr19
Set Decoration by 
 Aida Rodriguez ,https://www.imdb.com//name/nm2223920/?ref_=ttfc_fc_cr20
Costume Design by 
 Mayra Juárez ,https://www.imdb.com//name/nm3272581/?ref_=ttfc_fc_cr21
Makeup Department 
 Raul Covarrubias ,https://www.imdb.com//name/nm1410461/?ref_=ttfc_fc_cr22
 Elvia Felix Herrera ,https://www.imdb.com//name/nm2041833/?ref_=ttfc_fc_cr23
 Vanesa Rod Macouzet ,https://www.imdb.com//name/nm5463286/?ref_=ttfc_fc_cr24
 Julian Suarez Verdugo ,https://www.imdb.com//name/nm4804711/?ref_=ttfc_fc_cr25
Production Management 
 Ivan Diaz-Robledo ,https://www.imdb.com//name/nm1350176/?ref_=ttfc_fc_cr26
Second Unit Director or Assistant Director 
 Jose Jimenez ,https://www.imdb.com//name/nm0422777/?ref_=ttfc_fc_cr28
 Sarahi Marin ,https://www.imdb.com//name/nm5157611/?ref_=ttfc_fc_cr29
 Pavel Vazquez ,https://www.imdb.com//name/nm5389223/?ref_=ttfc_fc_cr30
 Francisco Payó González ,https://www.imdb.com//name/nm1520017/?ref_=ttfc_fc_cr31
 Diego Marina ,https://www.imdb.com//name/nm8568582/?ref_=ttfc_fc_cr32
Art Department 
 Jose Refugio Chaidez Marquez ,https://www.imdb.com//name/nm3762832/?ref_=ttfc_fc_cr33
 Nathalia Estrada Figueroa ,https://www.imdb.com//name/nm5162059/?ref_=ttfc_fc_cr34
 Élmer Figueroa Félix ,https://www.imdb.com//name/nm5048795/?ref_=ttfc_fc_cr35
 Jocelim Garibaldi ,https://www.imdb.com//name/nm4166442/?ref_=ttfc_fc_cr36
 Erika Gomez León ,https://www.imdb.com//name/nm5270107/?ref_=ttfc_fc_cr37
 Rodolfo Martinez ,https://www.imdb.com//name/nm1169580/?ref_=ttfc_fc_cr38
 Josue Palos ,https://www.imdb.com//name/nm3876913/?ref_=ttfc_fc_cr39
 Tony Perez ,https://www.imdb.com//name/nm2489777/?ref_=ttfc_fc_cr40
 Roberto Pizarro ,https://www.imdb.com//name/nm3165456/?ref_=ttfc_fc_cr41
Sound Department 
 José E. Caldararo ,https://www.imdb.com//name/nm1020790/?ref_=ttfc_fc_cr42
 Miren Begoña Cortazar ,https://www.imdb.com//name/nm5508162/?ref_=ttfc_fc_cr43
 Emilio Cortés ,https://www.imdb.com//name/nm0181528/?ref_=ttfc_fc_cr44
 Alejandro de Icaza ,https://www.imdb.com//name/nm2195187/?ref_=ttfc_fc_cr45
 Bechen de Loredo ,https://www.imdb.com//name/nm1255696/?ref_=ttfc_fc_cr46
 Jaime Juarez ,https://www.imdb.com//name/nm4119101/?ref_=ttfc_fc_cr47
 Rafael Millán ,https://www.imdb.com//name/nm5643262/?ref_=ttfc_fc_cr48
 Marco Peña ,https://www.imdb.com//name/nm5472558/?ref_=ttfc_fc_cr49
 Gerardo Trigueros ,https://www.imdb.com//name/nm3327858/?ref_=ttfc_fc_cr50
 Felipe Zavala ,https://www.imdb.com//name/nm0953750/?ref_=ttfc_fc_cr51
Visual Effects by 
 Sergio Garcia Francia ,https://www.imdb.com//name/nm3129287/?ref_=ttfc_fc_cr52
 Daniel Ruiz ,https://www.imdb.com//name/nm13521154/?ref_=ttfc_fc_cr53
Camera and Electrical Department 
 Manuel Galaviz Delgado ,https://www.imdb.com//name/nm2891101/?ref_=ttfc_fc_cr54
 Oscar Inzunza ,https://www.imdb.com//name/nm0409495/?ref_=ttfc_fc_cr55
 Diego Marina ,https://www.imdb.com//name/nm8568582/?ref_=ttfc_fc_cr56
 Hugo Ortíz ,https://www.imdb.com//name/nm6970676/?ref_=ttfc_fc_cr57
 Carlos Pompa ,https://www.imdb.com//name/nm4063132/?ref_=ttfc_fc_cr58
 Diego Marina ,https://www.imdb.com//name/nm8568582/?ref_=ttfc_fc_cr59
 Elias Visaiz ,https://www.imdb.com//name/nm4345451/?ref_=ttfc_fc_cr60
Costume and Wardrobe Department 
 Galaxia Bautista ,https://www.imdb.com//name/nm2780694/?ref_=ttfc_fc_cr61
Editorial Department 
 Alberto Coria ,https://www.imdb.com//name/nm3298376/?ref_=ttfc_fc_cr62
 Luis Zerón ,https://www.imdb.com//name/nm3860616/?ref_=ttfc_fc_cr63
Location Management 
 Ivan Diaz-Robledo ,https://www.imdb.com//name/nm1350176/?ref_=ttfc_fc_cr64
 Felipe Garcia Naranjo ,https://www.imdb.com//name/nm2409736/?ref_=ttfc_fc_cr65
Music Department 
 Michelle Blanc ,https://www.imdb.com//name/nm8516875/?ref_=ttfc_fc_cr66
 Gerardo Enciso ,https://www.imdb.com//name/nm1584922/?ref_=ttfc_fc_cr67
 Camilo Froideval ,https://www.imdb.com//name/nm2613542/?ref_=ttfc_fc_cr68
 Daniel Gutierrez ,https://www.imdb.com//name/nm5364709/?ref_=ttfc_fc_cr69
 Herminio Gutiérrez ,https://www.imdb.com//name/nm1885664/?ref_=ttfc_fc_cr70
 Iván Alberto Flores Vidauri' ,https://www.imdb.com//name/nm8516878/?ref_=ttfc_fc_cr71
 Marco Antonio Olivera Lynch' ,https://www.imdb.com//name/nm8516879/?ref_=ttfc_fc_cr72
 Paulina Muro ,https://www.imdb.com//name/nm8516874/?ref_=ttfc_fc_cr73
