Voy a explotar _cast_member,imdb_page
Directed by 
 Gerardo Naranjo ,https://www.imdb.com//name/nm1319671/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Gerardo Naranjo ,https://www.imdb.com//name/nm1319671/?ref_=ttfc_fc_wr1
Produced by 
 Yibran Asuad ,https://www.imdb.com//name/nm1990586/?ref_=ttfc_fc_cr2
 Tyler Brodie ,https://www.imdb.com//name/nm0110921/?ref_=ttfc_fc_cr3
 Pablo Cruz ,https://www.imdb.com//name/nm0190427/?ref_=ttfc_fc_cr4
 Alain de la Mata ,https://www.imdb.com//name/nm0478717/?ref_=ttfc_fc_cr5
 Gabriel Garcia Nava ,https://www.imdb.com//name/nm4712964/?ref_=ttfc_fc_cr6
 Gael García Bernal ,https://www.imdb.com//name/nm0305558/?ref_=ttfc_fc_cr7
 Hunter Gray ,https://www.imdb.com//name/nm0336683/?ref_=ttfc_fc_cr8
 Héctor Ley ,https://www.imdb.com//name/nm3023767/?ref_=ttfc_fc_cr9
 Rafael Ley ,https://www.imdb.com//name/nm3023817/?ref_=ttfc_fc_cr10
 Diego Luna ,https://www.imdb.com//name/nm0526019/?ref_=ttfc_fc_cr11
 Gerardo Naranjo ,https://www.imdb.com//name/nm1319671/?ref_=ttfc_fc_cr12
 Gabriel Nuncio ,https://www.imdb.com//name/nm1761358/?ref_=ttfc_fc_cr13
 Alex Orlovsky ,https://www.imdb.com//name/nm0650164/?ref_=ttfc_fc_cr14
 Geminiano Pineda ,https://www.imdb.com//name/nm2703765/?ref_=ttfc_fc_cr15
 Arturo Sampson ,https://www.imdb.com//name/nm1580750/?ref_=ttfc_fc_cr16
 Kyzza Terrazas ,https://www.imdb.com//name/nm2193829/?ref_=ttfc_fc_cr17
Cinematography by 
 Tobias Datum ,https://www.imdb.com//name/nm1309722/?ref_=ttfc_fc_cr18
Film Editing by 
 Yibran Asuad ,https://www.imdb.com//name/nm1990586/?ref_=ttfc_fc_cr19
 Gustavo Madrid ,https://www.imdb.com//name/nm2707063/?ref_=ttfc_fc_cr20
 Luis Calvillo ,https://www.imdb.com//name/nm1519889/?ref_=ttfc_fc_cr21
 Viridiana Olvera ,https://www.imdb.com//name/nm3361327/?ref_=ttfc_fc_cr22
 Emliano Rocha ,https://www.imdb.com//name/nm3101892/?ref_=ttfc_fc_cr23
 Emiliano Tonatiuh ,https://www.imdb.com//name/nm4712926/?ref_=ttfc_fc_cr24
Production Design by 
Costume Design by 
 Amanda Cárcamo ,https://www.imdb.com//name/nm2659877/?ref_=ttfc_fc_cr26
 Annai Ramos ,https://www.imdb.com//name/nm3136652/?ref_=ttfc_fc_cr27
Production Management 
 Veronica Novelo ,https://www.imdb.com//name/nm1905297/?ref_=ttfc_fc_cr28
Second Unit Director or Assistant Director 
 Katina Medina Mora ,https://www.imdb.com//name/nm2048922/?ref_=ttfc_fc_cr29
 Alejandro Sesma ,https://www.imdb.com//name/nm2338090/?ref_=ttfc_fc_cr30
Art Department 
 Cymbeline Deffis ,https://www.imdb.com//name/nm3479116/?ref_=ttfc_fc_cr31
 Luis Yañez Jacques ,https://www.imdb.com//name/nm2970165/?ref_=ttfc_fc_cr32
 Diego Suárez Groult ,https://www.imdb.com//name/nm3083634/?ref_=ttfc_fc_cr33
Sound Department 
 Damián Del Río ,https://www.imdb.com//name/nm2332422/?ref_=ttfc_fc_cr34
 Pedro 'Zulu' González ,https://www.imdb.com//name/nm1752980/?ref_=ttfc_fc_cr35
