Zapatos viejos _cast_member,imdb_page
Directed by 
 Sergio Andrade ,https://www.imdb.com//name/nm0028098/?ref_=ttfc_fc_dr1
 Pedro Galindo III ,https://www.imdb.com//name/nm0302135/?ref_=ttfc_fc_dr2
 Eduardo Galindo ,https://www.imdb.com//name/nm1392528/?ref_=ttfc_fc_dr3
 Santiago Galindo ,https://www.imdb.com//name/nm0302204/?ref_=ttfc_fc_dr4
Writing Credits        (in alphabetical order)         
 Sergio Andrade ,https://www.imdb.com//name/nm0028098/?ref_=ttfc_fc_wr1
Produced by 
 Carlos Amador ,https://www.imdb.com//name/nm0023782/?ref_=ttfc_fc_cr2
 Justino Campeán ,https://www.imdb.com//name/nm0132993/?ref_=ttfc_fc_cr3
 Pedro Galindo III ,https://www.imdb.com//name/nm0302135/?ref_=ttfc_fc_cr4
 Eduardo Galindo ,https://www.imdb.com//name/nm1392528/?ref_=ttfc_fc_cr5
 Santiago Galindo ,https://www.imdb.com//name/nm0302204/?ref_=ttfc_fc_cr6
 Pedro Pablo Rodriguez ,https://www.imdb.com//name/nm12110270/?ref_=ttfc_fc_cr7
Music by 
 Sergio Andrade ,https://www.imdb.com//name/nm0028098/?ref_=ttfc_fc_cr8
Cinematography by 
 Henner Hofmann ,https://www.imdb.com//name/nm0000085/?ref_=ttfc_fc_cr9
Film Editing by 
 Javier Patiño ,https://www.imdb.com//name/nm0665650/?ref_=ttfc_fc_cr10
Sound Department 
 Carlos Patiño ,https://www.imdb.com//name/nm0665646/?ref_=ttfc_fc_cr11
 Leon Sandoval ,https://www.imdb.com//name/nm0762136/?ref_=ttfc_fc_cr12
Additional Crew 
 Gloria Trevi ,https://www.imdb.com//name/nm0872381/?ref_=ttfc_fc_cr13
