Zoé: Panoramas _cast_member,imdb_page
Directed by 
 Gabriel Cruz Rivas ,https://www.imdb.com//name/nm3578332/?ref_=ttfc_fc_dr1
 Rodrigo Guardiola ,https://www.imdb.com//name/nm1761269/?ref_=ttfc_fc_dr2
Produced by 
 Pablo Garcia Gatterer ,https://www.imdb.com//name/nm3184278/?ref_=ttfc_fc_cr2
 Rodrigo Guardiola ,https://www.imdb.com//name/nm1761269/?ref_=ttfc_fc_cr3
 Javier Montemayor ,https://www.imdb.com//name/nm9029384/?ref_=ttfc_fc_cr4
 Stacy Perskie ,https://www.imdb.com//name/nm1142384/?ref_=ttfc_fc_cr5
Music by 
 Sergio Acosta ,https://www.imdb.com//name/nm5867258/?ref_=ttfc_fc_cr6
 Jesús Báez ,https://www.imdb.com//name/nm5867257/?ref_=ttfc_fc_cr7
 Rodrigo Guardiola ,https://www.imdb.com//name/nm1761269/?ref_=ttfc_fc_cr8
 Ángel Mosqueda ,https://www.imdb.com//name/nm4447199/?ref_=ttfc_fc_cr9
 Andrés Sánchez ,https://www.imdb.com//name/nm3396315/?ref_=ttfc_fc_cr10
Cinematography by 
 Guillermo Garza ,https://www.imdb.com//name/nm1317347/?ref_=ttfc_fc_cr11
Film Editing by 
 Gabriel Cruz Rivas ,https://www.imdb.com//name/nm3578332/?ref_=ttfc_fc_cr12
 Rodrigo Guardiola ,https://www.imdb.com//name/nm1761269/?ref_=ttfc_fc_cr13
 Olmo Guerra ,https://www.imdb.com//name/nm5731592/?ref_=ttfc_fc_cr14
 Adriana Martínez ,https://www.imdb.com//name/nm2106094/?ref_=ttfc_fc_cr15
Sound Department 
 Matías Barberis ,https://www.imdb.com//name/nm1568851/?ref_=ttfc_fc_cr16
 Diego Gat ,https://www.imdb.com//name/nm1716037/?ref_=ttfc_fc_cr17
 Marco Peña ,https://www.imdb.com//name/nm5472558/?ref_=ttfc_fc_cr18
 Gabriel Villegas Hurtado ,https://www.imdb.com//name/nm6252017/?ref_=ttfc_fc_cr19
Camera and Electrical Department 
 Karim Iglesias ,https://www.imdb.com//name/nm4975910/?ref_=ttfc_fc_cr20
Editorial Department 
 Jesús Domínguez ,https://www.imdb.com//name/nm6774713/?ref_=ttfc_fc_cr21
Music Department 
 Sergio Acosta ,https://www.imdb.com//name/nm5867258/?ref_=ttfc_fc_cr22
 Felipe Ceballos ,https://www.imdb.com//name/nm7516838/?ref_=ttfc_fc_cr23
 Ángel Mosqueda ,https://www.imdb.com//name/nm4447199/?ref_=ttfc_fc_cr24
 Fabrizio Onetto ,https://www.imdb.com//name/nm9029383/?ref_=ttfc_fc_cr25
 Phil Vinall ,https://www.imdb.com//name/nm9029382/?ref_=ttfc_fc_cr26
Additional Crew 
 Beto Cohen ,https://www.imdb.com//name/nm3403419/?ref_=ttfc_fc_cr27
