Title	Year	Director	Genre	Award Noms	Award Wins	IMDb Page
El hijo desobediente 	1945	Humberto Gómez Landero	fiction			https://www.imdb.com/title/tt0218333/?ref_=fn_al_tt_1
Juventud desenfrenada 	1956	José Díaz Morales	fiction			https://www.imdb.com/title/tt0271583/?ref_=fn_al_tt_1
Al compás del rock and roll 	1957	José Díaz Morales	fiction			https://www.imdb.com/title/tt0272442/?ref_=fn_al_tt_1
Los chiflados del rock and roll 	1957	José Díaz Morales	fiction			https://www.imdb.com/title/tt0271428/?ref_=fn_al_tt_1
La locura del rock and roll 	1957	Fernando Méndez	fiction			https://www.imdb.com/title/tt0272705/?ref_=fn_al_tt_1
Locos peligrosos 	1957	Fernando Cortés	fiction			https://www.imdb.com/title/tt0156746/?ref_=fn_al_tt_1
Música de siempre 	1958	Tito Davison	fiction			https://www.imdb.com/title/tt0049535/?ref_=fn_al_tt_1
Peligros de juventud	1960	Benito Alazraki	fiction			https://www.imdb.com/title/tt0235665/?ref_=nv_sr_srsg_0
Ellas también son rebeldes 	1961	Alejandro Galindo	fiction			https://www.imdb.com/title/tt0052774/?ref_=nv_sr_srsg_0
Jóvenes y rebeldes 	1961	Julián Soler	fiction			https://www.imdb.com/title/tt0226029/?ref_=nv_sr_srsg_3
Los jóvenes 	1961	Luis Alcoriza	fiction			https://www.imdb.com/title/tt0053979/?ref_=nv_sr_srsg_5
A ritmo de twist 	1962	Benito Alazraki	fiction			https://www.imdb.com/title/tt0250935/?ref_=nv_sr_srsg_0
Twist, locura de la juventud 	1962	Miguel M. Delgado	fiction			https://www.imdb.com/title/tt0280162/?ref_=nv_sr_srsg_0
El cielo y la tierra	1962	Miguel M. Delgado	fiction			https://www.imdb.com/title/tt0159357/?ref_=nv_sr_srsg_0
Mi vida es una canción 	1963	Miguel M. Delgado	fiction			https://www.imdb.com/title/tt0180830/?ref_=nv_sr_srsg_0
Dile que la quiero 	1963	Fernando Cortés	fiction			https://www.imdb.com/title/tt0250340/?ref_=nv_sr_srsg_0
La edad de la violencia 	1964	Julián Soler	fiction			https://www.imdb.com/title/tt0251679/?ref_=fn_al_tt_2
La juventud se impone 	1964	Julián Soler	fiction			https://www.imdb.com/title/tt0280803/?ref_=nv_sr_srsg_0
Vivir de sueños 	1964	Rafael Baledón	fiction			https://www.imdb.com/title/tt0181136/?ref_=nv_sr_srsg_0
Mi alma por un amor 	1964	Rafael Baledón	fiction			https://www.imdb.com/title/tt0180827/?ref_=nv_sr_srsg_0
Nacidos para cantar 	1964	Emillio Gómez Muriel	fiction			https://www.imdb.com/title/tt0282017/?ref_=nv_sr_srsg_0
La alegría de vivir 	1965	Julián Soler	fiction			https://www.imdb.com/title/tt0251575/?ref_=nv_sr_srsg_0
Canta mi corazón	1965	Emillio Gómez Muriel	fiction			https://www.imdb.com/title/tt0179705/?ref_=nv_sr_srsg_0
Especialista en chamacas 	1965	Chano Ureta	fiction			https://www.imdb.com/title/tt0264585/?ref_=nv_sr_srsg_0
Fiebre de juventud 	1966	Arturo Corona Blake	fiction			https://www.imdb.com/title/tt0276958/?ref_=nv_sr_srsg_0
Amor a ritmo de go-go 	1966	Miguel M. Delgado	fiction			https://www.imdb.com/title/tt0282351/?ref_=nv_sr_srsg_0
Juventud sin ley 	1966	Gilberto Martínez Solares	fiction			https://www.imdb.com/title/tt0059343/?ref_=nv_sr_srsg_3
Me quiero casar 	1967	Julián Soler	fiction			https://www.imdb.com/title/tt0180823/?ref_=nv_sr_srsg_0
Acapulco a go-go 	1967	Arturo Martínez	fiction			https://www.imdb.com/title/tt0242249/?ref_=nv_sr_srsg_0
Los perversos 	1967	Gilberto Martínez Solares	fiction			https://www.imdb.com/title/tt0242249/?ref_=nv_sr_srsg_0
El mundo loco de los jóvenes	1967	José María Fernández Unsáin	fiction			https://www.imdb.com/title/tt0282763/?ref_=nv_sr_srsg_0
Vestidas y alborotadas 	1968	Miguel Morayta	fiction			https://www.imdb.com/title/tt0062905/?ref_=nv_sr_srsg_0
Romeo contra Julieta 	1968	Julián Soler	fiction			https://www.imdb.com/title/tt0180966/?ref_=nv_sr_srsg_0
Despedida de casada	1968	Juan de Orduño	fiction			https://www.imdb.com/title/tt0061562/?ref_=nv_sr_srsg_0
5 de chocolate y 1 de fresa 	1968	Carlos Velo	fiction			https://www.imdb.com/title/tt0061484/?ref_=nv_sr_srsg_0
Como perros y gatos 	1969	Miguel M. Delgado	fiction			https://www.imdb.com/title/tt0180614/?ref_=nv_sr_srsg_0
La princesa hippie 	1969	Miguel Morayta	fiction			https://www.imdb.com/title/tt0066247/?ref_=nv_sr_srsg_0
El fin 	1970	Sergio García	fiction			https://www.imdb.com/title/tt0329082/?ref_=nm_flmg_t_32_dr
Avándaro 	1971	Alfredo Gurrola	documentary			https://www.imdb.com/title/tt0412469/?ref_=nv_sr_srsg_0
Caín, Abel y el otro 	1971	René Cardona, Jr. 	fiction			https://www.imdb.com/title/tt0245040/?ref_=nv_sr_srsg_0
Bikinis y rock 	1972	Alfredo Salazar	fiction			https://www.imdb.com/title/tt0228063/?ref_=nv_sr_srsg_0
La verdadera vocación de Magdalena 	1972	Jaime Humberto Hermosillo	fiction			https://www.imdb.com/title/tt0067938/?ref_=nv_sr_srsg_0
Ah, verdá… 	1973	Sergio García	fiction			https://www.imdb.com/title/tt0331828/?ref_=nv_sr_srsg_0
Luz externa 	1974	Sergio García & José Agustín	fiction			https://www.imdb.com/title/tt0332222/?ref_=nm_knf_t_4
Intrépidos punks 	1980	Francisco Guerrero	fiction			https://www.imdb.com/title/tt0236328/?ref_=nv_sr_srsg_0
Rigo es amor 	1980	Felipe Cazals	fiction			https://www.imdb.com/title/tt0323811/?ref_=nv_sr_srsg_0
El gran triunfo 	1981	Felipe Cazals	fiction			https://www.imdb.com/title/tt0229421/?ref_=nv_sr_srsg_0
Three Souls in my Mind: una larga experiencia 	1982	Sergio García	documentary			-Not found
Corazones de humo 	1983	Enrique Estevez	fiction			https://www.imdb.com/title/tt0395508/?ref_=nm_flmg_t_1_dr
Los rockeros del barrio	1985	Víctor Manuel Castro Arozamena				
Deveras me atrapaste 	1985	Gerardo Pardo	fiction	4		https://www.imdb.com/title/tt0338910/?ref_=fn_al_tt_1
Cómo ves 	1986	Paul Leduc	fiction	1		https://www.imdb.com/title/tt0278835/?ref_=nv_sr_srsg_2
Nadie es inocente 	1986	Sarah Minter	documentary			https://www.imdb.com/title/tt0356930/?ref_=nv_sr_srsg_0
La banda de los Panchitos 	1987	Arturo Velazco	fiction	2		https://www.imdb.com/title/tt0288438/?ref_=nv_sr_srsg_0
Semana santa, sábado de mierdas 	1988	Gregorio Rocha	documentary			https://www.imdb.com/title/tt0454249/?ref_=nm_flmg_t_15_dr
La neta no hay futuro 	1988	Andrea Gentile	documentary			https://www.imdb.com/title/tt0257959/?ref_=nv_sr_srsg_0
Un toke de roc 	1988	Sergio García	fiction			https://www.imdb.com/title/tt0380026/?ref_=nv_sr_srsg_0
Betty Rock y el último súper ocho 	1988	Sergio García	fiction			none
Lola 	1989	María Novaro	fiction	2	6	https://www.imdb.com/title/tt0097773/?ref_=nm_knf_c_1
Rock macizo	1990	Sergio Garcia				
La venganza de los punks 	1991	Damián Acosta Esparza	fiction			https://www.imdb.com/title/tt0379574/?ref_=nv_sr_srsg_3
